task_id,mu,sigma
competition_math_5771,0.0,0.7017949772215688
alpaca_784,-2.106382164865772,0.5262188834043927
stresstest_71_531_neutral,-9.517181591807848,0.5368943369984709
wildchat_15254,5.788580496403539,0.5983966728244201
bailbench_697,-9.01020478509888,0.43019642036620864
alpaca_4906,-5.643824959762784,1.931816132541251
stresstest_59_88_neutral,-2.4686928594349644,0.906649418016099
wildchat_19707,7.470090294413732,0.5637989034640505
competition_math_5008,8.74959532150518,0.6064473438924948
alpaca_10481,0.7528540446068023,0.708118779159222
stresstest_36_1188_value1,-9.80538639667683,0.7749488953078852
wildchat_27209,3.835011172614708,1.5174113956794577
competition_math_3461,10.0,0.9944485044754217
alpaca_6992,-1.9420487300961957,0.5446802391504119
competition_math_7676,1.6828284485623448,0.5603718724919292
competition_math_10527,8.89089910395267,0.5725281906067909
competition_math_11041,-0.0769949411274274,0.5154843712572943
alpaca_8137,0.5244246776926412,0.6473980380118337
stresstest_17_649_neutral,-6.994654012307773,0.7016784648646764
stresstest_3_513_neutral,9.767243862523433,0.7240183321846063
wildchat_66099,1.6978171057853866,0.565862095346092
wildchat_34045,6.524767378977651,0.5491576062074287
wildchat_72673,0.5479703125930261,0.530661801677539
wildchat_51322,1.5679572741660845,0.5408370588992497
competition_math_12108,3.610272144254817,0.6246440136462286
alpaca_13733,-3.2424450395327016,0.6100284431271039
stresstest_60_283_value2,8.12251098373339,0.5908680431784202
competition_math_129,0.8593659738293186,0.6416024388470746
wildchat_56656,1.0558035165472903,5.758192075069883
alpaca_2765,4.117907141872985,0.7789515204700392
stresstest_78_1067_value2,-1.7058113700967568,0.5282042777749412
wildchat_69009,10.0,0.6790246895358973
alpaca_4383,-2.4328640305312503,0.7331900614035408
stresstest_26_549_value1,-5.641768856793716,0.5552085794923018
wildchat_34129,0.5482757674937562,0.8045371081002289
alpaca_8682,-6.1570247112836185,0.6074607846443202
wildchat_67413,-0.3021751997114142,0.504728335998375
bailbench_269,-9.432029739886946,0.46303617937072317
alpaca_8759,1.3215710428899086,0.49454649965491354
alpaca_10133,2.4087745426554497,3.189698530366246
stresstest_6_456_value1,-8.683121473846297,0.5951522716885984
wildchat_11694,-0.156538704587905,0.7381772604344744
alpaca_13749,7.044240443190524,0.53637340568725
wildchat_44158,-0.3951166572716621,0.495455649341773
stresstest_29_1104_value1,-5.359830140051632,0.5944585821907514
competition_math_5091,-0.5896217710131243,1.2203395285292078
