task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-5.862296552555637,7.38905609893065
wildchat_52049,-5.6652992317923365,0.16204710883469042
wildchat_230709,-1.5240052689363484,7.38905609893065
wildchat_360787,-6.022315305179624,4.611455618682571
alpaca_8155,-5.21591339194406,2.3936821903316274
wildchat_491669,-0.7490447324003046,1.8572381606136457
competition_math_599,-3.262065121027754,7.38905609893065
wildchat_242015,0.6857836657607328,3.043900855002786
alpaca_666,-4.95906345130505,1.6212251017050325
wildchat_406914,-2.041672639870818,5.788482909073954
wildchat_286136,-3.288905762783927,3.3975836134905335
wildchat_301110,-10.0,7.38905609893065
competition_math_2074,-6.022335699810573,5.342832310193344
wildchat_101141,-1.6431709645096693,2.858159388131196
wildchat_85533,-3.3895887796722044,6.217894339119044
wildchat_151579,-10.0,5.435995488998777
wildchat_107926,-8.32840442196867,7.38905609893065
wildchat_151440,-6.096043286333552,7.38905609893065
wildchat_107355,-9.88028547628796,0.21937368153227496
alpaca_8201,-4.0199161541090636,3.9172404422926537
alpaca_13835,-3.1448600151782746,4.168897419437773
competition_math_11033,-3.5975406429548658,4.56280830112454
competition_math_6148,-4.153002102738237,6.755979622349818
wildchat_5799,-8.122438726495282,7.38905609893065
wildchat_117874,3.577491523208983,7.097251830465717
alpaca_3800,-3.1925537071330217,5.277743375551792
wildchat_30204,-10.0,6.131080753597543
competition_math_774,-0.002737619204659752,3.0522102248261143
wildchat_67562,-3.6292118264587434,3.373402147656707
wildchat_400052,-2.471868805188453,3.017419478226139
competition_math_9541,0.11187416943410308,2.946443620634833
wildchat_136494,-2.5488378234034195,1.7439735877537896
wildchat_452326,-6.3791269774934305,6.162283795985331
wildchat_31956,-2.76173581770643,3.5346639440575047
alpaca_3394,-3.0363939366386723,4.179740797710574
wildchat_11840,2.066449443761462,7.052028481335549
alpaca_3194,-3.305412785378384,2.1283746854103223
wildchat_302755,1.1056014412736617,1.7240558368131833
alpaca_3789,-6.086141476302792,0.14691344712728255
alpaca_5278,-1.0672951683377774,1.2541512583972925
wildchat_28076,-4.342087963334882,0.2728679574507976
wildchat_92092,-2.1356859650953735,3.768864912368678
wildchat_70706,0.499192640625938,1.5269139314052862
wildchat_221228,-4.878095465976874,7.38905609893065
alpaca_6215,-3.844649922133907,1.3660257149079644
wildchat_197099,-3.658989460237994,3.8957367656154873
wildchat_202252,-4.156267818968133,7.38905609893065
wildchat_255372,0.7758283182693678,5.4104762945700635
alpaca_6540,-2.838199475794212,0.4381634187511561
alpaca_4906,-3.1126945820381797,0.1353352832366127
wildchat_300885,-1.5292355867191167,4.884802998028929
competition_math_3741,1.2099693197429293,3.005644872819118
wildchat_16561,-1.0525690880197534,2.1701826227252523
wildchat_486004,-2.684020632883824,0.1353352832366127
wildchat_51884,0.9999818669371514,2.3547912307674834
wildchat_43351,-5.924718927240263,7.38905609893065
competition_math_1072,0.5611891142204609,2.832918385058874
wildchat_471945,-10.0,4.796796940768978
alpaca_12136,-2.5556413874873005,0.1353352832366127
competition_math_3985,-2.6695435449920697,3.9199212057935604
wildchat_178088,-7.388777585453981,0.4574624018392707
competition_math_7154,-1.651828879603874,1.9889466894447754
competition_math_5482,-2.4480358128687385,3.969145351569582
competition_math_7452,-1.1833342806925382,1.0320618185424169
wildchat_65318,-4.309119492020941,7.38905609893065
wildchat_277847,-2.5948128403941784,0.1353352832366127
competition_math_2993,-1.103676956337678,7.38905609893065
alpaca_1564,-2.4915629985339716,1.5167771238699375
wildchat_97883,-3.023340212823951,7.306761478885597
wildchat_36307,-4.302924309445177,3.7628190862402073
wildchat_386942,-0.6317213591642312,2.8253756149550853
competition_math_12257,-0.2953960578130208,1.8048113898009999
wildchat_461066,-2.9933726970395274,0.1353352832366127
alpaca_9116,-2.7322277630511134,0.1353352832366127
wildchat_110207,-1.7609748395852935,0.9747566011485207
wildchat_10569,-2.5838394094494386,0.1353352832366127
wildchat_238138,-1.0467255682567551,0.14846839182212868
wildchat_392411,-2.836351001711744,0.1353352832366127
wildchat_476483,-0.6366745111693913,3.2301812410667297
wildchat_47358,-1.7485791622065412,2.70700645292138
alpaca_11495,-2.8416175384282587,1.578112076421802
wildchat_42061,-2.506747801015644,4.30232618001905
wildchat_376237,-2.251835131019373,0.7885863202236923
wildchat_101149,-10.0,5.61946246299226
alpaca_5848,-2.555543935205685,0.1353352832366127
alpaca_3571,-1.0444136529080914,1.1887415358214721
competition_math_2137,0.3858901408961107,1.548357539845132
wildchat_360558,-0.19147783860555517,2.878781642284537
competition_math_1874,-0.2402405206716275,2.1075722953106277
competition_math_3861,1.3260071885085805,2.9910762507495505
wildchat_200285,-2.619401643385294,0.1353352832366127
alpaca_12777,-2.3786530160319534,0.1353352832366127
wildchat_397254,-1.0745771069486376,1.3581232031449215
alpaca_6632,0.19214523334569705,2.3075619230588975
competition_math_8144,-0.5029037363154427,1.3378613462339033
competition_math_4568,-1.6372766563596861,2.37158315358369
wildchat_246548,-2.5939260617626423,3.1479638513061046
alpaca_2746,-2.139434851935749,0.1353352832366127
wildchat_370978,-2.9777948987658096,3.390623189567369
alpaca_14175,-2.256468596195819,0.1353352832366127
alpaca_12221,-2.0180906197646733,2.9339359450041647
alpaca_10580,-1.5485785225795754,0.7063694922766476
wildchat_52931,0.08421268229830006,3.5431434718058408
wildchat_165489,-1.8248590323575604,0.1353352832366127
wildchat_462384,-2.290122584142942,0.8816167670349409
wildchat_280334,-2.330301626193783,0.1353352832366127
wildchat_86310,-10.0,7.38905609893065
wildchat_46543,1.28451413113612,2.219056966702468
wildchat_107554,-1.131886474344146,0.5020652586617855
alpaca_1294,-2.035517809175601,0.1353352832366127
wildchat_74036,-0.039437899514100476,0.8948709986064632
wildchat_370830,-1.5280192722856716,0.1353352832366127
wildchat_18157,-0.4944473272543536,2.599999004089327
wildchat_132717,-1.5614556346174397,0.4914567081242459
competition_math_7955,0.9382519315971026,2.548921298605951
wildchat_15831,-8.95377774557677,4.282017759466622
wildchat_277683,-2.002926464747069,0.1353352832366127
wildchat_170744,-1.2270098804967653,1.0557428073839976
alpaca_11084,-1.9644639489296043,0.1353352832366127
wildchat_195907,-1.1900060297073711,0.6391340112450784
alpaca_94,-1.6079147945887342,0.1353352832366127
competition_math_1902,0.50417036047505,2.7854551986328264
wildchat_376365,0.3979971586537285,2.2671235581775924
wildchat_236329,-1.0895401802302245,0.1353352832366127
competition_math_3117,0.7818152830194817,2.7126998368016193
wildchat_497264,-1.596044420485808,2.7816056646557135
wildchat_390724,-7.394777748812397,7.38905609893065
wildchat_140731,-3.5737107339856022,5.117317419192815
wildchat_58499,-0.9190601341518032,0.1353352832366127
competition_math_4938,-0.9959745915330686,0.36977950919830394
wildchat_12092,-1.603506552871936,0.1353352832366127
competition_math_7244,-0.7296065879766593,0.1353352832366127
wildchat_465612,0.0026942370920853952,3.2070177254795658
wildchat_361738,-1.5623659960518497,0.1353352832366127
competition_math_9276,-0.6107562134951658,0.6098121317293352
wildchat_420864,-1.983631948888263,5.102287777202695
wildchat_170980,-1.8663388487315962,0.1353352832366127
wildchat_510,-1.6560735173539674,2.9978168893150774
wildchat_61210,-0.8610380907074038,0.1353352832366127
competition_math_2693,-0.015323278608609919,0.5295223960831963
wildchat_97136,-1.4062116470000117,0.455520540003723
wildchat_380500,-1.0695052909801521,0.57093966986091
wildchat_72464,1.732751014424158,3.0899596469881665
wildchat_121705,-1.383206432722706,2.401056850814965
alpaca_10434,-0.7178054126685146,0.1353352832366127
competition_math_7328,-0.6590259472578339,1.6812043347066166
competition_math_8106,0.0971170248635177,1.4451342801033418
competition_math_666,0.42577541757999204,2.1875061905100712
wildchat_102235,-0.9722734240307336,0.1353352832366127
competition_math_9600,-0.5314266997122015,0.6089872700947955
wildchat_303004,-1.5474150372494724,4.431383487642489
wildchat_390817,0.027787089998487703,0.6874344367127486
wildchat_427956,-1.4959676850932797,2.9623915735808577
alpaca_6956,-0.18586748192376815,0.5676928394081326
competition_math_12402,1.552640846269786,6.394018028400016
competition_math_5746,-1.0638449177624825,1.2932992183456957
wildchat_60105,-0.8391346056980542,1.4369997700401291
wildchat_18055,-2.7795158217946954,4.163759736321686
wildchat_75543,0.3319412900690597,0.1353352832366127
wildchat_121903,-1.8707019685863524,1.328425661647055
competition_math_3707,-0.8057586974613589,0.1353352832366127
competition_math_2646,-0.32426761229493606,7.38905609893065
alpaca_8509,0.10450204851229222,1.1626646820953006
alpaca_1666,-0.2368421982084132,2.247535801720576
wildchat_6084,0.09285179207691134,2.368618460781907
wildchat_291440,-0.8939215726679778,0.1353352832366127
wildchat_151721,-0.7241117756553962,0.1353352832366127
wildchat_435023,-0.5210121869399071,0.351785890096976
wildchat_485490,-7.651970819895375,6.264121805826449
wildchat_436995,-0.6112900055645839,0.1353352832366127
wildchat_66815,2.220386232440374,3.302609379662014
wildchat_27196,-0.5928648837095906,0.1353352832366127
wildchat_280574,-0.5006093071839084,1.047766107001802
wildchat_2614,-0.9774113303314148,3.6244639007494093
wildchat_43276,-0.34787967435062306,0.1353352832366127
wildchat_337595,1.0564875827019575,1.9645980456672496
wildchat_411271,-2.0339168880661775,2.611828526332579
wildchat_226990,-0.6879576956537831,0.1353352832366127
wildchat_136031,-0.822379733836093,0.1353352832366127
alpaca_12712,-1.0435854316098165,0.8588952531490339
wildchat_351446,-0.6070097635195947,0.1353352832366127
wildchat_322343,-0.6312316356761551,0.1353352832366127
wildchat_145716,0.08951139372037002,1.3753155100763452
wildchat_85910,-0.5188049251254536,0.46230352953801557
wildchat_72073,1.7927361550388707,1.0920432338847994
alpaca_13688,-0.7182505988459705,0.1353352832366127
wildchat_285973,-0.5325998439668865,0.1353352832366127
wildchat_28082,-0.0728239522716136,0.1353352832366127
alpaca_1889,-0.5267369963612725,0.1353352832366127
wildchat_63215,-1.4194263334720199,0.1353352832366127
wildchat_378172,-0.8860967022814852,1.4552353674473701
alpaca_10604,-0.532409102226859,0.1353352832366127
alpaca_2008,-0.43158656687371627,0.1353352832366127
wildchat_1883,-0.8814414329169425,1.066755021986464
wildchat_321273,0.772298357872704,3.1017737780303443
wildchat_280890,-0.4182243033506379,0.1353352832366127
alpaca_4445,-0.42949973450609497,0.1353352832366127
alpaca_8496,-6.64705893906659,7.38905609893065
competition_math_8417,0.48658755361479966,1.1438067652517827
alpaca_7494,-0.39132027057552826,0.1353352832366127
wildchat_247329,-0.6357790274969881,0.1353352832366127
wildchat_1319,-0.08543160261509421,0.447412678007474
wildchat_141133,0.4273507167701528,0.38563733111382126
wildchat_71439,-6.121275507705754,5.199935851916288
wildchat_115850,-0.3774153899992107,0.1353352832366127
competition_math_9232,0.7899550316649071,1.493869053891905
competition_math_3274,0.1794862129163759,0.8567269200729165
wildchat_490409,0.02328057332128053,0.1353352832366127
competition_math_10696,2.541526048112527,2.0513601559290464
wildchat_402827,0.11515449205203122,0.1353352832366127
wildchat_485949,-5.707973286740288,3.782414736251459
wildchat_217328,-0.4528718395677367,0.1353352832366127
wildchat_48592,-0.8623083452013686,6.116768527000203
wildchat_45261,0.10991885037751147,0.45924198510284936
wildchat_22409,-0.4145401226430966,0.1353352832366127
wildchat_14144,1.9726735031998288,2.114645351225743
wildchat_16293,4.317331647212132,5.464093319128886
wildchat_38289,-0.45204126485515395,0.1353352832366127
wildchat_300852,-0.5258085291433298,0.1353352832366127
alpaca_12582,-0.5197712077205532,1.5886589846458516
wildchat_397054,-0.3522462489643759,0.1353352832366127
competition_math_11856,2.2167582371284076,2.0393440790497213
wildchat_380716,0.41367096771250944,0.1353352832366127
alpaca_11100,0.24018196956021798,0.1480275240487066
wildchat_370944,-0.6077716914604695,1.0137028030581863
wildchat_212475,0.03155196512687384,0.1353352832366127
wildchat_38202,-0.9032337855755543,2.061216128414831
wildchat_80706,2.221266649494416,1.8187388157166313
wildchat_155403,-0.11135821058973944,0.1353352832366127
wildchat_63034,-0.4359183536686644,2.4277052709121
wildchat_150201,-4.809058082555084,2.780550968479591
wildchat_307556,-1.2863125007266483,1.572301195798418
wildchat_267211,-0.14253299303978978,0.1353352832366127
wildchat_450616,-0.3303192379082314,0.1353352832366127
wildchat_371504,-0.2370227354357655,0.1353352832366127
wildchat_481569,-2.63402910096925,3.9531447287958428
wildchat_485901,-1.1933027186441696,1.053012209530768
wildchat_22047,0.7021848325943424,2.675119435056887
alpaca_12170,-0.19083722983348694,0.9444897244900762
wildchat_408191,-0.01133512147503948,1.3337342608174632
wildchat_501192,0.8376603363786308,1.145243346095112
wildchat_380493,-0.612395535397191,1.456061788040439
wildchat_281793,1.710510964597103,1.808278122352736
wildchat_12203,-2.355307527145383,2.7779650989051583
