task_id,mu,sigma
wildchat_195600,0.0,0.5159403718910894
wildchat_371189,-2.217825541754878,0.1353352832366127
wildchat_52049,-1.1265859572199963,1.7429232621101347
wildchat_230709,2.4074586284264714,7.38905609893065
wildchat_360787,-3.6832475624146084,0.1353352832366127
alpaca_8155,-2.4188929432136748,7.38905609893065
wildchat_491669,5.672278914551403,0.1353352832366127
competition_math_599,4.051657397314083,7.38905609893065
wildchat_242015,-4.083689229577807,1.5656603747253226
alpaca_666,0.5977403842152996,3.4478092102724482
wildchat_406914,5.429178973553268,4.248256228607434
wildchat_286136,4.020407341968419,2.4334472824046105
wildchat_301110,-2.9328190987271885,3.379771018190296
competition_math_2074,0.0605336285965079,3.470675852248635
wildchat_101141,5.453281517939929,0.1353352832366127
wildchat_85533,-2.583593233911307,0.8029050647230247
wildchat_151579,-6.486184127527696,0.1353352832366127
wildchat_107926,-4.764066649681184,2.761123891895194
wildchat_151440,-2.3565555865772736,3.6680356259902345
wildchat_107355,-0.2882528197845014,3.627311342133242
alpaca_8201,4.582690188347946,0.44515136248564824
alpaca_13835,-2.8051392366601062,1.5941600110176632
competition_math_11033,4.463910623775762,0.1353352832366127
competition_math_6148,2.5442928618781115,4.7101032769571365
wildchat_5799,-6.449620170156009,1.7649220787362405
wildchat_117874,7.199902560565298,0.1353352832366127
alpaca_3800,3.80725229053728,4.321200548405837
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,7.761708280442898,3.2716732604862435
wildchat_67562,-2.8794208446712704,0.1353352832366127
wildchat_400052,-1.2093173881120927,0.1353352832366127
competition_math_9541,5.47492837373104,0.1353352832366127
wildchat_136494,-0.18056819387845727,2.657850336421005
wildchat_452326,-4.665581979441111,4.778668117739935
wildchat_31956,5.310625342461572,5.083700018109917
alpaca_3394,-5.44405190867268,0.1353352832366127
wildchat_11840,4.794232551723243,5.706099493927862
alpaca_3194,0.49036996816571987,7.38905609893065
wildchat_302755,6.415382900256114,0.1353352832366127
alpaca_3789,-7.004236052082417,0.7425977652358485
alpaca_5278,-2.204371153775421,2.5175841618038417
wildchat_28076,-4.120438562215081,0.920855878355653
wildchat_92092,-0.3499388413772327,0.1353352832366127
wildchat_70706,-1.1055077613823263,0.1353352832366127
wildchat_221228,-4.702704590306723,0.1353352832366127
alpaca_6215,-4.087744894949241,3.0484064804403848
wildchat_197099,-0.17246794581400138,0.1353352832366127
wildchat_202252,-1.58473447369609,0.9292616754728144
wildchat_255372,7.927062576654429,1.1813348205523442
alpaca_6540,-5.636795680544829,2.7821415707393515
alpaca_4906,-6.294806512681198,1.9369843317634856
wildchat_300885,7.33638000131798,3.018292720432853
competition_math_3741,6.007730246830922,7.38905609893065
wildchat_16561,5.165133405308857,1.772715460905089
wildchat_486004,-5.5361421414979155,1.6981398381013915
wildchat_51884,2.367667736131276,3.311130922569909
wildchat_43351,-1.1836801629857796,0.1353352832366127
competition_math_1072,4.1419903490934225,3.721324279785317
wildchat_471945,-5.027780941185184,2.76837895084865
alpaca_12136,-5.241514066778229,2.7864376754075604
competition_math_3985,0.9665340403818807,4.276661207365258
wildchat_178088,-4.73689884176488,1.0757842693628572
competition_math_7154,1.7017088546021926,7.38905609893065
competition_math_5482,0.7556115658106622,5.1840884073666045
competition_math_7452,0.10540700985613866,0.8395877421300196
wildchat_65318,-1.8034163973283812,1.9205088991527473
wildchat_277847,-0.17423502738468233,0.1353352832366127
competition_math_2993,5.866516070914368,0.1353352832366127
alpaca_1564,-3.5039033171448772,4.467096095018387
wildchat_97883,5.4237356987671,2.870982616474878
wildchat_36307,-2.1360850831384988,2.451050922004743
wildchat_386942,6.541441543824698,0.1353352832366127
competition_math_12257,-0.3751554182128158,0.934723918175265
wildchat_461066,-5.553249082982818,2.1543398110276977
alpaca_9116,-3.3130375918626664,1.5686291727411417
wildchat_110207,-0.5685180897427666,0.1353352832366127
wildchat_10569,3.1978419503315547,2.714773000083248
wildchat_238138,-2.674908421851528,2.124848365739021
wildchat_392411,-1.64210008995193,2.8635410185526027
wildchat_476483,2.837421622189276,5.718080215929924
wildchat_47358,-3.4752398000685916,3.373642817735828
alpaca_11495,-4.200827839498707,3.331168358917456
wildchat_42061,-1.045755313113579,1.737534057615358
wildchat_376237,-2.343174528898278,3.4041471693396637
wildchat_101149,-5.186544960509963,0.9783055386762505
alpaca_5848,-7.726308074505717,2.1131857328901424
alpaca_3571,-0.5405873158530704,4.61989581178615
competition_math_2137,1.8089528106188535,3.5636761570115634
wildchat_360558,-4.39510587658533,0.1353352832366127
competition_math_1874,5.008113878526893,0.1353352832366127
competition_math_3861,6.635245435894702,7.38905609893065
wildchat_200285,-5.490654181281699,1.0605769487855201
alpaca_12777,-6.8533687877647536,1.5747727075039613
wildchat_397254,0.6963734982036216,7.38905609893065
alpaca_6632,-0.5660862482912414,2.2310247320784575
competition_math_8144,-1.1310490540473477,0.819941151670982
competition_math_4568,-1.8286117681235445,3.033500796684712
wildchat_246548,-6.772013231781607,3.2498219943901923
alpaca_2746,-3.4348256003368554,1.784897202316969
wildchat_370978,-5.110049250887474,5.545861212458675
alpaca_14175,-4.639894575098271,3.950187578062838
alpaca_12221,-1.8458958307670632,6.823472954356535
alpaca_10580,-2.758967314699854,0.1353352832366127
wildchat_52931,-1.9872829355173152,1.6273403845504204
wildchat_165489,-1.0680518177240181,1.1318815824374606
wildchat_462384,-6.290869758886258,4.493915713773352
