task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,3.05528850267038,5.6021284913626035
wildchat_52049,4.533375749008657,7.38905609893065
wildchat_230709,10.0,5.7461012349986245
wildchat_360787,-0.1455235857106882,7.043604851569183
alpaca_8155,6.663728880823143,7.38905609893065
wildchat_491669,6.163504510623274,7.38905609893065
competition_math_599,10.0,7.38905609893065
wildchat_242015,9.999968517182019,7.38905609893065
alpaca_666,5.118958537751819,6.76395703691182
wildchat_406914,8.129183023145051,7.38905609893065
wildchat_286136,7.126577620358895,7.38905609893065
wildchat_301110,-0.2811784398470467,7.38905609893065
competition_math_2074,8.720624705897217,0.20112023140101923
wildchat_101141,7.715540562428153,6.252802456433693
wildchat_85533,5.943986917983736,5.715604245981813
wildchat_151579,0.7870862376336965,7.38905609893065
wildchat_107926,0.8188636060687826,1.0142982361492847
wildchat_151440,0.20231206671059113,0.8872196798961332
wildchat_107355,3.9279587371186695,4.694174453046998
alpaca_8201,8.22603510393387,7.384640024750016
alpaca_13835,6.837845241123554,3.141112101646712
competition_math_11033,6.720684360778832,0.24550510187057828
competition_math_6148,5.54667553107531,3.027588361148043
wildchat_5799,1.3405263873014326,1.8446473440793174
wildchat_117874,6.432154007766802,0.1353352832366127
alpaca_3800,5.169076314531024,2.6722050014059215
wildchat_30204,0.8384245704788393,3.935299673201352
competition_math_774,6.0996733091218065,0.1353352832366127
wildchat_67562,0.3950827559254986,2.3589412172596878
wildchat_400052,4.736328112057083,7.135752380064156
competition_math_9541,5.344384393933499,4.416147794844562
wildchat_136494,5.051257351397051,3.097282671133445
wildchat_452326,2.9955349834836134,3.82768458534818
wildchat_31956,3.708593420868143,3.570245674728925
alpaca_3394,0.13969898196843789,7.38905609893065
wildchat_11840,5.053553277049819,0.15784720418433587
alpaca_3194,3.514080833130496,3.251299897040263
wildchat_302755,4.570384001993184,3.014023846679764
alpaca_3789,1.3148858373427437,3.1590785711395775
alpaca_5278,3.156065666898382,4.58345761494763
wildchat_28076,1.338166162335838,5.441301246046207
wildchat_92092,2.8587464084824115,3.6735151388579763
wildchat_70706,4.023824503094569,1.8159433987841986
wildchat_221228,2.6465667955301586,3.0424819447030296
alpaca_6215,3.309816622201866,1.638672372700849
wildchat_197099,2.9350031098370177,2.378794721318736
wildchat_202252,2.5826352174439062,3.7966618831411045
wildchat_255372,3.5774029247394044,1.1861941516305974
alpaca_6540,1.6823612623138189,1.9070461316014795
alpaca_4906,1.1919114520248197,4.296596984595632
wildchat_300885,3.001629346899642,0.1353352832366127
competition_math_3741,3.337476727309389,3.3811094421660126
wildchat_16561,2.352508685260937,7.38905609893065
wildchat_486004,1.7019277571695122,2.6273637965037437
wildchat_51884,2.6564536493538284,1.8980953658343722
wildchat_43351,1.0222211896029971,0.888156172493781
competition_math_1072,3.2874400230514675,2.435588888181751
wildchat_471945,1.108688404268198,3.00025772931824
alpaca_12136,1.479934708264422,0.5885591453102484
competition_math_3985,1.65854628532033,1.1966621914404054
wildchat_178088,2.9250322229904384,0.1353352832366127
competition_math_7154,2.7907254737454967,0.1353352832366127
competition_math_5482,2.982909588412373,1.9243637289402242
competition_math_7452,3.1600572794325044,2.175213156237654
wildchat_65318,1.0224852708388268,1.495479919795027
wildchat_277847,1.4570461298943094,1.3107174484343425
competition_math_2993,2.9708604529064857,0.1353352832366127
alpaca_1564,1.4623741801139887,0.1648923248739948
wildchat_97883,1.3412832475543903,0.6560826486540811
wildchat_36307,1.973084227258892,2.745590123310656
wildchat_386942,2.8639970619581527,0.7371347138475943
competition_math_12257,2.1730414143767804,1.231696489295741
wildchat_461066,-1.2187396301316862,7.0124225057852625
alpaca_9116,1.7759910837924768,0.48649419990420006
wildchat_110207,0.9511871825358807,2.997307446793327
wildchat_10569,1.6034479613182577,1.0224063307463596
wildchat_238138,1.3995142481430503,1.0866303904416341
wildchat_392411,1.442532232814921,1.1172485426188783
wildchat_476483,1.6938852520319463,1.3488064074820203
wildchat_47358,1.4127576169454814,2.2114876639630343
alpaca_11495,1.1619520338425755,0.7562733414489207
wildchat_42061,1.5229869147959363,1.0334058344873658
wildchat_376237,0.5452592844204113,3.1145897024406004
wildchat_101149,1.0776324761915146,1.0250254251515796
alpaca_5848,0.03260759654491791,1.3057887485060904
alpaca_3571,1.6628654822677182,0.6166816525383872
competition_math_2137,2.057821102594956,0.1353352832366127
wildchat_360558,0.5410680408219939,3.7863397712398306
competition_math_1874,2.0843605893372605,0.1353352832366127
competition_math_3861,1.8793713794186453,0.1353352832366127
wildchat_200285,-0.08999625187560013,1.20973707186789
alpaca_12777,0.6440973021827073,1.5060077608868132
wildchat_397254,1.0484819443109605,1.1773030806716673
alpaca_6632,1.3245035171817485,0.38004506352510337
competition_math_8144,1.5712211990262777,0.1353352832366127
competition_math_4568,1.4511820462077634,0.1353352832366127
wildchat_246548,0.3246612645269835,0.6755682242916522
alpaca_2746,1.094631453978773,1.7144221828593043
wildchat_370978,-0.3191314346548917,1.741938139920315
alpaca_14175,0.8503922461905629,2.8503214556493295
alpaca_12221,0.9051026564031244,0.44217115081559394
alpaca_10580,1.0641431843160811,0.5518484802125752
wildchat_52931,1.8868198103770601,1.732021380354774
wildchat_165489,0.7472858417512616,1.3540826971082067
wildchat_462384,-0.9837319919068621,1.4154747908596705
wildchat_280334,0.8781200422214094,0.522266540005247
wildchat_86310,0.3967812716413668,1.186522091738841
wildchat_46543,3.62994690810427,2.3160487096272493
wildchat_107554,1.008893733307785,0.6442373802956018
alpaca_1294,-0.1119714011634918,0.9161828482429089
wildchat_74036,1.2854468942435966,0.1353352832366127
wildchat_370830,-0.3314134105576381,1.3621946967667138
wildchat_18157,0.9514187995243146,0.1353352832366127
wildchat_132717,0.7750442406231476,0.6308012711308453
competition_math_7955,1.1983551694984549,0.1353352832366127
wildchat_15831,-1.2134296704026875,3.4792050483323504
wildchat_277683,0.9322464825639216,1.2714008652934246
