task_id,mu,sigma
wildchat_195600,0.0,6.581005103015317
wildchat_371189,0.36348834672476893,1.46875925939433
wildchat_52049,-3.962356156553931,0.8099154827403268
wildchat_230709,7.628858818052627,0.22988933212157547
wildchat_360787,-3.176751079791658,0.1353352832366127
alpaca_8155,6.766337623414853,7.116288372954649
wildchat_491669,4.858492001210177,3.3857216872479503
competition_math_599,6.011631952780164,0.1353352832366127
wildchat_242015,2.6564904556981292,1.1927350667360068
alpaca_666,9.713576161734082,4.952467519895873
wildchat_406914,2.0035934173121652,2.551161822608911
wildchat_286136,4.676428053967,1.0875183947564337
wildchat_301110,0.04866368416901471,1.746344768732752
competition_math_2074,8.696852528424444,0.17741623206536913
wildchat_101141,1.5009674597253013,0.9864197991188259
wildchat_85533,-2.8535922306594026,2.2146220961566545
wildchat_151579,-3.6314084809412503,1.658961239112568
wildchat_107926,1.0115293702696486,1.7930780847381382
wildchat_151440,-1.514305737623388,1.711855008485687
wildchat_107355,3.097498683721188,2.6843135547241572
alpaca_8201,5.700153124026854,0.1353352832366127
alpaca_13835,3.1133758121395507,3.317757723344078
competition_math_11033,5.515534728439211,0.1353352832366127
competition_math_6148,4.949353083754183,1.787622137964312
wildchat_5799,-0.4239985570087457,2.719869502077025
wildchat_117874,6.883855909872837,1.1447172757220534
alpaca_3800,5.281624017975091,0.1353352832366127
wildchat_30204,-3.916675046291725,1.0153632382868796
competition_math_774,5.910446595253641,1.7711772179185958
wildchat_67562,-1.1470074499036091,1.0460664846071228
wildchat_400052,4.003335663509377,3.023083722694153
competition_math_9541,4.9684153109127545,0.1353352832366127
wildchat_136494,2.3529924966464355,1.8193923321320495
wildchat_452326,1.053065087086249,4.569952153837041
wildchat_31956,2.844957217252695,2.8937990178416872
alpaca_3394,0.27787880269594484,0.7339898815882367
wildchat_11840,1.0522258054536169,1.7096140587921784
alpaca_3194,3.5813674993576887,1.3750331891368008
wildchat_302755,4.942309008339521,2.156655960229078
alpaca_3789,-0.24644178316194135,0.1353352832366127
alpaca_5278,3.5553925562606197,1.0060471175659558
wildchat_28076,-2.289879883161552,2.554129153082461
wildchat_92092,0.84768094993974,0.1353352832366127
wildchat_70706,2.0362222811012085,4.885129902638765
wildchat_221228,4.42615733582616,3.0794921035217397
alpaca_6215,-2.2321811677576315,1.7415682248553996
wildchat_197099,4.258943453879752,0.1353352832366127
wildchat_202252,4.408428789619525,3.2489726890161954
wildchat_255372,6.849287595813606,2.483088383742034
alpaca_6540,1.5629054570061431,1.5741427795304268
alpaca_4906,-2.357438107056343,2.0495000947197224
wildchat_300885,3.8322013506086696,2.391222365986689
competition_math_3741,7.314618335275212,0.16383576504162933
wildchat_16561,2.704194756364235,2.4756097586161774
wildchat_486004,-0.06483423755812749,0.9382296670444948
wildchat_51884,1.7354962750848044,0.6857848362394617
wildchat_43351,-1.1190032174334466,0.1353352832366127
competition_math_1072,5.037798338141356,0.1353352832366127
wildchat_471945,-1.82667847545666,1.4202129986355776
alpaca_12136,-0.8795562237575222,1.418982407562708
competition_math_3985,4.197342959252742,3.624673503097966
wildchat_178088,-10.0,5.997989093282161
competition_math_7154,4.70568302662842,2.47192644811092
competition_math_5482,4.982260884278882,0.1353352832366127
competition_math_7452,4.72878001512716,0.1353352832366127
wildchat_65318,3.0034194163130574,2.0239479941908183
wildchat_277847,3.3908446778558554,7.38905609893065
competition_math_2993,4.476617081252776,0.1353352832366127
alpaca_1564,3.206635904228877,0.2598085193234593
wildchat_97883,1.810369827533465,0.7920713705102027
wildchat_36307,-0.5848781427104255,0.1353352832366127
wildchat_386942,3.6236932259171653,2.119501172377239
competition_math_12257,3.415050878621923,1.7265422710725256
wildchat_461066,-0.3495803038049346,0.7358144056967566
alpaca_9116,1.33302137343667,4.771789111542527
wildchat_110207,0.31351391846591553,2.5894569521513264
wildchat_10569,2.5671958967098187,2.091649623185491
wildchat_238138,5.064577870557125,6.985641443305699
wildchat_392411,-3.3139952566359523,3.501088329185796
wildchat_476483,3.434499969698426,0.1353352832366127
wildchat_47358,2.6432031490845187,2.272483643645505
alpaca_11495,3.3369069701983896,2.0923394873480654
wildchat_42061,0.7957974870171193,3.561612653746539
wildchat_376237,0.4627936585109183,1.8800881174768715
wildchat_101149,-2.358714214020943,1.6693299522097673
alpaca_5848,-0.1993905694901537,2.182716909998506
alpaca_3571,0.8912588131485203,1.3933794909162787
competition_math_2137,3.8330868320336453,0.32366583550465555
wildchat_360558,0.3922619746412327,0.1353352832366127
competition_math_1874,4.5764536733184915,0.1353352832366127
competition_math_3861,4.1155761986862665,0.1353352832366127
wildchat_200285,-1.8096500375771987,1.076182816266413
alpaca_12777,1.9903867760829153,1.6861892451152685
wildchat_397254,2.359629206467865,1.2025393923779015
alpaca_6632,3.076135888848791,0.1879488384613007
competition_math_8144,4.138953973600906,0.1353352832366127
competition_math_4568,3.1591724001266037,0.6035533920660513
wildchat_246548,-0.5130682461110839,0.1353352832366127
alpaca_2746,1.555222010986838,1.8747520569725737
wildchat_370978,-3.051642542921365,1.986495783452419
alpaca_14175,-2.0386607854219703,0.1353352832366127
alpaca_12221,3.3324337960113537,0.1353352832366127
alpaca_10580,2.140913491929881,2.506711467550419
wildchat_52931,4.18755065216506,7.38905609893065
wildchat_165489,-1.4061345567777146,0.8158256242645132
wildchat_462384,-3.381355856267616,1.2759582480378395
wildchat_280334,-1.3147524086356064,0.1353352832366127
wildchat_86310,-3.2399825258110435,2.4074374725672936
wildchat_46543,3.5895891094065955,0.1353352832366127
wildchat_107554,0.6244345076565959,0.1353352832366127
alpaca_1294,0.38968143819925344,0.49287623201600844
wildchat_74036,1.8229258122328134,1.8598470798211717
wildchat_370830,-4.529330310593623,1.9338596623231925
wildchat_18157,-2.696224789314405,0.1353352832366127
wildchat_132717,1.2747460245050883,3.223301111726092
competition_math_7955,3.6953314039070366,0.1353352832366127
wildchat_15831,-7.967751833719386,5.9062149693729555
wildchat_277683,-2.0094159345574027,0.8214480927093546
wildchat_170744,3.9730509221880754,3.652442311387503
alpaca_11084,-1.1631094188364874,2.10526626321601
wildchat_195907,-1.526741222493932,0.943314451691984
alpaca_94,-1.2360056944068583,1.5516767082258602
competition_math_1902,4.218094449340787,0.18860448437763125
wildchat_376365,2.9831928582957112,2.628897808534287
wildchat_236329,3.4079685128737767,0.1353352832366127
competition_math_3117,3.215328482355847,0.1353352832366127
wildchat_497264,-2.7205438827813038,2.5228019453630766
wildchat_390724,-0.37267931215024397,2.3842100638235073
wildchat_140731,-1.0620331858851748,2.070021493853962
wildchat_58499,2.325657753660408,1.392927691351576
competition_math_4938,2.183165228689112,1.8932467820527574
wildchat_12092,-2.921757723844094,4.517498616814009
competition_math_7244,4.016683353544299,0.1353352832366127
wildchat_465612,1.745588405928216,5.216699381552
wildchat_361738,-1.642683572212579,1.8495649065867634
competition_math_9276,1.4695317213392873,2.1339364817650734
wildchat_420864,-0.1393876641599517,0.1353352832366127
wildchat_170980,-3.386715048509005,0.9889609129039818
wildchat_510,-1.3215957086694219,3.3315897748064507
wildchat_61210,2.035109457619737,1.6139831610100677
competition_math_2693,3.0132176047555124,0.1353352832366127
wildchat_97136,-2.862204294632551,0.1353352832366127
wildchat_380500,-3.1680030356046043,3.086342873496035
wildchat_72464,2.8079676638746336,1.4783164141145282
wildchat_121705,1.5389809700245043,2.5323360964618673
alpaca_10434,1.1214925358344514,3.777909041504917
competition_math_7328,3.474911033972522,0.691542133142826
competition_math_8106,3.2819894000328538,0.1353352832366127
competition_math_666,2.9973842976105067,0.6645694634430537
wildchat_102235,0.9621724709518584,2.7598073099710674
competition_math_9600,3.000749778389773,0.1353352832366127
wildchat_303004,4.264041276379837,1.0366191305379489
wildchat_390817,3.1178846643024825,0.1353352832366127
wildchat_427956,0.29636450234054357,2.0041202970842895
alpaca_6956,2.3593475682376956,0.7044189981608276
competition_math_12402,3.570462013365838,0.9050883708181073
competition_math_5746,2.880791025165275,0.1353352832366127
wildchat_60105,-0.18625631901584405,0.1353352832366127
wildchat_18055,-1.9309162463871614,3.4068487705720254
wildchat_75543,2.7003819136599825,0.1353352832366127
wildchat_121903,-1.331310608891447,1.3149544614667348
competition_math_3707,2.7951905458901942,0.1353352832366127
competition_math_2646,2.144603951562287,1.3031648625983712
alpaca_8509,1.5681980009945156,0.1353352832366127
alpaca_1666,2.2825207926949167,0.7933379811993845
wildchat_6084,3.2169222204388035,2.7221048436017807
wildchat_291440,-0.5983953195705698,0.1353352832366127
wildchat_151721,2.532432725194339,0.7099677706076023
wildchat_435023,0.22482441152033744,0.6563609877539364
wildchat_485490,-4.5601182273874485,3.0687903492116364
wildchat_436995,2.721692897342453,3.0060507953508404
wildchat_66815,1.1862103173558944,0.7819386594202385
wildchat_27196,3.981748470847457,2.129940197789554
wildchat_280574,-3.028644640094202,0.1353352832366127
wildchat_2614,2.591657847552812,0.2669153436718332
wildchat_43276,3.3660169630659795,0.14866533332936807
wildchat_337595,3.333609522448918,0.42386819375402823
wildchat_411271,-4.707064395853358,0.1353352832366127
wildchat_226990,-0.6563158181657371,0.28042165624938525
wildchat_136031,-0.9184229937760205,1.3079181443371166
alpaca_12712,-1.2320901004826248,1.9017318489004658
wildchat_351446,1.723251645153796,1.1213076726298368
wildchat_322343,3.237382227823712,0.8610190291915875
wildchat_145716,3.017717246001575,1.9692565651302758
wildchat_85910,0.7802316280925425,1.8658684042407405
wildchat_72073,2.877831869943801,0.1353352832366127
alpaca_13688,-1.7271194615285617,0.1353352832366127
wildchat_285973,-3.3273491647274342,3.684770703571882
wildchat_28082,5.373714683724744,1.9102084126599852
alpaca_1889,1.303087645272072,1.8151233184826816
wildchat_63215,-1.2137597245995808,1.1624434826131465
wildchat_378172,-0.8493245287876209,1.4007538733876326
alpaca_10604,-0.6679629478863865,0.1353352832366127
alpaca_2008,2.145189861979758,0.1353352832366127
wildchat_1883,-1.816433558937794,2.2482433220644418
wildchat_321273,2.532680942560771,0.1353352832366127
wildchat_280890,1.1916525346485352,2.7575838618697546
alpaca_4445,0.704287868672231,2.394231387652975
alpaca_8496,-1.2996428238690072,0.1353352832366127
competition_math_8417,2.3951064793757273,0.1353352832366127
alpaca_7494,0.004900914586900668,0.1353352832366127
wildchat_247329,-0.8805740592395694,1.504524966474836
wildchat_1319,1.0653719128448684,1.9245649466314536
wildchat_141133,3.0345534997453227,0.1353352832366127
wildchat_71439,-2.5819503122272924,1.8436999091843553
wildchat_115850,-0.607895948372238,0.1353352832366127
competition_math_9232,3.810054983693673,1.0183911997012953
competition_math_3274,3.0406806290578294,0.3811393490628257
wildchat_490409,-3.5250400043245387,0.1353352832366127
competition_math_10696,4.7463983027836045,2.32279753441568
wildchat_402827,-0.225875531585742,0.1353352832366127
wildchat_485949,-5.849232557653858,2.747763013356309
wildchat_217328,-2.8900359261114446,0.5899201468435247
wildchat_48592,-2.319527871003434,0.1353352832366127
wildchat_45261,1.8042599259525849,0.5171119260479279
wildchat_22409,-4.027220374335152,0.3907973370525752
wildchat_14144,2.4806025314638642,0.1353352832366127
wildchat_16293,4.07257657326014,4.031162209063205
wildchat_38289,-3.0102662901370185,0.1353352832366127
wildchat_300852,-3.234706920659186,0.1353352832366127
alpaca_12582,0.5659256836030607,1.5121577327558402
wildchat_397054,-0.6934233297725375,2.1222728956802386
competition_math_11856,3.0671054828554194,0.5985517681323717
wildchat_380716,1.06944157736882,1.2979692372234801
alpaca_11100,-0.4762046557483136,0.9550214052441339
wildchat_370944,-3.0637627857188514,0.3667129198515282
wildchat_212475,-1.9640036817316158,1.5298226658191165
wildchat_38202,-2.8723886016088493,0.8923006789030307
wildchat_80706,4.723605857361607,4.945360370048913
wildchat_155403,2.259802289885017,0.18685850945755542
wildchat_63034,-4.24432467901536,2.100441688309853
wildchat_150201,-2.3765600810219176,2.336867710775294
wildchat_307556,-3.6185087571170746,1.2333476277637958
wildchat_267211,1.2366693274086233,1.2952811953112953
wildchat_450616,-0.6419008617516535,1.2536698179175054
wildchat_371504,-4.557056683542254,0.9836859022605527
wildchat_481569,-3.8307582839192764,0.44944268344761784
wildchat_485901,-4.061460410881194,0.1353352832366127
wildchat_22047,-0.20215817157966903,1.208693960952481
alpaca_12170,0.03625305287830393,1.3793952325177603
wildchat_408191,-2.6049217905733477,0.1353352832366127
wildchat_501192,-3.081808304770151,0.1353352832366127
wildchat_380493,-0.7540634672543258,1.4498951229575323
wildchat_281793,2.2444891079973006,0.44860617263311703
wildchat_12203,-2.493557908944837,7.38905609893065
competition_math_8552,1.6441019351091015,1.9269620890012804
competition_math_9750,-0.5826274940058644,1.273076150640533
wildchat_412125,-2.992423161375368,0.1353352832366127
competition_math_9279,2.4517055939259365,0.911217001949159
wildchat_336700,-3.9678188777747514,1.7838095569126657
wildchat_287198,-3.4036708845011443,0.1353352832366127
wildchat_325621,2.909654104512634,0.7674193806035198
competition_math_5557,2.971209094792055,0.1353352832366127
competition_math_4117,2.972677103170515,0.1353352832366127
competition_math_12090,3.085956415632591,1.3655142519616537
wildchat_276333,0.8399063103423454,3.400546563751056
competition_math_10813,2.3760433789315045,0.1353352832366127
wildchat_7233,-3.498776286984102,0.37886885187330976
competition_math_7690,2.4808860397728068,0.1353352832366127
competition_math_9929,1.2781191632819147,1.3283954086358738
competition_math_8753,2.7941579615916936,0.1353352832366127
wildchat_50592,0.6648731128041567,2.193196589686829
competition_math_8812,3.5086634295009085,0.1353352832366127
wildchat_21414,2.16531529767126,0.1353352832366127
competition_math_3813,2.366692437102075,0.8199651866885925
competition_math_6536,1.1031891387781088,2.4978097712866028
wildchat_61131,-3.110147299035239,0.1353352832366127
wildchat_160634,-1.4836589226099313,0.5263593373549001
wildchat_427014,-3.87420401751788,0.37053703650377134
alpaca_14069,1.2385740764107385,0.1353352832366127
wildchat_418004,-7.960741621546656,0.1353352832366127
wildchat_65207,-0.8005330780750811,1.6313952383134536
wildchat_21307,-0.44517322426613176,0.7279267932174276
wildchat_237113,0.5820313719916632,3.1331474086872335
competition_math_8638,2.611780648341262,0.1353352832366127
wildchat_201482,2.0616981941902535,1.6171941451624878
wildchat_21423,-0.8419983118247469,1.8512094447238345
wildchat_38607,-0.5297121155931931,4.57057128576536
wildchat_177269,0.9325106033771412,1.1238227976735087
competition_math_11989,2.8579249338612533,1.089756719121217
wildchat_187607,-1.0017761579943878,2.1130209320138786
competition_math_8820,3.309923717320878,0.5392247507764165
alpaca_744,0.7730256115521611,1.371610634002501
wildchat_310179,-1.9119487537830417,3.070946463323757
alpaca_2535,-3.3467340178410825,1.8233788302173755
wildchat_91563,-2.785029533592713,0.1353352832366127
competition_math_8468,2.707563163641668,0.1846926541258948
wildchat_305789,0.979300584677719,0.711547540790218
wildchat_133065,0.7638778947681225,1.1943920915319994
alpaca_2106,0.9055455130582535,0.1353352832366127
wildchat_207428,0.5775148898489653,4.18385316169573
