task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-9.21495821577206,0.1353352832366127
wildchat_52049,-9.130587794256169,0.1353352832366127
wildchat_230709,-3.4312385319181824,0.1353352832366127
wildchat_360787,-10.0,0.1353352832366127
alpaca_8155,-1.948838629323427,0.1353352832366127
wildchat_491669,-5.0590206004709035,7.38905609893065
competition_math_599,-3.9439000626658562,0.1353352832366127
wildchat_242015,-9.530155011595735,0.1353352832366127
alpaca_666,-8.071965682901634,0.1353352832366127
wildchat_406914,-10.0,0.16451690712509584
wildchat_286136,3.703534292236974,0.1353352832366127
wildchat_301110,-4.636589045004171,0.40365548422716596
competition_math_2074,-1.7014396342559717,0.1353352832366127
wildchat_101141,-5.217437602144569,2.88404765996266
wildchat_85533,-10.0,0.1353352832366127
wildchat_151579,-10.0,0.1353352832366127
wildchat_107926,-1.713605614376069,0.1353352832366127
wildchat_151440,-9.084045307995945,0.1353352832366127
wildchat_107355,-9.959548001994484,0.21730632967218852
alpaca_8201,-8.564076979547862,0.1353352832366127
alpaca_13835,-4.110017333143855,0.1353352832366127
competition_math_11033,-0.8223837786959037,0.1353352832366127
competition_math_6148,-0.6741351068528499,0.1353352832366127
wildchat_5799,-9.327034521127775,0.1353352832366127
wildchat_117874,-2.0562509628901866,0.1353352832366127
alpaca_3800,-8.640284624105359,0.1353352832366127
wildchat_30204,0.33796575158402153,0.1353352832366127
competition_math_774,-8.06041901352391,0.1353352832366127
wildchat_67562,-5.28745345898609,0.3478177552440132
wildchat_400052,-7.450230980253413,0.1353352832366127
competition_math_9541,-5.1980697158209574,0.1353352832366127
wildchat_136494,-5.663205755818509,2.876788547049001
wildchat_452326,-10.0,0.1353352832366127
wildchat_31956,-7.533553579086464,0.25134278054466197
alpaca_3394,-5.877578513887976,0.1353352832366127
wildchat_11840,-7.963947019804922,0.1353352832366127
alpaca_3194,-3.912430851906485,0.1353352832366127
wildchat_302755,-5.21745798321058,0.1353352832366127
alpaca_3789,-7.286321598521683,0.1353352832366127
alpaca_5278,-8.174112053752623,0.1353352832366127
wildchat_28076,-3.5345550515552713,0.1353352832366127
wildchat_92092,-3.905479246393113,7.38905609893065
wildchat_70706,-7.533807868357718,7.38905609893065
wildchat_221228,-1.6286938116041287,0.1353352832366127
alpaca_6215,-7.026264782548986,0.1353352832366127
wildchat_197099,-3.173353736967374,0.1353352832366127
wildchat_202252,-6.609120748845711,0.1353352832366127
wildchat_255372,-9.03513170669007,0.1353352832366127
