task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-7.431973443435749,7.38905609893065
wildchat_52049,-9.691104633904668,5.4829959253300515
wildchat_230709,-7.673237040625487,7.38905609893065
wildchat_360787,-6.100144890830868,0.39653099729415076
alpaca_8155,-0.697387977134412,5.169993782311663
wildchat_491669,0.4862988615170277,1.6586482172524402
competition_math_599,-1.2071108068024032,4.060788062191806
wildchat_242015,-1.871398517379866,5.064696024605175
alpaca_666,-3.9727060563915693,2.4880255778335645
wildchat_406914,-5.174518651823118,7.38905609893065
wildchat_286136,-3.5627503671800183,4.88978456973175
wildchat_301110,-8.220542080564211,7.38905609893065
competition_math_2074,-0.4766577512277966,5.300745568195481
wildchat_101141,-4.163980247232513,6.284926348058986
wildchat_85533,-5.982522770807013,6.30617016653596
wildchat_151579,-6.807467427882004,5.620686383602259
wildchat_107926,-10.0,7.38905609893065
wildchat_151440,-6.805528292281504,3.895101847971695
wildchat_107355,-6.914880667387253,7.38905609893065
alpaca_8201,-2.8800470231082667,2.9123507020967843
alpaca_13835,-3.8942936917256064,0.1353352832366127
competition_math_11033,-3.241777776976458,7.38905609893065
competition_math_6148,-3.8589403860933964,3.3281052373621622
wildchat_5799,-6.424737450296513,7.38905609893065
wildchat_117874,1.586025715022444,7.38905609893065
alpaca_3800,-0.7245035960290035,3.581559109732418
wildchat_30204,-5.485367697411638,0.20129722460150293
competition_math_774,-0.011074565802614803,1.6284685663754024
wildchat_67562,-4.4288191593452115,0.1353352832366127
wildchat_400052,-2.23753107366933,2.9236001374326475
competition_math_9541,-0.5121090080762161,3.0294451695491365
wildchat_136494,-4.201875193072613,1.3161869188489075
wildchat_452326,-5.1090547234181365,3.534635496096966
wildchat_31956,-4.240804640708891,3.1805219942092475
alpaca_3394,-1.2212579904295422,1.8284722791588526
wildchat_11840,-1.1199645003441674,1.0927947649514327
alpaca_3194,-3.062117779091373,4.10585642074693
wildchat_302755,-4.473379584131885,4.823893437558208
alpaca_3789,-3.817159115190667,0.1353352832366127
alpaca_5278,-3.510202714133829,0.176528801017425
wildchat_28076,-3.4594103900292787,0.1353352832366127
wildchat_92092,-3.6349051400028025,0.1353352832366127
wildchat_70706,0.024586587967572685,1.7479974506918923
wildchat_221228,-2.9370769471964486,4.6029030750810405
alpaca_6215,-3.545460172990497,0.33114339378436486
wildchat_197099,-2.2866855535612833,3.2609560806049336
wildchat_202252,-3.70842028623699,3.2104775349269814
wildchat_255372,-1.9353825400674567,4.512642173731341
alpaca_6540,-3.3907243556910407,0.1353352832366127
alpaca_4906,-3.102568626122107,0.1353352832366127
wildchat_300885,-0.03086903182891787,3.193372222884908
competition_math_3741,0.8788458707522631,2.569294836936392
wildchat_16561,-2.630612137993378,5.962936186004691
wildchat_486004,-4.647809360228961,5.668819403669607
wildchat_51884,-3.3357871342346184,7.38905609893065
wildchat_43351,-3.325772293436155,0.1353352832366127
competition_math_1072,-0.6577455473685909,3.8924236506373475
wildchat_471945,-4.631445638753063,1.682645660092622
alpaca_12136,-3.1725525279188243,0.1353352832366127
competition_math_3985,-3.609960322175806,6.074773869762224
wildchat_178088,-5.208726588102955,2.734817402179712
competition_math_7154,0.041644511859721456,1.9251555378786818
competition_math_5482,-1.228158538523539,3.939832662303842
competition_math_7452,-2.412488736777719,3.2113475815016663
wildchat_65318,-1.5223050924593569,3.1362488442555883
wildchat_277847,-2.767206687893442,0.1353352832366127
competition_math_2993,-2.0189066550058063,3.812608667053559
alpaca_1564,-1.980591042338015,1.2842347710941406
wildchat_97883,-2.730523097188067,3.383728407718426
wildchat_36307,-8.661764656541012,7.38905609893065
wildchat_386942,-0.9215735530225315,0.8508508493603619
competition_math_12257,-0.3291927647352478,1.2510693723660413
wildchat_461066,-2.991119048351797,0.1353352832366127
alpaca_9116,-3.0614939666261205,0.1353352832366127
wildchat_110207,-3.001050751126665,1.0903526969559851
wildchat_10569,-2.8990152020857094,0.1353352832366127
wildchat_238138,-0.5848503976317314,0.1353352832366127
wildchat_392411,-2.9820603057880875,0.1353352832366127
wildchat_476483,-0.8398393621888611,1.554320668091621
wildchat_47358,-0.17874692585440102,0.8925194600221374
alpaca_11495,-2.3541387388617503,0.13602336089721462
wildchat_42061,-1.986507318803231,2.2530163464878945
wildchat_376237,-2.3822174962125557,2.168155929916747
wildchat_101149,-2.9782869187009893,0.22239880135637674
alpaca_5848,-2.9750111875079606,0.1353352832366127
alpaca_3571,-1.380771878434015,0.8943640383668937
competition_math_2137,-1.2224716356770893,1.622122427573143
wildchat_360558,-1.7353973078908003,2.9344098010400725
competition_math_1874,-0.18211827409131376,4.6446009008760205
competition_math_3861,-1.2039405380451775,3.389664844928164
wildchat_200285,-3.702370263513964,2.0487655276404224
alpaca_12777,-2.7211956923840748,0.42185431564111514
wildchat_397254,-1.3224654239104254,0.1353352832366127
alpaca_6632,0.14405376909957995,0.15594977143272334
competition_math_8144,-1.194508539028735,1.8655554498941642
competition_math_4568,-0.845562458732908,1.3930229229321454
wildchat_246548,-2.819657867889631,0.1353352832366127
alpaca_2746,-2.5661007129612035,0.1353352832366127
wildchat_370978,-3.2849528963966006,1.0649867906429535
alpaca_14175,-2.6289241520790823,0.1353352832366127
alpaca_12221,-2.543988973810304,0.1353352832366127
alpaca_10580,-2.4807576597973,0.1353352832366127
wildchat_52931,-0.34713153191634344,1.2308447411285008
wildchat_165489,-0.7963561087727139,1.3120782576987313
wildchat_462384,-2.940037223346132,1.763017181768007
wildchat_280334,-2.415876567486701,0.1353352832366127
wildchat_86310,-10.0,5.977038746495512
wildchat_46543,-0.8103407175869404,1.8094849066392267
wildchat_107554,-1.2052669693725946,0.1353352832366127
alpaca_1294,-2.5819227697098266,0.1353352832366127
wildchat_74036,-1.414372807983047,2.355741579917576
wildchat_370830,-2.1886958638149494,0.1353352832366127
