task_id,mu,sigma
wildchat_195600,0.0,0.1353352832366127
wildchat_371189,-10.0,7.38905609893065
wildchat_52049,-5.716779409811836,0.1353352832366127
wildchat_230709,10.0,4.19734445596341
wildchat_360787,-5.547890797561476,6.954572149651245
alpaca_8155,-3.981487634229015,7.38905609893065
wildchat_491669,2.0533389987714696,1.9671535010539605
competition_math_599,2.4734189297678433,1.894912397774467
wildchat_242015,-0.6603699839134227,2.337983281865655
alpaca_666,3.6739615273220014,2.138983868666654
wildchat_406914,-7.143663596343571,6.768611353478725
wildchat_286136,2.1214376571151394,4.964171971133485
wildchat_301110,-5.317948216900351,0.1353352832366127
competition_math_2074,6.233211610811383,2.9141599825915607
wildchat_101141,0.6816282921587665,7.38905609893065
wildchat_85533,-5.714931206507229,5.894133024624528
wildchat_151579,-7.444870087633,7.324616438935119
wildchat_107926,-4.0246863236389405,3.3851964565957053
wildchat_151440,-3.0597153150453744,7.38905609893065
wildchat_107355,-7.047235603237462,6.632629578644323
alpaca_8201,5.077299322726294,1.0134944684259264
alpaca_13835,0.2062116886569036,0.1353352832366127
competition_math_11033,5.2725315306999025,2.3500177409396534
competition_math_6148,4.6703229507945005,1.8910121850155939
wildchat_5799,-5.283516266029696,7.159618315131198
wildchat_117874,2.928863380622008,4.261398770668612
alpaca_3800,9.542309982087609,0.1353352832366127
wildchat_30204,-8.77005441336246,0.1353449586072288
competition_math_774,3.369527001992686,4.983351076336413
wildchat_67562,-3.413759611632796,0.5609592317806127
wildchat_400052,-1.9709100351767692,6.581809708983109
competition_math_9541,1.1611997909614682,6.837319603059216
wildchat_136494,-2.307278189383746,5.884817600605936
wildchat_452326,-2.5008212760062554,2.1337852950889884
wildchat_31956,0.29917226674668196,2.4438104599958326
alpaca_3394,0.595824055129681,1.754225354911179
wildchat_11840,-0.5486220693829447,4.1035147590772425
alpaca_3194,0.8261621681619826,1.9875522352871084
wildchat_302755,0.8777391649692907,0.5525537974566509
alpaca_3789,-3.2069616917195716,0.1353352832366127
alpaca_5278,-1.1998433925967624,6.037653473139471
wildchat_28076,-3.3230787974792295,0.7202691028580389
wildchat_92092,-3.1996681016962705,5.724798653356696
wildchat_70706,-0.17284703246344055,3.939204985361986
wildchat_221228,-3.010098118513539,6.705128471312254
alpaca_6215,-1.970230229791841,2.198503673146053
wildchat_197099,-2.903252856623629,2.634582957148441
wildchat_202252,0.1790865531702203,2.381621512665628
wildchat_255372,5.520781820748752,1.0369232674211706
alpaca_6540,-0.3569212781126558,3.2382442733259063
alpaca_4906,-0.5618425031356747,3.143253384927115
wildchat_300885,2.223585709052655,1.4037090909657826
competition_math_3741,5.33237973539811,0.1353352832366127
wildchat_16561,-0.10754215446516198,6.629565316195328
wildchat_486004,-2.8543862315597712,0.1353352832366127
wildchat_51884,-2.372128437804536,5.94865923806903
wildchat_43351,-2.754226179130467,3.800701450296407
competition_math_1072,4.8978415537002595,0.1353352832366127
wildchat_471945,-3.0221412533553065,0.1353352832366127
alpaca_12136,-1.0034582722730376,1.5749502570808642
competition_math_3985,4.0758117263710725,0.5581403577890862
wildchat_178088,0.745584513712534,4.0868625840309445
competition_math_7154,6.294057327542994,2.374243009458471
competition_math_5482,1.9026439218744144,1.9460315703151498
competition_math_7452,1.4497939171682712,3.8742804359800953
wildchat_65318,-2.557199074813223,0.1353352832366127
wildchat_277847,-0.7119513155954834,2.7253934408632556
competition_math_2993,4.169347256080516,0.1353352832366127
alpaca_1564,3.1349412107918813,1.6467738192185202
wildchat_97883,-4.376761853674272,1.8301892678588112
wildchat_36307,-0.09620252643714897,3.321403604650811
wildchat_386942,1.8240174529685846,2.0198744929295165
competition_math_12257,5.276528094602444,0.1353352832366127
wildchat_461066,-2.816165549843247,0.1353352832366127
alpaca_9116,0.8902462074694805,1.2410752295876504
wildchat_110207,0.18666806262358868,2.6860733167862803
wildchat_10569,2.6539123525681245,0.8835817547898794
wildchat_238138,0.3711982433368767,0.1353352832366127
wildchat_392411,-1.810958049530096,5.591198178234113
wildchat_476483,0.09923447515240788,1.8580039618084945
wildchat_47358,2.7913755792828843,1.743085722329154
alpaca_11495,0.24124904223333354,1.6287981516272672
wildchat_42061,0.8455271996455664,2.6590752600902428
wildchat_376237,-2.668681052661497,0.1353352832366127
wildchat_101149,-1.8830739957635447,0.1353352832366127
alpaca_5848,-2.5826921086049994,0.1353352832366127
alpaca_3571,0.23724554657326558,0.1353352832366127
competition_math_2137,6.362697506792817,1.6360175274071012
wildchat_360558,-2.45163856414914,0.1353352832366127
competition_math_1874,2.0618585076103977,1.536349395035892
competition_math_3861,5.41187969840646,0.1353352832366127
wildchat_200285,-2.3233328525174364,0.1353352832366127
alpaca_12777,-0.40396810429650315,1.4981464308917878
wildchat_397254,-0.2317962736259835,0.1353352832366127
alpaca_6632,1.4597530130972984,4.365629443661719
competition_math_8144,3.1593314218370754,4.533103532367045
competition_math_4568,2.610044983587225,1.5019032639710945
wildchat_246548,-2.3260930565479963,0.1353352832366127
alpaca_2746,2.580310063068301,7.38905609893065
wildchat_370978,-2.5534232324915824,1.8932258105587267
alpaca_14175,0.8146067904488891,0.1353352832366127
alpaca_12221,1.9168860030172379,5.368869938104035
alpaca_10580,1.4798551165860974,2.6197390486714207
wildchat_52931,1.6171455830153554,1.2779826874961466
wildchat_165489,0.8092410170360033,0.1353352832366127
wildchat_462384,-2.1738872983475033,0.1353352832366127
wildchat_280334,-2.1894852222325905,0.33614750383579606
wildchat_86310,-1.9073692473194153,1.9867792436329452
wildchat_46543,0.5120867041650754,7.38905609893065
wildchat_107554,3.3170695227764986,2.169530555526173
alpaca_1294,0.5285397558220895,0.1353352832366127
wildchat_74036,1.0216528269690275,2.5626504266394674
wildchat_370830,-0.7680087067775194,2.040472139543046
wildchat_18157,4.752827297456955,2.9878440671564412
wildchat_132717,3.775263010405459,2.124580938678204
competition_math_7955,6.111528141292283,0.9478273054689826
wildchat_15831,-10.0,0.1353352832366127
wildchat_277683,0.4207280830822652,2.221136803534904
wildchat_170744,-1.480613885969767,3.3718250207943767
alpaca_11084,1.5290143187253926,2.1974115920255466
wildchat_195907,0.5428302060999485,2.20874083190023
alpaca_94,0.7659437592540234,2.1411268391955325
competition_math_1902,4.787591272593259,2.231345691602095
wildchat_376365,1.227849616511155,2.816802673513397
wildchat_236329,0.8033130696024786,3.2639654083278167
competition_math_3117,6.36929091276955,1.3654504975645132
wildchat_497264,2.5434549434900138,0.27666901565388335
wildchat_390724,-1.4571334351979208,0.1353352832366127
wildchat_140731,0.06028483437653294,2.0483355041776026
wildchat_58499,-1.107547793151033,0.1353352832366127
competition_math_4938,4.05059415334946,1.1823035028406188
wildchat_12092,1.2916288009564645,2.1989847918865144
competition_math_7244,1.9997884229608172,2.9820189438503872
wildchat_465612,-0.09151431209972148,7.274324090227785
wildchat_361738,0.08693075816843561,1.4387463522345156
competition_math_9276,3.799579510796725,2.032019236916229
wildchat_420864,0.5082424751122452,0.2987211241485174
wildchat_170980,-0.1671133432318345,0.1353352832366127
wildchat_510,0.4734343992162572,0.1353352832366127
wildchat_61210,2.7155331655931625,1.0613671617146552
competition_math_2693,4.575107942356686,2.0991553131967113
wildchat_97136,-0.6453714445628108,0.1353352832366127
wildchat_380500,0.7398346705033373,1.3997189928070681
wildchat_72464,2.259922809385519,1.1206944690926495
wildchat_121705,2.1158467896147,0.7114358400633386
alpaca_10434,1.861113664149703,1.5156206924514144
competition_math_7328,4.633273556164792,2.9123078180507505
competition_math_8106,4.779500583108886,3.3838044890431114
competition_math_666,2.3980889050779064,1.7103566142696864
wildchat_102235,1.3266058834363486,1.1856669366772459
competition_math_9600,3.8700194287382765,3.355420489351504
wildchat_303004,-0.8889705367485851,1.366687036989196
wildchat_390817,6.114388251878103,2.6122647083659563
wildchat_427956,0.5293753632068294,0.1353352832366127
alpaca_6956,0.9796741267322644,3.3115540484419554
competition_math_12402,4.640662836300684,0.889124967549338
competition_math_5746,3.021145222328796,3.543001365355584
wildchat_60105,3.6488497102597894,2.082857131531458
wildchat_18055,0.01672191337897684,1.6363603183993625
wildchat_75543,2.7740607499679752,2.820073287146259
wildchat_121903,0.8023956121042765,4.685492142865967
competition_math_3707,7.875260909052136,2.2309633017232753
competition_math_2646,4.142354283246515,1.0196529159287486
alpaca_8509,-1.104441870676369,2.9857375907836
alpaca_1666,0.7605955108392627,1.299191369480475
wildchat_6084,0.8193353275729679,0.1353352832366127
wildchat_291440,-0.09195800330246766,1.8892191027917868
wildchat_151721,0.6134632590776614,0.1353352832366127
wildchat_435023,-2.4383204706620822,3.3661937435049394
wildchat_485490,-3.3907424447238768,4.182016206884936
wildchat_436995,1.5388544819130436,0.7238490023787594
wildchat_66815,2.1297094587230707,2.697862182946872
wildchat_27196,3.507827419715294,0.7649165276865013
wildchat_280574,0.5614265742482529,0.1353352832366127
wildchat_2614,0.5123354151298698,0.1353352832366127
wildchat_43276,-0.3406171067803809,5.109403818506327
wildchat_337595,3.574690780546465,0.1353352832366127
wildchat_411271,-0.14348455505506025,2.2325136493289133
wildchat_226990,0.6776630950362584,0.1353352832366127
wildchat_136031,-0.051335641107816264,0.1353352832366127
alpaca_12712,-0.4939708073961188,1.2759524276999834
wildchat_351446,2.1365125523034996,0.964398368366795
wildchat_322343,0.38034965847327057,1.875747556492957
wildchat_145716,5.590069505308054,5.85024890987877
wildchat_85910,4.081459007228096,1.6068036290648955
wildchat_72073,1.5446854825878136,2.279508308803201
alpaca_13688,1.1754574600294299,0.8041554617255612
wildchat_285973,-0.9907590327613507,0.688625651027103
wildchat_28082,5.583956296589962,0.1353352832366127
alpaca_1889,2.4344570603376323,2.3921698976771224
wildchat_63215,1.2833504309163717,3.6968648159012987
wildchat_378172,-1.3474388749240434,2.1216484412540266
alpaca_10604,1.942783011698666,0.1353352832366127
alpaca_2008,2.312413281711677,0.1353352832366127
wildchat_1883,-3.027499581231239,4.599570150831342
wildchat_321273,3.4278028322040774,1.5865600731809524
wildchat_280890,3.6154216912898405,1.366650768455891
alpaca_4445,0.9037288673764549,0.1353352832366127
alpaca_8496,0.5553939185178014,0.1353352832366127
competition_math_8417,4.074494038739387,2.7674419877466567
alpaca_7494,2.1027282565940233,0.1353352832366127
wildchat_247329,1.910553655734753,0.6836840921312184
wildchat_1319,2.0310883322081232,3.255270594326159
wildchat_141133,1.0434665013430737,0.1353352832366127
wildchat_71439,2.433773782537096,1.925974942396648
wildchat_115850,0.9954539924776897,0.8555416420284941
competition_math_9232,5.960311535270216,0.1353352832366127
competition_math_3274,7.939293397515363,2.3918282763855236
wildchat_490409,0.7686198620324838,0.1353352832366127
competition_math_10696,8.19233523500077,1.3707545302712785
wildchat_402827,2.6791289791974697,0.27619219680744506
wildchat_485949,-9.614520660804102,0.1353352832366127
wildchat_217328,1.7662960760438233,0.5871506992645799
wildchat_48592,2.3328254005217532,3.120968827640038
wildchat_45261,1.0715521509072485,7.38905609893065
wildchat_22409,-9.211171294111695,5.344563383166443
wildchat_14144,-0.05383635977598321,2.186079079903112
wildchat_16293,3.1473175776900573,3.5921963355534174
wildchat_38289,2.3372774690446763,0.9378912580821462
wildchat_300852,1.962361602661993,0.1353352832366127
alpaca_12582,2.0817477269657974,1.7798446462782131
wildchat_397054,1.8335048410500663,1.7819337238337776
competition_math_11856,4.719590373757114,1.9547127460088747
wildchat_380716,1.2442304747596113,3.68504604813301
alpaca_11100,1.1694715438600847,0.1353352832366127
wildchat_370944,0.33616186214490845,1.8882352443286083
wildchat_212475,0.6579242109268609,0.5685477488540323
wildchat_38202,-2.486178173751551,4.961386131070797
wildchat_80706,3.469703727765156,2.166475193658769
wildchat_155403,0.4932411516391477,1.813146147807228
wildchat_63034,0.1507102012836426,0.1353352832366127
wildchat_150201,-5.621547991273659,4.7728441151361904
wildchat_307556,0.16669684154544917,0.1353352832366127
wildchat_267211,2.0227943350137925,0.6961951946536793
wildchat_450616,1.1249430792985007,1.4737580438770341
wildchat_371504,-0.38809141126468366,1.3727950477201134
wildchat_481569,2.046532328221157,0.1353352832366127
wildchat_485901,0.5680308785906077,2.3496030201761053
wildchat_22047,2.7263816112012718,1.651309789480439
alpaca_12170,1.4371219901428938,0.1353352832366127
wildchat_408191,2.002510815396051,3.960612527801931
wildchat_501192,1.9469659263841181,0.7496296579067104
wildchat_380493,2.6849366605588387,1.1893017950848783
wildchat_281793,4.438414844185422,1.2026059384439773
wildchat_12203,1.9972405641792041,1.9914913922445532
competition_math_8552,5.429209900143322,1.0270270236453978
competition_math_9750,2.1203449856001826,0.5582157125695505
wildchat_412125,-0.5318096179348313,3.141615336066325
competition_math_9279,6.270964057775615,2.0805731807946057
wildchat_336700,2.8099962761463004,2.122526634723119
wildchat_287198,1.854241574094472,0.1353352832366127
wildchat_325621,3.9761825199104903,0.1353352832366127
competition_math_5557,5.578913739337757,0.1353352832366127
competition_math_4117,3.3870221428015688,1.8117705685383894
competition_math_12090,5.705503642887415,0.1353352832366127
wildchat_276333,2.6873381511701044,1.5636087189503565
competition_math_10813,2.822133145257743,2.6344657455678613
wildchat_7233,4.349776220586833,0.1382137116408415
competition_math_7690,4.945542306971212,1.6150863242156703
competition_math_9929,6.186408993290609,1.4211782925530345
competition_math_8753,4.754163320930967,2.3442167072375577
wildchat_50592,10.0,5.0325423624166135
competition_math_8812,6.467337059865375,2.0503643349428495
wildchat_21414,4.1148943552980555,2.229809899869155
competition_math_3813,6.843430477466906,2.0360347685392632
competition_math_6536,5.513642648250645,1.8137661796648437
wildchat_61131,1.883214761744008,0.1353352832366127
wildchat_160634,4.932232475295791,0.1353352832366127
wildchat_427014,1.7018384432471818,0.1353352832366127
alpaca_14069,2.2244165712478408,0.36601598250277817
wildchat_418004,0.9660392268118855,1.982335722200512
wildchat_65207,3.894705074125286,2.307295148834759
wildchat_21307,2.294513783694538,0.1353352832366127
wildchat_237113,0.21899359939834365,4.6322773231362095
competition_math_8638,4.135491679467163,1.4528833170511093
wildchat_201482,4.617331677542,0.8147486681547744
wildchat_21423,0.3730183590191764,3.832328603271252
wildchat_38607,-1.5154915350994698,2.0806313514356187
wildchat_177269,3.1802172012888805,1.640863223680081
competition_math_11989,7.449011736276848,6.457279676679383
wildchat_187607,3.9971685331990985,0.1353352832366127
competition_math_8820,5.069340075895299,2.0436577636390543
alpaca_744,5.581031304457104,3.3850305318918865
wildchat_310179,-1.978188528536056,0.1353352832366127
alpaca_2535,2.453455184558706,0.8580369192179907
wildchat_91563,1.8718603564447684,0.1353352832366127
competition_math_8468,5.313988175778548,1.5254431735870404
wildchat_305789,1.868978868266576,1.5155746787576603
wildchat_133065,4.451551597414374,3.0012117123170836
alpaca_2106,4.664312022353311,1.4389534896493579
wildchat_207428,4.302290091017413,0.8780744985997152
wildchat_272521,2.0700541087908504,2.399989485152451
wildchat_96999,4.544404700942306,1.5999119391596652
wildchat_216683,2.255278723667943,0.6761525223514485
wildchat_41118,1.6846304984793008,0.8260959608629588
wildchat_47808,2.0626560866995907,0.1353352832366127
wildchat_205888,-5.138231019801164,4.716955155997541
wildchat_445922,0.6400116324236361,0.9106541562730999
competition_math_7979,5.875574240069983,0.1353352832366127
wildchat_341869,1.2997075164153062,1.7670218143831284
wildchat_20624,2.4803010038503914,1.3425836060748986
competition_math_11541,7.739306434544656,2.7798372029769287
wildchat_226066,-1.1156403460940916,1.7684989927074966
wildchat_670,2.2193991028107067,0.1353352832366127
wildchat_43528,2.082412456544293,0.1353352832366127
competition_math_9984,5.800213165441356,2.1771347201856845
wildchat_170772,2.3737699252804503,0.1353352832366127
wildchat_76215,0.6036728965404777,1.611235443812421
wildchat_286034,1.860422922191659,1.6906568896677139
alpaca_8137,2.7340384190716716,0.1353352832366127
wildchat_11418,2.9283303709916235,0.1837930294091178
wildchat_130130,0.06886732630450301,2.0452795701171356
alpaca_12207,0.6218840351665554,4.917657681583651
wildchat_202597,1.274634004724573,1.5353697629415892
wildchat_28034,2.245712241340403,0.7390107129778184
wildchat_266884,2.332976207135155,2.0297695273632317
wildchat_376819,2.2546582924963183,0.1353352832366127
wildchat_176766,2.219788739052511,0.1353352832366127
competition_math_11957,9.214653725671555,2.023850238521385
wildchat_67880,5.224762147364134,1.102081976978132
wildchat_59656,4.536189749098456,0.1353352832366127
wildchat_73034,-10.0,4.675633211869164
wildchat_205471,3.14070188042617,2.677799168092405
wildchat_47220,3.2157715880892304,1.3110663878284792
competition_math_8788,5.333287228207295,0.8112826190341647
wildchat_495229,2.2299268876439986,0.1353352832366127
competition_math_5300,4.399399963868335,2.6577060658779113
alpaca_12746,2.488127755502674,0.1353352832366127
wildchat_61327,2.8215684604791953,1.3266677827634836
wildchat_395404,-0.8613642155253013,2.915347017105572
alpaca_11032,2.6570066525824836,0.1353352832366127
wildchat_297601,5.16941882705837,1.4103658244505646
alpaca_1014,2.388514871686526,0.1353352832366127
wildchat_21655,2.1286055056073456,0.1353352832366127
wildchat_190054,4.484869940982111,0.1353352832366127
alpaca_9851,2.5735383309133884,0.1353352832366127
alpaca_7837,3.7720330371362754,1.4228157730372497
competition_math_6986,5.1004605613087275,1.3589061748061644
wildchat_493118,2.567638270501502,0.1353352832366127
competition_math_7900,4.368045301258578,0.1353352832366127
alpaca_3532,2.518955522826172,0.1353352832366127
wildchat_357273,3.1721676391955875,0.1353352832366127
wildchat_312130,2.2427816655131063,0.1353352832366127
competition_math_4740,5.109404756681717,5.442580448768069
alpaca_4761,3.0153431470524716,0.1353352832366127
wildchat_122705,4.927073599374603,2.56322949469218
alpaca_587,2.6878150141920676,0.1353352832366127
wildchat_49639,-2.0155312243633445,2.9356959772434275
wildchat_6282,5.675421313360438,0.1353352832366127
wildchat_451529,5.2553453395756655,0.9043842465421876
wildchat_25698,2.721976283903641,1.712853256338611
competition_math_7925,6.292964303451707,0.1353352832366127
competition_math_11670,3.9239476456436595,2.4642233284775057
wildchat_198006,1.6610415371808585,6.861521666622299
wildchat_27254,0.23859088879878454,2.634500045188994
competition_math_3042,5.018394222727235,0.24371590218311007
alpaca_13569,2.788982799038697,0.1353352832366127
wildchat_4061,7.006099245308885,1.3019555547038841
alpaca_8147,2.628430955000162,0.1353352832366127
wildchat_217614,2.4340100005538408,3.487990926120368
wildchat_256575,2.1887218150474426,1.1729575106464283
wildchat_457716,2.682694636200144,1.439488984071998
wildchat_255645,4.606418927632692,1.3174923542399513
wildchat_62072,2.7649243082807975,0.9679298514796044
wildchat_180045,1.2482259414601646,1.603327620830237
wildchat_175048,1.1860505192609294,3.326055153776304
wildchat_160596,6.034537289172442,0.7734145391056456
wildchat_27856,5.186602234543988,1.5221100497742992
wildchat_491908,2.7163252345345503,0.1353352832366127
wildchat_465530,2.854734155934793,0.1353352832366127
wildchat_115058,2.8327932113473393,0.1353352832366127
wildchat_186405,5.227696630631464,0.9202730544263412
wildchat_452851,2.6952588569094638,0.1353352832366127
wildchat_46188,5.023846711912975,0.6989752463786081
wildchat_371274,3.569505419386999,1.9240060662026433
alpaca_9685,2.562138767713844,0.6469750243830004
wildchat_136285,5.912201701689751,0.1353352832366127
alpaca_3019,3.1079644420353043,0.1353352832366127
alpaca_4341,3.1534081002542336,0.1353352832366127
alpaca_13725,5.0166396487664615,0.1353352832366127
competition_math_11428,6.307949991265468,0.1353352832366127
alpaca_2042,4.772747739883999,1.485755844328981
wildchat_34310,4.613283377603732,0.1353352832366127
