task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-10.0,7.38905609893065
wildchat_52049,-7.5088923825599565,7.38905609893065
wildchat_230709,0.8787774760558305,2.3453444598506077
wildchat_360787,-9.872931664406188,7.38905609893065
alpaca_8155,-5.609043982687968,6.175070294884186
wildchat_491669,-6.771656181654985,7.38905609893065
competition_math_599,-4.5467828153087595,4.733456509072056
wildchat_242015,0.7888668845118268,1.6454615093115146
alpaca_666,-4.964676359390931,0.2314634836618631
wildchat_406914,-4.127989750800628,5.155915915857863
wildchat_286136,-4.367089438547883,4.304355531576272
wildchat_301110,-7.905960076579874,7.38905609893065
competition_math_2074,1.8489873585671426,4.032181590832528
wildchat_101141,-6.3084156799660605,2.9492090379880582
wildchat_85533,-8.595178684944457,7.38905609893065
wildchat_151579,-10.0,6.948805476420103
wildchat_107926,-9.654866865536034,0.1353352832366127
wildchat_151440,-9.276675554153067,0.1353352832366127
wildchat_107355,-6.5273204616219545,5.860637101202185
alpaca_8201,-3.827394630845343,1.2912353278055841
alpaca_13835,-4.824919501626067,0.1353352832366127
competition_math_11033,-1.1367995629377652,7.38905609893065
competition_math_6148,-1.1910343721883034,5.125407411231488
wildchat_5799,-10.0,2.2633598579075214
wildchat_117874,0.34703049345267956,2.6538939119336664
alpaca_3800,-2.9917669062953633,7.38905609893065
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,0.5514865365584851,3.2897822899760527
wildchat_67562,-10.0,5.188307195333997
wildchat_400052,-5.777579024807184,4.798396245677464
competition_math_9541,-2.749227080182163,7.38905609893065
wildchat_136494,-4.89779121332981,0.1353352832366127
wildchat_452326,-8.016498465021826,7.38905609893065
wildchat_31956,-7.034517251288624,4.804001438107328
alpaca_3394,-2.731671088556737,0.1353352832366127
wildchat_11840,-1.2876519626687968,5.152167566956574
alpaca_3194,-5.721442692944695,3.47331525190015
wildchat_302755,-3.919472648250041,3.0547140027666533
alpaca_3789,-5.0203595121965465,1.1919300364599459
alpaca_5278,-3.1209414242990188,2.285592092565249
wildchat_28076,-10.0,6.081253165463337
wildchat_92092,-5.05323518445715,6.541231021209276
wildchat_70706,-2.7406572612582187,4.4662178928791185
wildchat_221228,-5.066287790233559,3.854947529019111
alpaca_6215,-4.639819035299597,0.1353352832366127
wildchat_197099,-3.1337793288152977,1.2368900029578753
wildchat_202252,-4.194313961788022,1.3749185249849092
wildchat_255372,-3.0725476352021293,4.161947952741833
alpaca_6540,-3.167264313359339,0.1353352832366127
alpaca_4906,-4.594904428349218,0.1353352832366127
wildchat_300885,-4.424722436213242,5.262747370794986
