task_id,mu,sigma
wildchat_195600,0.0,2.6013319917567763
wildchat_371189,-7.770201418723794,4.0923794819501875
wildchat_52049,-0.8140472730954059,2.6810053674789147
wildchat_230709,4.530824493652996,2.3677792898285555
wildchat_360787,-8.795418927593689,0.1353352832366127
alpaca_8155,-5.628833337054245,7.38905609893065
wildchat_491669,-2.2865151588013006,4.052265200647089
competition_math_599,-1.5301718625037315,1.8464469980202773
wildchat_242015,2.2504431625361243,0.9931502979072534
alpaca_666,-1.8358934431174343,3.142423539434621
wildchat_406914,1.9828890092314218,0.1353352832366127
wildchat_286136,-0.1078045721602385,1.2432311876508857
wildchat_301110,-4.961484972544766,5.415346581020811
competition_math_2074,-1.2253080922552584,3.7118263114256527
wildchat_101141,-1.0420771890365919,1.3639316831471613
wildchat_85533,-9.634921037007794,0.1353352832366127
wildchat_151579,-1.7921311816188872,5.436333951925657
wildchat_107926,-6.585342182732379,4.492121173424681
wildchat_151440,-3.6300765683129956,5.482622721435667
wildchat_107355,-7.476360105468764,1.165166934994844
alpaca_8201,-2.0235197730729486,3.0975926826844162
alpaca_13835,-0.9192609601233217,3.4577444927172287
competition_math_11033,-1.5694989444365852,2.387727455750846
competition_math_6148,0.07257599216012522,2.420064105534749
wildchat_5799,-8.211499847237679,0.1353352832366127
wildchat_117874,1.7238412553636502,2.515007079955476
alpaca_3800,0.41299187791363473,3.838738299530866
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,-0.8532582783168678,4.604046693022404
wildchat_67562,-6.463073594808513,4.384677159566344
wildchat_400052,1.6561572890079643,1.1435952742908373
competition_math_9541,-0.5339745628371588,2.4341659237918694
wildchat_136494,-1.4071990621048858,1.334072501365044
wildchat_452326,-6.550202429510232,3.031925025860307
wildchat_31956,0.7250018033093829,2.6718573039011146
alpaca_3394,-3.5996829829160815,2.130823842488135
wildchat_11840,1.5341846853451868,1.3566559409378753
alpaca_3194,-1.0811200924568556,2.3424850829767427
