task_id,mu,sigma
wildchat_195600,0.0,2.3400110804239307
wildchat_371189,0.6183302210599816,7.38905609893065
wildchat_52049,0.6984584058374504,4.455277539710493
wildchat_230709,10.0,6.5194528214156335
wildchat_360787,4.404721269994887,4.752256098181481
alpaca_8155,9.71096545333922,3.2452982245917035
wildchat_491669,5.06155190649475,5.64688676453852
competition_math_599,-0.14198655064659252,4.4065947222605155
wildchat_242015,10.0,3.0616192674498595
alpaca_666,8.197129945686397,0.1353352832366127
wildchat_406914,10.0,0.1996727386815565
wildchat_286136,6.1749378174447624,0.1353352832366127
wildchat_301110,2.9979366330745343,4.355811109311564
competition_math_2074,9.202237601291685,7.38905609893065
wildchat_101141,4.01227493483432,7.38905609893065
wildchat_85533,-9.68456394398223,0.1353352832366127
wildchat_151579,-0.02496074613397291,6.066332827055138
wildchat_107926,4.06659490406546,1.2070620208032123
wildchat_151440,4.128900881084273,5.563520382488128
wildchat_107355,-8.456425075518375,0.8912665200732879
alpaca_8201,10.0,6.9645781791562875
alpaca_13835,7.790856850581645,0.1353352832366127
competition_math_11033,8.08424367455772,3.7769960233279605
competition_math_6148,5.936514140831552,0.1353352832366127
wildchat_5799,-2.8265998794520417,4.374189481737118
wildchat_117874,9.844862306037097,6.477879420432893
alpaca_3800,7.495537602581569,0.1353352832366127
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,8.820666409649304,7.004739013507433
wildchat_67562,-4.557309666304766,0.4619869111135401
wildchat_400052,6.464449356009483,5.595142516768103
competition_math_9541,5.657086940410939,0.1353352832366127
wildchat_136494,3.0579066792290246,7.38905609893065
wildchat_452326,-2.794206015343922,2.21099322851614
wildchat_31956,5.7648781759727905,5.612121184209263
alpaca_3394,4.807341930051578,1.297342327211848
wildchat_11840,7.09486838957128,4.703193188967641
alpaca_3194,4.946101241272406,0.715302805203991
wildchat_302755,0.35208970054662186,6.121079541429415
alpaca_3789,4.8925846742984405,0.1353352832366127
alpaca_5278,6.023720711773145,1.3799332059196312
wildchat_28076,0.9553850629384812,3.8263932458077283
wildchat_92092,1.7252125407227152,5.144025381339717
wildchat_70706,5.119018067588732,6.303681554935703
wildchat_221228,5.790166773526718,7.38905609893065
alpaca_6215,4.6362105398122155,0.1353352832366127
wildchat_197099,3.6300287327843948,0.7791410785067235
wildchat_202252,2.5036044051854436,5.534145125415988
wildchat_255372,4.602732144164121,0.1353352832366127
alpaca_6540,4.389393105070079,0.1353352832366127
alpaca_4906,-1.7475689556885359,4.440385693708507
wildchat_300885,4.329295880649071,0.1353352832366127
competition_math_3741,4.190718531815151,0.1353352832366127
wildchat_16561,4.440126053770074,0.1353352832366127
wildchat_486004,-5.4519195012794865,0.1353352832366127
wildchat_51884,3.3960602592092433,3.249259919971196
wildchat_43351,-0.4248389704270799,7.38905609893065
competition_math_1072,3.6955678339790037,1.0937142727370794
wildchat_471945,-8.073451505713342,0.1353352832366127
alpaca_12136,4.430165201546381,0.1353352832366127
competition_math_3985,1.1471528207467523,6.418133831020237
wildchat_178088,5.796134244923881,0.9815769182658077
competition_math_7154,3.9440828655601448,0.1353352832366127
competition_math_5482,4.253594094739061,0.1353352832366127
competition_math_7452,4.606883803139559,7.38905609893065
wildchat_65318,4.436824602508793,0.26388882524103796
wildchat_277847,-0.8553563016947227,3.3956941961753597
competition_math_2993,3.989072902767498,0.1353352832366127
alpaca_1564,3.923905601135262,0.1353352832366127
wildchat_97883,3.246291025629867,4.4891428720113185
wildchat_36307,3.819921258758083,1.0219203330849569
wildchat_386942,4.83959530611537,5.175032842069465
competition_math_12257,3.6025285605280386,0.1353352832366127
wildchat_461066,-1.4919272140754325,3.1145816269168933
alpaca_9116,1.1375366804036302,2.6492909504213182
wildchat_110207,3.333832719994102,0.770219110246521
wildchat_10569,3.8379756706241954,0.1353352832366127
wildchat_238138,3.570803495050418,0.1353352832366127
wildchat_392411,3.746613695473585,0.1353352832366127
wildchat_476483,2.810630645902157,5.789020471219161
wildchat_47358,0.2668101337049614,3.496079891095768
alpaca_11495,3.4684912333644626,0.1353352832366127
wildchat_42061,3.3667135212911257,0.1353352832366127
wildchat_376237,0.9846089709395871,5.298276738224002
wildchat_101149,-1.945081099694307,4.958210690773052
alpaca_5848,-1.9872987288807444,7.377864656730512
alpaca_3571,3.7118005986529865,0.1353352832366127
competition_math_2137,2.4891511257374344,4.959191231602332
wildchat_360558,-2.254487568859135,2.32767322233008
competition_math_1874,3.3898018792573548,0.1353352832366127
competition_math_3861,2.8805209215540866,3.5050694461191463
wildchat_200285,0.573283820010497,4.602046936373525
alpaca_12777,3.177630949394706,0.1353352832366127
wildchat_397254,1.8299279094624212,4.293187458334671
alpaca_6632,3.2694740636807964,0.1353352832366127
competition_math_8144,3.3172645326373744,0.1353352832366127
competition_math_4568,-0.93677055095323,5.682082505606049
wildchat_246548,-0.6149892070245757,3.4704600900100977
alpaca_2746,3.0506560035542165,0.1353352832366127
wildchat_370978,-4.346738096140359,4.48444886912543
