task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-10.0,6.650020766419385
wildchat_52049,-9.237953717616184,7.38905609893065
wildchat_230709,-2.66279047801818,3.4671754765253877
wildchat_360787,-10.0,7.38905609893065
alpaca_8155,-5.35839382391443,7.38905609893065
wildchat_491669,-8.956286343875327,7.38905609893065
competition_math_599,-5.743831267231022,7.38905609893065
wildchat_242015,-6.91368210699116,7.38905609893065
alpaca_666,-10.0,6.987006154190867
wildchat_406914,-8.749291236334054,0.18298768114993255
wildchat_286136,-9.124471557130203,7.38905609893065
wildchat_301110,-8.708492586470852,5.028950757553393
competition_math_2074,-6.882549875810847,6.959572652728445
wildchat_101141,-7.749379054107425,4.852735662707566
wildchat_85533,-10.0,7.38905609893065
wildchat_151579,-7.418394823146732,0.15578552730503506
wildchat_107926,-8.017668233755872,0.1353352832366127
wildchat_151440,-7.576198140838593,0.1353352832366127
wildchat_107355,-7.364949960400084,0.1353352832366127
alpaca_8201,-6.5369213407731515,3.911210988224024
alpaca_13835,-6.967748124529979,0.1353352832366127
competition_math_11033,-6.340971437644699,4.47831989137415
competition_math_6148,-0.41365669891494955,6.553552378745835
wildchat_5799,-6.800773528165473,7.38905609893065
wildchat_117874,-6.628411187090632,0.1353352832366127
alpaca_3800,-0.5628728827334512,6.30231590909345
wildchat_30204,-10.0,1.2760669334819934
competition_math_774,-4.844444362571975,7.38905609893065
wildchat_67562,-6.670521603032385,7.38905609893065
wildchat_400052,-6.384547172688432,6.480559076735205
competition_math_9541,-3.5046798384964157,7.38905609893065
wildchat_136494,-5.73138999558712,3.575158285316841
wildchat_452326,-7.0371951997332145,7.38905609893065
wildchat_31956,-6.190148733667726,0.1353352832366127
alpaca_3394,-5.991045994738676,0.1353352832366127
wildchat_11840,-5.834174737736895,0.1353352832366127
alpaca_3194,-5.692276678833403,0.1353352832366127
wildchat_302755,-5.539701160313732,0.1353352832366127
alpaca_3789,-5.613071491242597,0.1353352832366127
alpaca_5278,-5.4266729323102885,0.1353352832366127
wildchat_28076,-5.019444769543944,0.1353352832366127
wildchat_92092,-5.1513377283986825,7.38905609893065
wildchat_70706,-3.2236643072445874,2.3547710294536337
