task_id,mu,sigma
wildchat_195600,0.0,2.6551035535954766
wildchat_371189,0.2423377241533814,1.0809108858424805
wildchat_52049,3.316477225137126,7.38905609893065
wildchat_230709,8.924469381368704,0.1353352832366127
wildchat_360787,6.617193607551968,7.38905609893065
alpaca_8155,10.0,0.16413652453628497
wildchat_491669,5.404195789350826,7.38905609893065
competition_math_599,7.838533219806352,6.4184993979316305
wildchat_242015,10.0,6.746737744891388
alpaca_666,7.624539935837389,0.8272224395174202
wildchat_406914,-0.11157831804336384,2.015760927791573
wildchat_286136,7.3657183675092215,5.947074953945779
wildchat_301110,9.873933631612966,6.403149995630364
competition_math_2074,7.57213526261592,0.1353352832366127
wildchat_101141,6.803664590778766,6.27273042574842
wildchat_85533,-10.0,2.857300522516936
wildchat_151579,-3.7272598257732565,4.303023839758069
wildchat_107926,4.915328036255162,5.4730213743724025
wildchat_151440,6.841531303924256,3.3718106983175415
wildchat_107355,0.5273319921135595,5.986749573139281
alpaca_8201,7.2269481012425745,0.1353352832366127
alpaca_13835,4.417769036533239,3.1698441388914653
competition_math_11033,6.9943428129188545,0.1353352832366127
competition_math_6148,6.876276237218972,0.1353352832366127
wildchat_5799,-8.680751069777285,4.5323932737827235
wildchat_117874,4.104961071094587,5.2353616768640965
alpaca_3800,6.590552470389749,0.1353352832366127
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,6.266590871475778,2.738574588314068
wildchat_67562,6.047325025912782,7.38905609893065
wildchat_400052,7.682944959283227,7.38905609893065
competition_math_9541,9.7243569585457,4.865559541791518
wildchat_136494,4.702601836174501,2.636325591458809
wildchat_452326,-2.119555494612109,2.4308941149510748
wildchat_31956,-0.7605088822802504,0.13535399255309868
alpaca_3394,6.453431170959295,0.1353352832366127
wildchat_11840,3.241032208023322,2.3832748914812893
alpaca_3194,6.240986374563205,0.14404508418231357
wildchat_302755,-6.42710405276919,3.013840623148057
alpaca_3789,6.020107621281125,2.3179404330076503
alpaca_5278,6.716641131830426,0.1353352832366127
wildchat_28076,0.4019045138379899,1.2652825809234773
wildchat_92092,0.5170492074721984,4.867655218905797
wildchat_70706,4.9887335173408,2.757500119286983
wildchat_221228,6.352533763514114,0.14215320530424105
alpaca_6215,-2.5969798117161944,1.6392256238682923
wildchat_197099,5.19327408032864,0.9365799694353221
wildchat_202252,5.322051249606482,2.2668157343955704
wildchat_255372,3.5388069360614076,3.1269145072860915
alpaca_6540,5.760041114257323,2.833866226878318
alpaca_4906,0.22644757569820753,3.3480569118889623
wildchat_300885,5.230329552574668,2.216534018484317
competition_math_3741,6.1993282344525635,0.1353352832366127
wildchat_16561,5.645844702984329,2.0804224372996427
wildchat_486004,2.8842787353113493,2.665302194057478
wildchat_51884,-2.769035113415489,1.1158939708986562
wildchat_43351,0.3154792468414017,1.1392818327524097
competition_math_1072,3.3000403108602026,5.705674060118745
wildchat_471945,-8.83066289966895,1.976603738870718
alpaca_12136,5.379514194211165,0.1353352832366127
competition_math_3985,5.759230230295324,0.1353352832366127
wildchat_178088,1.48657021328932,0.6969856619680597
competition_math_7154,5.424656783087548,1.106723252501238
competition_math_5482,5.536760440390807,0.1353352832366127
competition_math_7452,5.203721743760208,0.1353352832366127
wildchat_65318,9.765229756770967,7.331474395255091
wildchat_277847,0.08627583900560452,3.8573846217603984
competition_math_2993,5.788167756749713,1.2091824460451686
alpaca_1564,4.6983237400091316,0.42318460064285707
wildchat_97883,0.15487432496847472,3.9283874595261032
wildchat_36307,1.2330601323560377,3.013235324308085
wildchat_386942,4.131870184310792,1.5563521896321262
competition_math_12257,5.987991816032445,0.1570433885705581
wildchat_461066,1.5097898981638505,2.7722858015872265
alpaca_9116,1.0204639378459979,3.0912523569835124
wildchat_110207,4.906236775836183,0.1353352832366127
wildchat_10569,4.909970629732287,0.1353352832366127
wildchat_238138,4.677877461954268,0.1353352832366127
wildchat_392411,0.06824968659533752,4.812556133184178
wildchat_476483,5.055984521907388,7.38905609893065
wildchat_47358,4.398430855099546,1.1002793613097854
alpaca_11495,5.1263860958341185,0.1353352832366127
wildchat_42061,4.432875073413583,0.1353352832366127
wildchat_376237,1.3950697975856678,7.38905609893065
wildchat_101149,-3.9819023787917502,2.21742838837742
alpaca_5848,4.764937015642803,0.1353352832366127
alpaca_3571,4.179552700113614,1.2566489533845415
competition_math_2137,4.97523044344737,0.9246859956185601
wildchat_360558,0.7944644839469388,2.6399177371467673
competition_math_1874,3.585171380803913,1.1696097605527573
competition_math_3861,4.195836148122824,0.7137578005986962
wildchat_200285,-2.3296505514960173,0.1353352832366127
alpaca_12777,4.62860336592615,0.1353352832366127
wildchat_397254,1.8139330958781965,4.223553744632539
alpaca_6632,4.536103103645857,0.1353352832366127
competition_math_8144,5.318985772236639,0.27291751384182233
competition_math_4568,1.7590896004604952,2.5716448487929395
wildchat_246548,2.9118809242472676,1.2500043426801697
alpaca_2746,4.41225400969365,0.1353352832366127
wildchat_370978,-8.617973264732933,0.1353352832366127
alpaca_14175,1.130639011731538,2.7925766485354986
alpaca_12221,4.30963861589494,0.1353352832366127
alpaca_10580,4.408296069946207,1.5011203812800225
wildchat_52931,4.676064359067183,4.0570213093000085
wildchat_165489,-1.3708308728297713,3.5917808831088345
wildchat_462384,-2.7325936991113946,0.1353352832366127
wildchat_280334,-2.081441596882183,1.782789382264306
wildchat_86310,2.746832566480961,1.9133016476574534
wildchat_46543,5.227229243327549,7.38905609893065
wildchat_107554,4.366643486308716,0.1353352832366127
alpaca_1294,4.134260401776917,0.1353352832366127
wildchat_74036,5.542654537970218,7.38905609893065
wildchat_370830,3.820646942285607,0.1353352832366127
wildchat_18157,3.3135872465967715,2.0571808734541444
wildchat_132717,4.138888533716939,0.1353352832366127
competition_math_7955,4.165690931003404,0.1353352832366127
wildchat_15831,-2.3595407510278052,2.378072724040263
wildchat_277683,4.112866153584431,3.564585418829115
wildchat_170744,-0.8488892154557083,3.256639888426502
alpaca_11084,4.111624336934962,0.1353352832366127
wildchat_195907,-1.1567461184944976,0.14767204833558442
alpaca_94,2.6921049000179464,1.6161938330329404
competition_math_1902,3.9969295963347578,0.1353352832366127
wildchat_376365,-2.7063772684901517,4.7449720542128
wildchat_236329,3.8309387478001864,0.1353352832366127
competition_math_3117,4.069943457309327,0.1353352832366127
wildchat_497264,2.483160209170535,1.855359930279194
wildchat_390724,2.786112293319129,2.345275864341884
wildchat_140731,1.0334252054820745,3.89011768939373
wildchat_58499,4.960026250272301,1.6996569562584052
competition_math_4938,3.498420986456644,0.1353352832366127
wildchat_12092,3.607918699665535,0.1353352832366127
competition_math_7244,2.8652388221055736,0.307811948897758
wildchat_465612,-1.8849150115678401,3.541783739524472
wildchat_361738,-2.9923097601915223,1.4351840771550157
competition_math_9276,3.8011350378572724,0.1353352832366127
wildchat_420864,1.149615499576548,5.162285072000652
wildchat_170980,2.7719735211761662,1.1403320178936547
wildchat_510,-3.42669780101227,1.2556272575475276
wildchat_61210,3.9054875548496852,7.38905609893065
competition_math_2693,4.357171426241911,1.7731830941973452
