task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,5.59212975813475,7.38905609893065
wildchat_52049,3.935201377214146,7.38905609893065
wildchat_230709,10.0,0.1353352832366127
wildchat_360787,2.357335579998358,7.38905609893065
alpaca_8155,10.0,6.480210449139122
wildchat_491669,6.590350643181282,7.38905609893065
competition_math_599,9.6025935759963,0.1353352832366127
wildchat_242015,9.36202521594305,7.38905609893065
alpaca_666,10.0,4.833085057080078
wildchat_406914,8.32578421958865,7.38905609893065
wildchat_286136,9.538836524498365,0.1353352832366127
wildchat_301110,6.255527686736018,7.38905609893065
competition_math_2074,8.883807583501307,4.112094646372332
wildchat_101141,4.751815830386154,7.38905609893065
wildchat_85533,7.6519402587941,7.38905609893065
wildchat_151579,5.962166038835793,6.700489477484283
wildchat_107926,4.452070103615362,7.38905609893065
wildchat_151440,8.064685898668799,7.38905609893065
wildchat_107355,6.604592859827651,5.45967391932418
alpaca_8201,9.092920062643206,0.1353352832366127
alpaca_13835,6.415564775496285,4.543322932415772
competition_math_11033,7.03750229311506,0.31809229245978166
competition_math_6148,8.166329239790464,4.431522910913987
wildchat_5799,5.126116107973668,7.38905609893065
wildchat_117874,5.182178776204133,4.597668404307646
alpaca_3800,8.080819089055762,4.017942648367619
wildchat_30204,-9.198301752132016,7.38905609893065
competition_math_774,7.431525474418781,0.14558782893869177
wildchat_67562,5.964415542014453,7.38905609893065
wildchat_400052,5.37518042502988,4.497052590879392
competition_math_9541,6.215789932149825,3.335491336384504
wildchat_136494,5.061824387900708,3.5991869048842244
wildchat_452326,0.9632894804558929,2.7887623918127264
wildchat_31956,5.1446744776665305,4.712305984863871
alpaca_3394,3.4542055228344473,2.9923875704553136
wildchat_11840,3.86887863607679,0.1353352832366127
alpaca_3194,4.309615444666298,2.8447905208632522
wildchat_302755,2.8456091757542934,2.6945142581505106
alpaca_3789,4.254390566078912,2.6621463599071657
alpaca_5278,3.368733126213217,0.1353352832366127
wildchat_28076,4.340550831537533,6.223485175012141
wildchat_92092,3.3815592405775496,4.507768081671887
wildchat_70706,2.752916104664837,0.1353352832366127
wildchat_221228,7.704365257025981,6.454348254609902
alpaca_6215,3.6424165965190927,1.1837245038283515
wildchat_197099,2.204895403867458,7.066881250238947
wildchat_202252,3.0458992089687715,2.206216422583321
wildchat_255372,2.5877138926242886,1.6565098469819508
alpaca_6540,3.650432169116194,2.5313166484425436
alpaca_4906,1.810828047982352,6.654289908805382
wildchat_300885,2.6754766658445863,1.705686596001845
competition_math_3741,3.0953807977828403,0.1353352832366127
wildchat_16561,2.563576653581876,2.544693536781239
wildchat_486004,1.0224006546050115,7.38905609893065
wildchat_51884,4.143564588575003,3.5964229197462103
wildchat_43351,1.4313196115508344,6.0186198818689265
competition_math_1072,2.852287877089084,0.1353352832366127
wildchat_471945,-8.55684997188847,5.0519281659640844
alpaca_12136,2.1737810316929376,0.27667738854501867
competition_math_3985,2.2784355648632997,0.1353352832366127
wildchat_178088,2.5605487465989114,0.1353352832366127
competition_math_7154,2.2824848382841902,0.1353352832366127
competition_math_5482,5.913816794697937,3.710111267950918
competition_math_7452,2.424776200488903,0.1353352832366127
wildchat_65318,2.8522720420434644,4.805025719203567
wildchat_277847,2.4632538309993426,2.211793536404406
competition_math_2993,2.0640301808479915,0.1353352832366127
alpaca_1564,2.218068867757837,3.964961839606437
wildchat_97883,2.5391100301551903,3.380725145016241
wildchat_36307,1.8995665601206386,0.3431989849970406
wildchat_386942,2.3042742869240045,2.066113846480722
competition_math_12257,2.0051427924238534,0.1353352832366127
wildchat_461066,1.7538761650748445,1.6681983939226894
alpaca_9116,1.738386529254068,1.2643840948380602
wildchat_110207,2.205430653016664,0.9594590848705961
wildchat_10569,1.493180292594492,0.1353352832366127
wildchat_238138,1.8965531395920086,3.013223837843725
wildchat_392411,1.7359310038153428,0.6766291233291235
wildchat_476483,3.1827793898653747,2.9105514026796926
wildchat_47358,1.8982994499245376,3.2647682912195632
alpaca_11495,1.7982710574607197,0.9720253847545978
wildchat_42061,1.7856580931192585,0.9159828510417048
wildchat_376237,1.7401026409110143,2.0070168587373813
wildchat_101149,-0.6577763746751575,6.460039551592181
alpaca_5848,1.6498956409763854,2.411187918228469
alpaca_3571,1.8476642981056794,0.1353352832366127
competition_math_2137,1.9611687447180617,0.1353352832366127
wildchat_360558,0.3177143698502196,1.8087379741470486
competition_math_1874,1.996459920955163,1.258347054405007
competition_math_3861,1.7942236439448398,0.1353352832366127
wildchat_200285,1.1170261249685915,1.1035007588235404
alpaca_12777,-0.3647886687121921,2.8205146612324943
wildchat_397254,-0.7715273771559368,1.7309227355536234
alpaca_6632,1.8397173210436908,0.1353352832366127
competition_math_8144,1.7313691367666928,0.1353352832366127
competition_math_4568,1.6506026985054982,0.1353352832366127
wildchat_246548,1.0686927525390542,1.658247055616489
alpaca_2746,1.574238131109591,0.1353352832366127
wildchat_370978,1.2305598313803208,2.2070468162051884
alpaca_14175,0.8258217990022994,0.8472877409491312
alpaca_12221,1.6136304603893743,0.1353352832366127
alpaca_10580,1.5108324541876892,0.1353352832366127
wildchat_52931,2.2979717889766973,2.8042345040128254
wildchat_165489,-0.29907735285400083,1.4101723027228397
wildchat_462384,0.3512277851859514,1.479041737693062
wildchat_280334,0.9718827682221364,1.6856040987461425
