task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-10.0,7.153063314248617
wildchat_52049,-8.311586500447648,7.38905609893065
wildchat_230709,1.5062532051047015,7.38905609893065
wildchat_360787,-9.730713297971105,0.1353352832366127
alpaca_8155,-7.3152628541459075,5.4570839199909305
wildchat_491669,-9.04326727884851,7.38905609893065
competition_math_599,-8.521281901602446,7.38905609893065
wildchat_242015,-6.174763296517821,7.38905609893065
alpaca_666,-9.479648151941904,0.1353352832366127
wildchat_406914,-5.246251517590282,7.38905609893065
wildchat_286136,-6.598469090761696,7.38905609893065
wildchat_301110,-9.082081855799672,0.1353352832366127
competition_math_2074,-0.26974547427711987,1.779346295606953
wildchat_101141,-6.883764795674742,2.614185906538247
wildchat_85533,-6.802848949090153,7.38905609893065
wildchat_151579,-8.528323009459339,0.1353352832366127
wildchat_107926,-10.0,5.876570207017065
wildchat_151440,-7.682993344152762,4.389654716127277
wildchat_107355,-6.45304871452704,3.0858919476029545
alpaca_8201,-1.5717009616849662,7.38905609893065
alpaca_13835,-7.111429026755059,4.189268828529928
competition_math_11033,-2.4566772515375503,7.38905609893065
competition_math_6148,-6.975357057729138,2.237694489229583
wildchat_5799,-7.602296713311136,4.83458261346401
wildchat_117874,-6.484271767736139,5.2427388408301345
alpaca_3800,0.1979192449466529,3.720324471863151
wildchat_30204,-10.0,0.5265414970671946
competition_math_774,-6.380487390241409,7.38905609893065
wildchat_67562,-5.854586809655329,0.1353352832366127
wildchat_400052,-5.85192849381602,7.381625709484377
competition_math_9541,-5.515737847379401,6.546979733750329
wildchat_136494,-6.386385312561396,0.1353352832366127
wildchat_452326,-8.629235278846618,7.38905609893065
wildchat_31956,-4.8705755555694425,3.871161324546786
alpaca_3394,-6.114471568570381,0.1353352832366127
wildchat_11840,-5.820721620632364,3.3612562776114014
alpaca_3194,-5.0339495149992155,0.1353352832366127
wildchat_302755,-5.066588418578391,4.29037610943984
alpaca_3789,-5.486244019756706,0.1353352832366127
alpaca_5278,-5.356706395660887,2.687979931955932
wildchat_28076,-4.702573840483208,5.111536831560031
wildchat_92092,-4.849531939503178,7.358235230713899
wildchat_70706,-4.982268890879503,4.051532950618954
wildchat_221228,2.6962952333403583,7.38905609893065
alpaca_6215,-5.04193605038629,4.6116084776641735
wildchat_197099,-4.832832456428311,2.4163355966605344
wildchat_202252,-2.8264527234801604,2.2255447625732327
wildchat_255372,-4.726861432236358,0.1353352832366127
alpaca_6540,-4.403119447145272,0.1353352832366127
alpaca_4906,-4.492248115063034,0.1353352832366127
wildchat_300885,-3.708780396545267,3.6452615472506937
competition_math_3741,-3.297476749523726,2.31171183434398
wildchat_16561,-3.552468839470509,1.4673464483391694
wildchat_486004,-3.827167649046205,1.1314926769108693
wildchat_51884,0.024618682559130727,7.38905609893065
wildchat_43351,-4.033206480623813,2.2969714829500187
competition_math_1072,-2.831373311523403,1.1338011216912138
wildchat_471945,-7.56564828004748,7.097160726842938
alpaca_12136,-3.376991946324902,0.1353352832366127
competition_math_3985,-2.5912256372903184,1.0314960011782721
wildchat_178088,-0.8616304776412921,3.587824829960893
competition_math_7154,-1.1653622559933456,5.150252558196222
competition_math_5482,-1.7946765413053423,2.4846617708111256
competition_math_7452,-2.860435781548301,6.824221816073444
wildchat_65318,-2.1239478397708624,5.406684347287649
wildchat_277847,-3.429765163532833,3.1158386840998675
competition_math_2993,-1.0426013765317328,1.9512250553680173
alpaca_1564,-2.6169503032875574,0.5878145514958802
wildchat_97883,-3.178850826080441,2.196816208428206
wildchat_36307,-3.894187264470176,3.08042138183955
wildchat_386942,-2.7515428064144984,3.1010369306355012
competition_math_12257,-2.064111115549334,1.0202211913931596
wildchat_461066,-2.8117548617061177,0.1353352832366127
alpaca_9116,-2.522930515000737,0.1353352832366127
wildchat_110207,-2.7979187021810272,1.7151495622095363
wildchat_10569,-2.3045370507058838,0.1353352832366127
wildchat_238138,-2.4827441686288574,0.8342233440999706
wildchat_392411,-1.8435014786254185,0.5226677118792274
wildchat_476483,-2.601050356219654,4.480148222758597
wildchat_47358,-2.792696416750298,1.676802146938366
alpaca_11495,-2.312175487423311,0.1353352832366127
wildchat_42061,-2.688040029493357,3.6602873616944813
wildchat_376237,-2.446822223847813,1.313692639222772
wildchat_101149,-2.7477319881473643,0.1353352832366127
alpaca_5848,-2.258281747037093,0.1353352832366127
alpaca_3571,-2.3572087303951226,0.1353352832366127
competition_math_2137,-1.217443512982715,1.3187745917383058
wildchat_360558,-2.2363043045706803,0.1353352832366127
competition_math_1874,-1.0386403615447826,1.125366811847374
competition_math_3861,-1.9030111095131932,0.7552541561704055
wildchat_200285,-2.155735984293538,0.1353352832366127
alpaca_12777,-2.290542398604803,0.1354144867665638
wildchat_397254,-2.098242698117936,0.1353352832366127
alpaca_6632,-1.991419625556357,0.1353352832366127
competition_math_8144,-2.0642592669847817,7.38905609893065
competition_math_4568,-1.6284373861178851,0.32889177551215937
wildchat_246548,-1.8823573789943961,0.1353352832366127
alpaca_2746,-1.890958752072334,0.1353352832366127
wildchat_370978,-1.882248588034016,0.1353352832366127
alpaca_14175,-1.7159821624928713,0.1353352832366127
alpaca_12221,-1.8051517883641313,0.1353352832366127
alpaca_10580,-1.6236250677810578,0.1353352832366127
wildchat_52931,-1.5115969896366992,1.3097470015407577
wildchat_165489,-2.3423898403313173,0.9107952929957056
wildchat_462384,-1.6277272690839302,0.1353352832366127
wildchat_280334,-1.6580299071105693,0.1353352832366127
wildchat_86310,-1.4084998115975853,3.7283185775993144
wildchat_46543,1.6321507563012885,4.19304231146394
wildchat_107554,-1.132023911754468,1.4122769180861054
alpaca_1294,-1.6389050174643198,0.1353352832366127
wildchat_74036,-1.1360231208543554,2.6605259896052345
wildchat_370830,-1.6359559278073317,1.273359684239746
wildchat_18157,-1.9977066671613202,1.2101155713667688
wildchat_132717,-1.3339487069298963,0.42290456856950115
competition_math_7955,-1.3768329704287838,0.1353352832366127
wildchat_15831,-2.013900028412145,0.1353352832366127
wildchat_277683,-1.2226835385466392,0.1353352832366127
wildchat_170744,-1.601173234315546,0.1353352832366127
alpaca_11084,-1.4611794288463757,0.1353352832366127
wildchat_195907,-1.51101929852698,0.1353352832366127
alpaca_94,-1.3580173845294383,0.1353352832366127
competition_math_1902,-0.7746015736944727,2.0616966139947803
wildchat_376365,-1.0956698846301767,0.1353352832366127
wildchat_236329,-1.370449455032894,0.1353352832366127
competition_math_3117,-0.6544665804718571,1.786272459682191
wildchat_497264,-1.1555906912138152,0.1353352832366127
wildchat_390724,-1.0209003755208403,0.48013505929800887
wildchat_140731,1.3708351134447365,5.6073310366368565
wildchat_58499,-1.103063433635936,2.5918628085488375
competition_math_4938,-0.6063099286594271,5.504209487001576
wildchat_12092,-1.0906702150131218,0.1353352832366127
competition_math_7244,-0.6919302326874909,2.1579471431705484
wildchat_465612,-0.39089018454892627,4.968887505421558
wildchat_361738,-1.4461162332266808,1.64162351029645
competition_math_9276,-1.313969942134105,0.1353352832366127
wildchat_420864,-1.1567887928964502,0.1353352832366127
wildchat_170980,-1.1538718518466538,0.1353352832366127
wildchat_510,-1.8224337836850537,1.2585471915646058
wildchat_61210,-1.0764492709473978,0.7638127533812106
competition_math_2693,0.16353286178055193,2.1685253672999143
wildchat_97136,-0.41132268015309165,2.0098172357840998
wildchat_380500,-1.5174377255869,2.194587242094596
wildchat_72464,0.006294745898374544,3.609906831658099
wildchat_121705,-1.2530816981053752,0.15869989823405017
alpaca_10434,-1.08960088689172,0.1353352832366127
competition_math_7328,-0.8612591894764745,0.1353352832366127
competition_math_8106,-1.115155629518606,0.1353352832366127
competition_math_666,-1.1558086535740184,0.1353352832366127
wildchat_102235,-1.0097496591604418,0.1353352832366127
competition_math_9600,-0.1888971833549007,1.6608572211904573
wildchat_303004,-1.1255157866899768,5.306701905515509
wildchat_390817,-0.9884977114184211,0.14066794235293334
wildchat_427956,-0.9031763983475827,0.1353352832366127
alpaca_6956,-1.0753469471091026,0.1353352832366127
competition_math_12402,0.16468948973002862,1.3280059303583804
competition_math_5746,-0.5442740206808789,1.3785301974796065
wildchat_60105,-0.7847693853425761,0.1353352832366127
wildchat_18055,0.5771222464367981,3.611668200294917
wildchat_75543,2.216523566413358,7.38905609893065
wildchat_121903,-1.071773937869055,0.1353352832366127
competition_math_3707,-0.5352384295726587,1.7258376101483899
competition_math_2646,-0.9127878132652594,0.1353352832366127
alpaca_8509,-0.8743770781318464,0.1353352832366127
alpaca_1666,-0.888617817949842,0.1353352832366127
wildchat_6084,-0.3857993330254772,1.9411037306252763
wildchat_291440,-0.9564194858044848,0.1353352832366127
wildchat_151721,-0.786562295266598,0.1353352832366127
wildchat_435023,-10.0,4.841594568612105
wildchat_485490,-1.243254002373798,0.33460897059079237
wildchat_436995,-0.7267578702817727,1.513210152912329
wildchat_66815,-0.45184919937668694,0.1353352832366127
wildchat_27196,0.13911381765936814,2.296490050118906
wildchat_280574,-0.7081696651037953,0.1353352832366127
wildchat_2614,-0.7651283225938019,0.1353352832366127
wildchat_43276,-0.11057876055076696,7.38905609893065
wildchat_337595,-0.6035515492288215,0.1353352832366127
wildchat_411271,-3.7824004080033906,4.833533897859885
wildchat_226990,-0.7053067421103545,0.1353352832366127
wildchat_136031,-0.7636651970537427,1.7525457013308656
alpaca_12712,-0.703806518908109,0.1353352832366127
wildchat_351446,-0.9789919830723,0.1353352832366127
wildchat_322343,-1.2025342873375942,1.1565995151139719
wildchat_145716,-0.2490770151565251,0.6435019687458321
wildchat_85910,-0.4192430719844913,0.7975227939108689
wildchat_72073,0.25978610775893696,1.4322618699327576
alpaca_13688,-0.8628219350625688,0.6645504792757578
wildchat_285973,-0.6264169253544964,0.1353352832366127
wildchat_28082,1.7712091205470426,3.2102222803825637
alpaca_1889,-0.3625640423194831,0.1353352832366127
wildchat_63215,-0.6475303878743693,1.8341218089976927
wildchat_378172,-0.5572033431698876,0.1353352832366127
alpaca_10604,-0.6028335939810863,0.1353352832366127
alpaca_2008,-0.5541619574143594,0.1353352832366127
wildchat_1883,-0.011890206345158328,2.63883682616301
wildchat_321273,0.3946167223642175,1.9840772488843352
wildchat_280890,-0.25808782224956106,0.48432715737303006
alpaca_4445,-0.8052905005144458,0.8876057133690837
alpaca_8496,-0.6363047522142309,0.614450455550822
competition_math_8417,-0.5042127660331879,0.8228111607984134
alpaca_7494,-0.6062551304803163,0.17184260372977708
wildchat_247329,-0.5038211646227018,0.1353352832366127
wildchat_1319,-0.59214812637197,3.4882141169851106
wildchat_141133,-2.6048016534478236,2.9572657410530265
wildchat_71439,-0.469478024105693,1.9788453125045586
wildchat_115850,-1.0167865758579966,1.2573921488547348
