task_id,mu,sigma
wildchat_195600,0.0,3.5182580521768227
wildchat_371189,4.118646252315332,7.38905609893065
wildchat_52049,0.9890864957043378,7.38905609893065
wildchat_230709,10.0,5.901022177986528
wildchat_360787,0.7258373769110265,3.478460960113488
alpaca_8155,6.2196707554654544,0.1353352832366127
wildchat_491669,7.172149892075858,7.38905609893065
competition_math_599,5.077460763464346,7.38905609893065
wildchat_242015,7.763309120785632,7.38905609893065
alpaca_666,7.719354990540636,4.073642003469152
wildchat_406914,4.486978943171967,7.38905609893065
wildchat_286136,6.5011286519939215,6.281289080829102
wildchat_301110,-2.290298633479599,1.90753303471517
competition_math_2074,7.659704741100114,7.38905609893065
wildchat_101141,6.434604455312101,6.1107391886355895
wildchat_85533,-0.8553137594429857,4.459525491799331
wildchat_151579,-3.525553008963376,0.7160111844503072
wildchat_107926,0.259017349225323,1.7798616060884693
wildchat_151440,3.660500139232265,5.051068153199207
wildchat_107355,-3.095645328152071,1.6374982645108835
alpaca_8201,8.027273109212544,0.15914967337764252
alpaca_13835,5.867984507091684,2.390990551838334
competition_math_11033,5.966552072489416,0.1353352832366127
competition_math_6148,5.647244048273452,0.1353352832366127
wildchat_5799,-1.6438147986489873,3.987646123488124
wildchat_117874,6.303678741553143,7.38905609893065
alpaca_3800,5.92743024383001,0.1353352832366127
wildchat_30204,-10.0,0.3718805594812314
competition_math_774,5.582273892898353,2.9398419989426627
wildchat_67562,-4.688499385496476,3.7984752413595957
wildchat_400052,5.299725717052808,7.38905609893065
competition_math_9541,6.448530122240826,0.1734771636327685
wildchat_136494,1.9751585413456565,5.049979377060692
wildchat_452326,-3.4139487529500325,0.5220489789290198
wildchat_31956,3.3286954320258766,7.38905609893065
alpaca_3394,4.686996303271555,2.756544572366911
wildchat_11840,4.517184355291714,4.105718311576343
alpaca_3194,5.422083824685521,0.1353352832366127
wildchat_302755,2.5592149137670983,7.38905609893065
alpaca_3789,5.350771081352132,0.1353352832366127
alpaca_5278,5.119582842923936,0.1353352832366127
wildchat_28076,1.2950465846161276,7.38905609893065
wildchat_92092,4.232102221584609,7.38905609893065
wildchat_70706,3.675949341036852,1.07345340738843
wildchat_221228,1.407514114529026,4.445565871280745
alpaca_6215,3.2024665882730696,4.9499020057883545
wildchat_197099,1.0378178361427624,2.676044844823134
wildchat_202252,4.365303373883787,1.8383152963856482
wildchat_255372,1.5360874021682323,4.308146145193765
alpaca_6540,3.1900989626432867,0.1353352832366127
alpaca_4906,-1.4603897589437116,6.924461944884123
wildchat_300885,2.879375723205313,1.5410759975865387
competition_math_3741,4.0156875197457795,1.7783345253081748
wildchat_16561,4.190037088753282,2.935660198390182
wildchat_486004,-1.509449969164768,1.5865641829880623
wildchat_51884,2.9609611717127047,4.28735182104349
wildchat_43351,-0.4091270358280244,2.8241003770095108
competition_math_1072,3.8105836560711697,3.0213670554903325
wildchat_471945,-4.480164829132744,0.8420447108439982
alpaca_12136,2.901329427949504,0.1353352832366127
competition_math_3985,2.7495821301753427,1.347882766450995
wildchat_178088,5.652677681220463,1.2919920514514545
competition_math_7154,3.6416960661830435,1.9301361701400515
competition_math_5482,2.5110894931317125,0.5635507221715947
