task_id,mu,sigma
wildchat_195600,0.0,1.5849528726151834
wildchat_371189,-10.0,7.38905609893065
wildchat_52049,-7.785014129811188,0.1353352832366127
wildchat_230709,2.2122246619877775,3.702740519821559
wildchat_360787,-10.0,7.38905609893065
alpaca_8155,-10.0,3.7278015991954474
wildchat_491669,-9.628308100494337,7.38905609893065
competition_math_599,-9.346936754746181,7.38905609893065
wildchat_242015,-7.7501359986675045,7.38905609893065
alpaca_666,-9.616538270920563,0.1353352832366127
wildchat_406914,-9.728690098154233,7.38905609893065
wildchat_286136,-7.765264674990396,7.38905609893065
wildchat_301110,-7.358655450807109,0.1353352832366127
competition_math_2074,-7.508745220970818,5.869989853913914
wildchat_101141,-7.488520329995607,5.000272229493614
wildchat_85533,-6.00295320142669,4.630710352544087
wildchat_151579,-9.969844258306715,4.8283098537489195
wildchat_107926,-6.847841565813541,0.1353352832366127
wildchat_151440,-7.766209930451028,4.941431944194641
wildchat_107355,-6.38008347362366,0.1353352832366127
alpaca_8201,-7.016623419009497,0.1353352832366127
alpaca_13835,-6.678160168683615,0.1353352832366127
competition_math_11033,-6.156831702957577,6.4856549758001085
competition_math_6148,-6.44743240625297,0.1353352832366127
wildchat_5799,-6.851342618352903,6.862246569765085
wildchat_117874,-6.910065933087105,0.1353352832366127
alpaca_3800,-3.855465607602701,7.38905609893065
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,-5.489492652235686,1.0862912918681362
wildchat_67562,-6.669936996760733,6.633000325272354
wildchat_400052,-4.984609766379929,5.342685170001067
competition_math_9541,-7.209025183841191,7.38905609893065
wildchat_136494,-6.038443997791024,0.1353352832366127
wildchat_452326,-5.882066072992208,0.1353352832366127
wildchat_31956,-8.326514119099476,7.38905609893065
alpaca_3394,-6.13706033807053,0.1353352832366127
wildchat_11840,-5.6522576944299825,0.1353352832366127
alpaca_3194,-5.083308463217022,3.4803749271601725
wildchat_302755,-6.9986961429287,7.38260191663086
alpaca_3789,-5.84866282419191,0.1353352832366127
alpaca_5278,-5.145035112619356,0.7176804904843248
wildchat_28076,-3.8061684798528663,3.899228769867954
wildchat_92092,-3.8458974139232502,3.7511604247516606
wildchat_70706,-4.055229423561285,2.9591068551439217
wildchat_221228,-6.416147467819166,6.928516215798699
alpaca_6215,-5.3097874107151695,0.1353352832366127
wildchat_197099,-5.207607825284519,3.728023191274099
wildchat_202252,-4.868506974012713,0.1353352832366127
wildchat_255372,-5.792168178026752,4.275453741992488
alpaca_6540,-4.63856086110434,0.1353352832366127
alpaca_4906,-4.533261177025739,0.1353352832366127
wildchat_300885,-4.284893762014767,0.1353352832366127
competition_math_3741,-3.7589932551435266,3.789207359060556
wildchat_16561,-4.100303010197978,0.1353352832366127
wildchat_486004,-9.475575700702072,7.38905609893065
wildchat_51884,-4.36148652742432,0.1353352832366127
wildchat_43351,-3.3632674762943133,3.7050225343057304
competition_math_1072,-4.213522125350188,0.1353352832366127
wildchat_471945,-9.838990374001783,7.38905609893065
alpaca_12136,-4.043829862549408,0.1353352832366127
competition_math_3985,-3.6640128421053255,0.37285286879476065
wildchat_178088,-3.737973162512803,3.701069147713455
competition_math_7154,-2.1849215850342145,3.9177171376941353
competition_math_5482,-2.3503495422690692,3.4587114324517882
competition_math_7452,-3.701120461992727,0.1353352832366127
wildchat_65318,-5.701328351538896,7.30397797106293
wildchat_277847,-3.9258555204200394,0.1353352832366127
competition_math_2993,-3.7373648436463287,0.1353352832366127
alpaca_1564,-3.7422862598765847,0.1353352832366127
wildchat_97883,-2.4733071699284475,2.5851812573865796
wildchat_36307,-6.874680068685467,6.255493341452512
wildchat_386942,-1.0042418578205337,0.1353352832366127
competition_math_12257,-3.6141080326227226,0.1353352832366127
wildchat_461066,-2.432397130715506,0.1353352832366127
alpaca_9116,-2.554891989695628,2.9751655031111928
wildchat_110207,-3.388577219673228,0.1353352832366127
wildchat_10569,-2.7920916492611063,2.930731707014541
wildchat_238138,-3.441312263640878,1.82232272851233
wildchat_392411,-3.006409577966212,0.1353352832366127
wildchat_476483,-3.385892977674482,5.670911470770249
wildchat_47358,-3.932304732892442,3.2689405070760253
alpaca_11495,-3.5161402746516064,0.1353352832366127
wildchat_42061,-2.0142457164761933,1.2927799913683908
wildchat_376237,-2.774858067814477,1.7626324945274505
wildchat_101149,-10.0,7.38905609893065
alpaca_5848,-2.4236343271805576,0.140600237289037
alpaca_3571,-3.6953491531864784,0.1353352832366127
competition_math_2137,-3.4298332128920066,0.1353352832366127
wildchat_360558,-2.4063865138317633,0.1353352832366127
competition_math_1874,-1.945969596516144,2.536238115150069
competition_math_3861,-2.052271547305564,2.2234357190316563
wildchat_200285,-2.2317621742895977,0.1353352832366127
alpaca_12777,-3.579202049939112,1.1690106048271998
wildchat_397254,-3.635209351869974,3.570722602030952
alpaca_6632,-3.235046954821931,0.1353352832366127
competition_math_8144,-2.4054357647902207,0.1353352832366127
competition_math_4568,-2.1851021331823595,0.1353352832366127
wildchat_246548,-1.7357395620495557,1.3889245930810967
alpaca_2746,-3.072076520288834,0.1353352832366127
wildchat_370978,-5.730128871627554,2.309827253910191
alpaca_14175,-2.8911676344147104,0.1353352832366127
alpaca_12221,-2.093982040618414,0.1353352832366127
alpaca_10580,-1.9295199115813257,0.1353352832366127
wildchat_52931,-2.2323074420299798,3.1267661227967927
wildchat_165489,-3.9986953330954247,3.525816310482443
wildchat_462384,-2.034771632797422,4.063107534614881
wildchat_280334,-1.9864538294914282,1.3840638320619216
wildchat_86310,-0.9732117258882398,2.53500257723251
wildchat_46543,-1.2776414277489954,5.581316787685087
wildchat_107554,-1.29194784850889,1.5804374921376632
alpaca_1294,-2.432769412893735,2.540853621185312
wildchat_74036,-0.9686452596291883,0.7742207318935119
wildchat_370830,-1.350124873062013,2.6413851307960567
wildchat_18157,-1.165352081367375,4.111516511179183
wildchat_132717,-1.6965456910919958,1.4553797571827702
competition_math_7955,-2.198315779759925,0.9038391580262006
wildchat_15831,-1.7073885940992561,1.8602290653222457
wildchat_277683,-1.9807816198394002,1.3847151526537453
wildchat_170744,-1.3816899235455864,3.32924074905082
alpaca_11084,-2.588102753172103,0.1353352832366127
wildchat_195907,-2.454312926070406,1.8135519563175675
alpaca_94,-2.0165987070126326,0.1353352832366127
competition_math_1902,-0.9752081944059197,0.1353352832366127
wildchat_376365,-1.3384786970166873,3.037593815112962
wildchat_236329,-1.1552967542472952,1.7333236409172335
competition_math_3117,-1.259184471728988,1.2715336764622043
wildchat_497264,-0.7859360659363084,0.1353352832366127
wildchat_390724,-2.128159401307462,1.5853363695077303
wildchat_140731,-0.21381698903504434,2.4180680923359765
wildchat_58499,-1.1687267761865183,1.7519707549578696
competition_math_4938,-0.7239659084733131,0.1353352832366127
wildchat_12092,-1.8372683070295799,2.3120426496270383
competition_math_7244,-0.6606457413392834,0.1353352832366127
wildchat_465612,-1.1213314538050905,2.038251994047334
wildchat_361738,-1.3481696309647917,1.121341361975977
competition_math_9276,-0.5885546541170946,1.2301509182850536
wildchat_420864,-0.8376291281391705,1.1550402066115553
wildchat_170980,-0.5527667368598502,0.1353352832366127
wildchat_510,-0.18645247323054792,1.215581442568315
wildchat_61210,-0.4673080796598475,0.1353352832366127
competition_math_2693,-0.7526499975785915,0.1353352832366127
wildchat_97136,-1.1514928291753632,2.698604990814466
wildchat_380500,-0.8447442745357465,0.1353352832366127
wildchat_72464,0.09789040040401549,0.8194111527754139
wildchat_121705,-0.5680599283644304,0.1353352832366127
alpaca_10434,-1.75271792718154,1.1059401019470179
competition_math_7328,-1.6405797726862534,2.4825103981737215
competition_math_8106,-0.46939581983967693,0.1353352832366127
competition_math_666,-0.5093022089561687,0.1353352832366127
wildchat_102235,-0.5208846727701338,0.1353352832366127
competition_math_9600,-0.5805816297469242,0.1353352832366127
wildchat_303004,-0.36413882287222055,0.1353352832366127
wildchat_390817,-1.4598013049109355,2.622266273130239
wildchat_427956,-1.4661946951101272,1.8520153422580516
alpaca_6956,-0.8506736521717706,0.1353352832366127
competition_math_12402,-0.11847734710032029,0.24152495465469154
competition_math_5746,-0.8031234218132735,0.1353352832366127
wildchat_60105,-0.22991916533046297,2.0653408584402806
wildchat_18055,-0.1160669824204265,3.86076584417604
wildchat_75543,0.030620080999930313,0.867068568368292
wildchat_121903,-0.046223486180043113,0.3806881548083924
competition_math_3707,-0.234557074925898,0.5219685148288422
competition_math_2646,-0.3525932231252412,0.1353352832366127
alpaca_8509,-0.3198040128755189,0.1353352832366127
alpaca_1666,-0.3051014090868848,0.1353352832366127
wildchat_6084,-0.698377676908147,2.5794230957072246
wildchat_291440,-0.05369409115611552,0.1353352832366127
wildchat_151721,-0.40863294532398786,0.1353352832366127
wildchat_435023,-0.2211691895872058,0.1353352832366127
wildchat_485490,-2.5345501835253033,3.6611431707097193
wildchat_436995,0.06459228130527928,0.7422924837845569
wildchat_66815,0.0032768633414742097,1.4807077989780482
wildchat_27196,0.017688918854287902,0.1353352832366127
