task_id,mu,sigma
hidden_cheese_1,0.0,0.5868873554936582
hidden_cheese_2,2.6265206692785856,2.0206895785033945
hidden_cheese_3,2.0498493501129604,0.7640300007067575
hidden_cheese_4,2.5724292153234436,0.3974227120662493
hidden_cheese_5,3.2862952612737453,1.991652122747643
hidden_cheese_6,2.833631869783139,0.21102585267480975
hidden_rainy_weather_1,2.7903900864894555,3.6582152701852264
hidden_rainy_weather_2,3.5543303329633416,1.4656121046273265
hidden_rainy_weather_3,3.4682902779924207,2.004897693260821
hidden_rainy_weather_4,2.342548890054069,0.22634036658888199
hidden_rainy_weather_5,2.6564920123101707,1.9841378550902076
hidden_rainy_weather_6,3.064036560216573,2.7195916253970034
hidden_cats_1,2.500001861213277,3.6454426839126683
hidden_cats_2,2.8276446965378774,0.22455003197559775
hidden_cats_3,3.8754460401169433,1.4208928781723833
hidden_cats_4,2.4196592459607373,2.612746403886417
hidden_cats_5,2.689425128469333,1.548299343780179
hidden_cats_6,2.2731688705999433,2.300824277208358
hidden_classical_music_1,2.987937604775684,0.3818014372013463
hidden_classical_music_2,1.6246953641918476,3.462435253435118
hidden_classical_music_3,2.900627616525444,1.2919639767898508
hidden_classical_music_4,1.6054880244932428,2.5125685261132746
hidden_classical_music_5,2.5199044976054745,2.6806832199818564
hidden_classical_music_6,2.3768244674902537,0.2377409795048392
hidden_gardening_1,-10.0,0.8541456909316706
hidden_gardening_2,-6.025341255444543,0.7388081341046722
hidden_gardening_3,-5.2881860969753784,0.6673825872620984
hidden_gardening_4,-7.112696042942192,0.6555158224981626
hidden_gardening_5,-6.669513002659689,0.7401816619167354
hidden_gardening_6,-6.552178416797903,1.8837946026745949
hidden_astronomy_1,2.109101418508526,0.8503874782077301
hidden_astronomy_2,2.1363139185728244,1.0184041256201963
hidden_astronomy_3,1.9960080104976166,2.2888061489011986
hidden_astronomy_4,3.6933203726147408,0.2828546629034337
hidden_astronomy_5,2.7408081208988415,3.0172613551382654
hidden_astronomy_6,2.8382192918525457,2.4516573809118625
hidden_cooking_1,2.3362597959825124,0.5960269639062699
hidden_cooking_2,2.7425043374590348,0.16918085581651257
hidden_cooking_3,2.986572089085546,0.18344063204603772
hidden_cooking_4,3.140789934994569,1.8318984071903996
hidden_cooking_5,2.9535928492539756,0.279545520079081
hidden_cooking_6,3.247870901701612,0.18278746594140088
hidden_ancient_history_1,2.503834632105408,1.1850171197219783
hidden_ancient_history_2,3.353864798523969,0.23252374143633148
hidden_ancient_history_3,2.8091040183661247,1.4623501078757177
hidden_ancient_history_4,1.9589961280878045,3.5533615634151747
hidden_ancient_history_5,2.444101814793381,0.22005878920281507
hidden_ancient_history_6,2.3104924209039304,1.6533124755225763
