task_id,mu,sigma
hidden_cheese_1,0.0,3.7822608505598834
hidden_cheese_2,7.807484779687433,0.21413506647496902
hidden_cheese_3,-2.420387257378265,1.1181823677392253
hidden_cheese_4,4.06738034478554,3.8637275556716157
hidden_cheese_5,7.254015370314619,0.5946511500061995
hidden_cheese_6,-0.3112881720482077,0.726486522751068
hidden_rainy_weather_1,6.484260459962024,1.430108731602129
hidden_rainy_weather_2,7.357370964703194,3.1164138930420964
hidden_rainy_weather_3,7.746602307390133,1.910747712071756
hidden_rainy_weather_4,6.738577713647594,0.42014862507973555
hidden_rainy_weather_5,7.9185913304592015,1.8550573240023964
hidden_rainy_weather_6,7.4189822739239135,0.2559769904372936
hidden_cats_1,7.428228910468462,0.2576982215063956
hidden_cats_2,7.578117477985993,0.7692763681376323
hidden_cats_3,8.040279451390749,3.673242180800889
hidden_cats_4,-8.123753416933479,0.5678690210715178
hidden_cats_5,7.452093452798443,1.8678558699759071
hidden_cats_6,7.978561594163997,0.24192705444681628
hidden_classical_music_1,0.34831701711133145,0.6655615577783135
hidden_classical_music_2,-6.3483222214467245,0.6494209829439513
hidden_classical_music_3,-2.6068718252966825,2.1021233101152905
hidden_classical_music_4,-0.3275746423721681,0.5825190150516939
hidden_classical_music_5,-3.1001829048227254,0.6397718425123315
hidden_classical_music_6,6.773464742082365,2.124375172415677
hidden_gardening_1,5.56754087492332,2.2190351143239284
hidden_gardening_2,6.168117005325089,2.4711905435223738
hidden_gardening_3,7.785479331271569,1.013347458722762
hidden_gardening_4,7.364529668718857,1.861603205704064
hidden_gardening_5,7.663245379326697,2.0972296400341026
hidden_gardening_6,5.942464898818795,3.1086120570048568
hidden_astronomy_1,6.789318702395037,0.2739157486557969
hidden_astronomy_2,1.4685783290660592,2.1186050658732367
hidden_astronomy_3,-3.65960658052628,2.0822534007642854
hidden_astronomy_4,8.359152780581677,0.5102728121473615
hidden_astronomy_5,-4.554374177193113,0.9727377262285243
hidden_astronomy_6,7.468719379078827,0.40538341538535594
hidden_cooking_1,0.48453885115586376,0.4944951163214291
hidden_cooking_2,7.336607032184121,1.716663532213103
hidden_cooking_3,6.930316416552258,0.20780730203365572
hidden_cooking_4,7.240299012422626,0.2653156186820871
hidden_cooking_5,7.42392487823841,0.2950627310244024
hidden_cooking_6,7.487322406393524,0.55094428500262
hidden_ancient_history_1,-9.436765884149706,0.5827620086218209
hidden_ancient_history_2,-10.0,0.8263012390443584
hidden_ancient_history_3,-8.36346988418171,0.45097162794559664
hidden_ancient_history_4,-9.718787207566018,1.0806379486307647
hidden_ancient_history_5,-9.277155767915309,1.5398995062467524
hidden_ancient_history_6,-9.824929381368651,0.508488270863891
