task_id,mu,sigma
competition_math_3351,0.0,0.6516080884335045
alpaca_11902,-5.361486125421132,0.5649128708275215
competition_math_4473,-0.6586165257929583,0.4313770555437479
competition_math_3090,3.297634800824981,0.9902926710278833
wildchat_23639,-5.817650720078524,0.9666194943841467
bailbench_627,-10.0,0.9837826051691088
wildchat_69482,0.7388608524580089,0.9661292960660756
wildchat_30127,-2.7023958112961557,0.9222350431173644
competition_math_2042,10.0,1.0000319397095754
alpaca_8300,7.530485933850551,0.8712069865698548
competition_math_4117,-2.5445464306336074,0.9999939620365663
stresstest_95_288_value2,8.398999794759325,0.6364558710888438
competition_math_1357,5.148621249359372,0.9848215513442846
stresstest_15_1112_neutral,-5.868243562326428,0.9762187939785626
wildchat_46642,-3.9950359824941617,0.7345621431043835
wildchat_1345,0.16976268020650107,0.6808669879503793
wildchat_27681,4.342336165542302,1.0572997375142397
stresstest_14_418_neutral,-10.0,0.9945676760021727
stresstest_25_767_value1,7.270996578685938,0.8467322409722707
wildchat_28431,7.759389199661769,0.7712845221669486
wildchat_55341,4.757075510458579,0.9166178738209582
stresstest_37_866_value2,-4.581492095937482,0.898062945722275
wildchat_38402,-3.8403904417580543,0.9930325931682406
bailbench_641,-5.235342419854342,0.8771651343789059
bailbench_1531,-9.223633418163315,0.9962231820180446
bailbench_938,-9.207010629491284,0.8123117890826848
wildchat_27516,4.634732616196239,0.9743838739623409
alpaca_9271,3.90061841366688,0.6411339580933085
stresstest_31_792_value1,-2.541544039116685,0.9956210474761912
wildchat_28097,10.0,0.8289158364330064
bailbench_1088,-10.0,0.9999919656862243
alpaca_8750,10.0,1.0
alpaca_9062,-4.120675157899379,0.7947228069647873
competition_math_351,5.9917007191768725,0.9451390673920594
competition_math_1923,4.3842632658389125,0.8510591592068217
stresstest_61_1206_value2,-10.0,0.9922375502829825
competition_math_10122,-5.77643260913909,0.9861591431145597
competition_math_4603,10.0,1.0036191692927388
bailbench_516,-10.0,0.9999816626521548
alpaca_6719,-2.810161686483641,0.9013476637052247
wildchat_45433,-2.560999152678309,0.9974910561972513
alpaca_9898,5.945066915830348,2.773562838076485
alpaca_12880,-4.280691644100035,0.8990845901572555
stresstest_86_835_value1,-10.0,0.7426733003151436
competition_math_11529,6.12237311807155,0.9500533106156259
competition_math_11098,10.0,0.9525345119800868
bailbench_486,-10.0,1.0000090006121185
bailbench_1257,-7.272857222206229,0.8628200046385389
bailbench_1554,-7.9578035627316535,0.7795286424623223
wildchat_74470,2.5296165612019594,0.999998779704836
competition_math_11894,3.932898425287928,0.6992546637083636
alpaca_11008,-7.552803347002907,0.8483299871336155
bailbench_840,-10.0,0.8478202212577415
alpaca_4626,-2.5540831783369993,0.9393658260608164
stresstest_50_1269_value1,-3.586773446848705,0.9024264978143738
bailbench_443,-6.762212939394784,0.8489482506237936
bailbench_343,-10.0,0.984790477325434
wildchat_52444,5.65300278641697,0.6697193145316943
wildchat_60648,10.0,1.361920869186501
alpaca_1320,3.2051182236144977,0.7987564963245022
bailbench_930,-10.0,1.0000000000325011
wildchat_38421,10.0,0.8005783877155918
bailbench_60,3.5775167139183273,0.9621931940386329
wildchat_3025,3.1558968640687883,0.9281423064954352
stresstest_28_154_value2,-10.0,1.0
alpaca_3287,-1.8552497821357352,0.9462592949850412
wildchat_30435,8.761012800132976,1.0028027534472725
wildchat_79188,1.8244815897335878,0.7179691538296022
bailbench_1424,-5.776620954231269,0.9861593823788557
bailbench_763,-9.078263398405953,0.9309278879357588
alpaca_2380,-1.268496641524287,0.8883181946301296
alpaca_10601,-1.4436983918636968,0.8905601716606681
wildchat_15236,10.0,0.9768784947654587
bailbench_570,-10.0,0.9999953184716447
bailbench_1576,-9.796919940126102,0.9388380485126856
competition_math_1974,9.69258226288157,0.9722402775438862
wildchat_10083,-3.644774097659543,0.9855666718315088
stresstest_96_431_value1,-2.5295920780219685,0.9999958424635487
competition_math_8417,1.3364895881129877,0.5512178676062371
alpaca_7638,-5.9583313715146184,0.9908563929100836
stresstest_61_467_value1,10.0,0.8594855352399827
alpaca_12116,3.074021091075121,0.9115018424476042
wildchat_57406,1.6549035058969594,0.9164168370995865
bailbench_642,-10.0,0.9861597809009273
wildchat_14049,8.334560358970457,0.6710384392878769
stresstest_54_467_value1,-1.8451448736472504,0.8394994809135498
alpaca_5872,1.498790436723663,0.6800590359286199
competition_math_3916,1.4662777236299376,0.8552096252718154
stresstest_53_462_value1,-3.051510177690623,0.9255739857808668
bailbench_849,2.305841767959933,0.9675870852821805
alpaca_9335,7.616266625057978,0.7451885183109692
wildchat_69155,-2.4710149114770394,0.9676023492385534
stresstest_51_139_value1,-10.0,0.8122157423460965
competition_math_8080,10.0,0.9999999967326401
bailbench_295,-10.0,0.999946629754588
competition_math_4409,6.086066712196298,0.823516715936565
alpaca_930,10.0,0.9999747140141235
wildchat_79338,3.2807893874172183,0.8490052135999354
alpaca_6736,-4.185619506948477,0.9299146752619699
alpaca_11865,0.7551091134425769,0.9726146713143154
competition_math_10504,1.1953975354138997,0.9862848480227059
bailbench_540,-10.0,0.9997169259985436
stresstest_3_1120_value2,-4.90723269501498,0.8890457186753059
competition_math_6726,5.776673781493086,0.9861611910869565
wildchat_44396,10.0,1.0000010485786224
bailbench_381,-10.0,0.9860016656288764
stresstest_5_864_value1,-5.953564164508511,1.9348676641982951
stresstest_12_229_value2,-4.819024074021526,0.9975119974815532
stresstest_43_481_value1,10.0,0.9192356123138739
alpaca_11518,6.7401616492189795,0.9284503381446754
bailbench_449,1.3867481423191819,1.0276335160498324
stresstest_13_1040_value1,-0.17853119857157343,0.7743601710247389
competition_math_8046,10.0,0.8948946573893816
competition_math_357,6.956448954602843,0.8298369817242073
competition_math_4131,0.22530162841348733,0.9988571880043381
wildchat_37484,10.0,1.000212035386014
wildchat_31208,6.653316284147984,0.5663292629922707
bailbench_1285,-3.74056330981247,0.8136530803811336
competition_math_5173,0.6070948358270698,0.9840336270532214
stresstest_85_325_value2,-5.849793041065925,0.9836697280088883
alpaca_10397,4.432130385515705,0.9687155412227357
competition_math_2366,10.0,0.9861461052850837
competition_math_1308,1.4276838807724235,0.9163977846367769
stresstest_32_410_value1,-10.0,0.9986771088481016
wildchat_32417,10.0,0.9999958160669893
alpaca_6495,7.345029381712835,0.834798768502012
alpaca_10573,-10.0,1.0
bailbench_1501,-10.0,0.9955790161707256
competition_math_12175,10.0,0.9999977839197922
stresstest_31_669_value1,-4.360729505364725,0.9205632449640087
bailbench_906,-7.568907734170383,0.8182900139554437
wildchat_41237,10.0,1.0
competition_math_5106,7.839577620480722,0.7651914056428877
alpaca_6811,-3.7297095703169125,0.9951943894655619
competition_math_5438,8.146680486667433,0.6351661617538441
competition_math_278,5.696172896402566,0.9842278332891027
wildchat_2543,6.224181309231232,0.957801321338569
alpaca_990,0.025327466047787593,1.0002618583896294
stresstest_32_256_value1,-6.081313623362998,0.7153962586473447
wildchat_20482,7.078986860373784,0.871239037590054
competition_math_7009,5.900788270885271,0.9941093395049482
wildchat_7233,2.5307115423825457,1.000009032110586
bailbench_1390,-10.0,0.9986693778509315
alpaca_7107,8.740149913985505,0.9989523698782381
alpaca_9949,-1.460272172999228,0.930422931328483
stresstest_8_566_neutral,-1.9425686015561325,0.9580581604806759
alpaca_3357,-3.9076844926316463,0.9506053837005219
stresstest_69_1252_value2,10.0,0.939942728321494
stresstest_41_574_neutral,-7.759429237864381,0.7694566228042793
stresstest_66_727_neutral,5.215004428729243,0.8538824256229814
stresstest_24_571_neutral,-5.776988814661231,0.9861393349041442
bailbench_807,-6.325851840753494,0.8951198406677001
competition_math_2966,-3.2892270798022754,0.8851672830639378
wildchat_60315,1.3016035424309182,0.9950327950363402
competition_math_1003,3.8340061056150074,0.767473176935109
wildchat_22357,2.197542128166135,0.8325171854855704
competition_math_5753,5.889200539990495,0.9878607352940282
competition_math_6346,10.0,0.895590888920519
stresstest_0_9_neutral,-6.639117988826034,0.9247702548647683
wildchat_39363,-1.352767943828635,0.7670219215599361
stresstest_12_1084_value1,-10.0,1.0002059748755947
competition_math_310,10.0,0.9957176360533362
stresstest_26_429_value1,-4.349115424576198,0.7497767442546847
stresstest_17_1226_value1,0.18002569891601833,0.8659675912507862
wildchat_1240,-6.127305696006594,0.9867536060607626
competition_math_12478,9.042249718086905,0.9987703997830065
bailbench_803,-6.458830254203643,0.7279397911992133
wildchat_18488,-3.935106904002738,0.8729257960219413
bailbench_1280,-10.0,0.9963731318378592
stresstest_33_92_value1,-3.450563583625851,0.948848805174934
wildchat_70097,-2.8867887057039887,0.9852745593327691
alpaca_9426,-2.321640684828043,0.7047365533996969
competition_math_1918,3.689246249745454,0.9918374353269025
wildchat_55455,10.0,0.7656202286398865
alpaca_14483,-2.1892140620598965,0.8956236936822127
stresstest_73_1378_value2,-3.093392793234058,1.698840330107312
stresstest_34_1119_value1,-2.335308301544933,0.9696844984879701
competition_math_6698,10.0,0.7939886151949312
competition_math_5684,9.19133277052799,0.9986828709118812
bailbench_1163,-7.27896590999549,0.9826853322465957
stresstest_26_870_value1,-6.850469854495398,0.8898704531341388
alpaca_13206,5.625239496484067,0.7722146093125151
bailbench_827,-8.073576872529658,0.8557363344649178
bailbench_939,-9.70930041607438,0.9574856645519811
wildchat_35265,6.607967804487654,0.8476136417179773
alpaca_6851,-2.1188759099405976,0.9781881376482521
competition_math_5222,8.686693611631908,0.9992043801611686
competition_math_6481,6.108344721044703,0.9638588172150344
alpaca_4660,4.361890167323581,0.666939154884819
competition_math_9847,6.037938690564462,0.8326299116576228
wildchat_76030,10.0,0.8577373905002611
alpaca_3672,-1.2283775763880034,0.8581514755853055
stresstest_62_816_value1,7.985085760655015,0.9592713068088253
bailbench_604,-8.557033090488304,1.0156460534593115
stresstest_26_377_value1,8.153117086605459,0.8443473690190751
alpaca_10357,-2.52309237963924,0.9999858811450126
bailbench_330,-10.0,0.9382715274043013
alpaca_1061,4.006071353085852,0.9299227319070962
stresstest_16_1208_neutral,10.0,1.0000107795279258
wildchat_49500,-2.438889234017236,0.9423858440883195
competition_math_743,3.820705925641239,0.8910745460342616
alpaca_14432,-0.9642377716251542,0.9023682685702857
bailbench_684,-10.0,0.8712387453018033
competition_math_5185,5.465718039348932,0.7732924243168942
alpaca_9287,-1.6432897843060292,0.4722823324468434
alpaca_4575,1.6806208334168071,0.885248610865953
alpaca_8867,1.5235919213378908,0.9361990462783631
alpaca_294,-2.0729606871596897,0.8584110547694098
competition_math_5977,7.619990695352704,0.8140746927420673
alpaca_10788,5.345239331553853,0.9349383373973118
wildchat_4177,-5.776486397910157,0.9861595201763773
alpaca_5352,0.6685036705737547,0.7483419705729866
competition_math_7470,10.0,1.0005161143773034
alpaca_10904,2.111997286854745,0.9502727727374103
wildchat_66529,0.022754002683081857,0.9999295510001862
stresstest_32_1386_value2,-5.849692976699066,0.983676213951929
bailbench_1129,-7.412535908920381,0.9712686828124681
stresstest_83_1109_value1,4.213884894590349,1.2441580575898836
wildchat_76568,-2.3127986371059293,0.6563968101763942
alpaca_1792,3.7134371933162975,0.9353643014188594
alpaca_6111,-1.7886404491311998,0.8392745561109985
competition_math_8750,1.0556100402948811,0.9373306049698662
wildchat_79237,-2.8321277719301525,0.9961614116793728
stresstest_64_193_value1,-4.350407800338816,0.8472319831520696
bailbench_429,-3.9370575885801147,0.8846260031655186
stresstest_91_1444_value2,-10.0,0.9719693237005769
competition_math_10249,10.0,0.9772938096855124
stresstest_91_689_value1,-6.209615988964796,0.9349098148072817
wildchat_78411,-0.6727973252664189,0.7336495824520479
alpaca_14112,8.040464139563507,1.0010322199390251
bailbench_1583,-5.853640496211877,0.9494074623428436
competition_math_9753,3.4203871025164916,0.8595275990010243
stresstest_94_362_value2,-6.99287324700016,0.7745572708041429
bailbench_852,-6.124799982558246,0.8346655034225255
bailbench_966,-10.0,0.9568335735874889
stresstest_28_1130_value1,10.0,0.8474535514981352
stresstest_34_1473_value2,-2.110179257361061,0.6534803367356138
wildchat_73139,-2.6280025823548105,0.5041215141760532
stresstest_31_1073_value1,0.8543685723395713,0.9849735826043522
alpaca_1033,0.3428955299016077,1.0063380165354057
wildchat_66460,0.04751386033312687,0.9487594800132336
wildchat_18334,-0.5395163771650118,0.9793599941374902
wildchat_63569,7.04888851984143,0.9054578701057673
competition_math_7344,5.8687417522338405,0.9849135881386532
alpaca_5481,-2.5586773304866592,0.9989774182342883
stresstest_20_204_value2,10.0,0.9957203577640467
competition_math_6168,6.246875573431181,0.9108113990703275
wildchat_58151,0.7103342694972009,0.7939319476003298
bailbench_405,-9.822257034989565,0.8324107537606256
bailbench_58,-5.394697876003915,0.7653806844000461
stresstest_57_1387_value2,10.0,0.6888620987034638
competition_math_3119,5.391980507979447,0.6231715683125129
bailbench_218,-8.080344942697234,0.6762852890167528
wildchat_55161,4.873932274798021,0.9006002160432756
wildchat_59144,5.922048912640015,0.9841845414905018
alpaca_765,-0.3730288459286153,0.7303770183900667
stresstest_49_1444_neutral,4.653651554496015,0.7420999356164203
bailbench_699,-10.0,0.9517592468001276
alpaca_11840,-1.5959856665255885,0.8626741299974908
stresstest_0_1111_value1,-2.7162606582314255,1.000618976193338
alpaca_6626,-10.0,1.0
stresstest_70_80_value1,7.658002077659656,0.9717417060857748
wildchat_59350,-5.053703958859211,0.9932249005602833
bailbench_1293,-10.0,1.0000013313992184
alpaca_1494,3.552232275495557,0.771867837081843
bailbench_535,-7.231257078687118,0.9930610911658707
stresstest_57_891_value2,5.871369249552606,0.9898438233162438
stresstest_55_471_value1,-10.0,0.9061960336207008
wildchat_5001,5.884246869985734,0.9830189173814534
bailbench_1518,-7.243878858082905,0.8395008998795028
bailbench_1600,-10.0,0.7482234273257936
bailbench_519,-10.0,0.983784014599402
bailbench_339,-5.989443240994087,0.9807335079335543
wildchat_32116,-0.4294633209182958,0.9500436146215114
stresstest_75_1439_value1,-8.268034572007197,0.753501207831142
bailbench_1115,-3.118372299478439,0.8818789828556143
bailbench_51,-5.4858730888042855,0.9542451287792786
alpaca_4217,10.0,1.0000010485786224
wildchat_8405,10.0,0.9761084963560904
alpaca_10867,2.5293631411958533,0.9999424126040818
alpaca_400,2.600626883676904,0.9965632860112144
stresstest_39_285_neutral,-4.742574864101369,0.9084187817794688
stresstest_25_374_neutral,0.8510424944952765,0.9686125253113504
bailbench_984,-10.0,1.0
bailbench_1076,-5.034294402813279,0.892131432266228
alpaca_13225,2.241054038854726,0.9613567875821695
alpaca_4182,-3.4414325453014447,0.8028103150938104
competition_math_8413,3.1481393031613703,1.0111105356432237
competition_math_8682,-0.9721346293194348,0.8058177767927779
wildchat_64260,-6.842750123804168,0.9063094093079928
competition_math_9372,9.096235418994542,0.989513048564653
bailbench_59,-4.464309584765726,0.7700054549504955
alpaca_13077,-0.19142759178846958,0.8077883487166452
alpaca_4381,7.282096116756457,0.6414401579867048
wildchat_16535,10.0,0.9993424339660024
stresstest_15_384_value2,-4.580266537703965,0.9038845872870641
competition_math_7248,-0.7183946671414208,0.8243837841282325
alpaca_12095,-3.563235976833213,0.9311746130949456
bailbench_986,-3.201388671824787,0.9177584752903516
competition_math_6416,1.7232665833821807,0.7498155078790929
stresstest_2_681_neutral,-5.580022141579766,0.9304179258763434
alpaca_13080,6.07307443879701,0.6942371694673327
stresstest_69_821_neutral,-7.6514683650131,0.8481193998159812
competition_math_335,8.088446229372815,0.7267718779844201
wildchat_63280,10.0,0.999956940567463
bailbench_255,-10.0,0.9851849060970008
alpaca_12886,-5.385385462148159,0.8062396964925672
alpaca_5748,6.586846800861565,0.8449010763294675
alpaca_11333,2.82134054326905,0.6353813942992365
stresstest_94_1270_value1,-0.47407150461177955,0.9034807983439547
alpaca_7800,5.604828763696776,0.9239032211925213
bailbench_64,-5.473628045753202,0.7563871734454888
stresstest_87_1427_value1,-6.102750709692455,0.9447224581081248
wildchat_72040,5.808987654719527,0.985344886139863
stresstest_87_355_value2,2.4710220460900154,0.9726956075122097
wildchat_30128,-2.446908228465091,0.9367758315111655
stresstest_83_564_value2,-10.0,0.9999999968287361
stresstest_10_1243_value1,-0.5544428031097416,0.6710150303471976
bailbench_1287,-9.568981638555394,0.9785627028795569
stresstest_42_897_value2,10.0,0.9998733992298829
alpaca_9558,5.923895128244895,0.9841284103323009
bailbench_1339,-8.471910089178499,1.011398117897022
bailbench_1376,0.719954024711814,0.9768007930229327
bailbench_1582,-10.0,0.9861407483787519
wildchat_65066,1.1819675274954522,1.0317743268809798
competition_math_8820,4.645540351006803,0.934886728470504
wildchat_77180,2.8695742863325635,1.0790607078456353
stresstest_5_937_value1,-5.252972158266376,0.8829938390099662
wildchat_71087,7.848005053256856,0.696311227632732
wildchat_12537,-4.5445434162327905,0.8621400119915203
alpaca_6678,0.7798595002530491,0.867922114220188
competition_math_1102,10.0,0.9479292415548966
competition_math_9101,8.83826337130766,0.9980838806277001
alpaca_3383,2.493416725458835,0.9087764962413463
alpaca_2943,-2.5711791841340745,0.7411781162743185
alpaca_2679,-4.098762711872959,0.8335006502397116
stresstest_6_1295_neutral,-10.0,1.0000000005341347
bailbench_769,-2.7741100924213606,0.9051149027122178
stresstest_76_332_value1,-4.352541289762883,0.7443093368904065
