task_id,mu,sigma
wildchat_195600,0.0,0.6870840098645443
wildchat_371189,0.03926713170630262,0.9090279454386611
wildchat_52049,0.5962167756377239,0.1353352832366127
wildchat_230709,2.0697172980839857,2.0446472715614497
wildchat_360787,-1.1118819458812377,1.4652389251034919
alpaca_8155,1.9243523187760716,3.860672463277847
wildchat_491669,1.4072460981555113,0.8555891980540189
competition_math_599,1.845413994273058,0.6677978453854636
wildchat_242015,0.821176352170969,1.3339078904646349
alpaca_666,1.6621522109975273,2.1940129497281653
wildchat_406914,-5.12690706256056,7.38905609893065
wildchat_286136,2.7277832944107305,1.4872070174372196
wildchat_301110,-1.4197016023484406,1.055019068424599
competition_math_2074,6.040388745803065,7.38905609893065
wildchat_101141,1.6525323028204302,2.963603108204521
wildchat_85533,-1.4166344582131578,1.681184822858861
wildchat_151579,-3.684088065143315,3.0988122152637994
wildchat_107926,-1.015680381917448,4.188764477194022
wildchat_151440,0.5309680474283343,0.1353352832366127
wildchat_107355,-0.5344598663302148,3.8047045409738907
alpaca_8201,2.725173205679683,2.0900805341363657
alpaca_13835,1.993444664704172,0.1353352832366127
competition_math_11033,1.657970940641235,1.473263176878
competition_math_6148,2.3265298520435596,1.5129192598412968
wildchat_5799,-5.305772699770615,7.38905609893065
wildchat_117874,1.3325440060969127,3.9394735017664346
alpaca_3800,2.613596777938111,0.2822609539079646
wildchat_30204,-5.1606027376222166,7.38905609893065
competition_math_774,7.859841589161857,6.83203001598994
wildchat_67562,-2.141108894662483,0.1353352832366127
wildchat_400052,1.4821935506258561,0.9708293804442698
competition_math_9541,3.4205345965905285,0.6942152363170379
wildchat_136494,1.0298062140661903,1.1084264600166176
wildchat_452326,0.08766406576333077,2.770196627201882
wildchat_31956,2.622126985291214,1.1241462556404893
alpaca_3394,0.6003851578649261,0.4201538546839811
wildchat_11840,0.24524392523527788,1.409805776265357
alpaca_3194,2.0554679257312682,0.2628624845435021
wildchat_302755,2.4921362483219256,1.1691377050723002
alpaca_3789,-0.09796424573074575,1.3944393401181154
alpaca_5278,1.2409840248290653,0.3323655982261223
wildchat_28076,0.15875366401389404,0.85812027407489
wildchat_92092,1.5666615731766318,1.5113880829781998
wildchat_70706,1.6527901740688689,1.5435195206779402
wildchat_221228,-1.29517890626346,4.1022422773350256
alpaca_6215,-1.0859260071735533,2.8510346978918304
wildchat_197099,2.753459824066632,1.5313597874068015
wildchat_202252,-0.11025266744677602,0.49204335956281825
wildchat_255372,2.547234889445422,0.1353352832366127
alpaca_6540,0.44369861077815553,0.27411938908083483
alpaca_4906,-0.4450579720363369,1.6516689171278574
wildchat_300885,2.4176127652740993,0.25609894305940795
competition_math_3741,2.70382670897786,0.5418013502279738
wildchat_16561,1.3942010361510482,0.7750017190007642
wildchat_486004,-0.2347908788029184,1.3976770072321683
wildchat_51884,-1.2783520620284803,4.311520560678716
wildchat_43351,0.7568441397712014,0.9634829530556421
competition_math_1072,3.896840423804938,5.889621970229521
wildchat_471945,-2.9731632343046948,2.7975350337748486
alpaca_12136,0.9371557836898299,1.5797282896662912
competition_math_3985,2.2671432163840817,0.5300092345091433
wildchat_178088,-4.472475369990967,0.1516988720657908
competition_math_7154,3.0614148734822044,3.423766751689279
competition_math_5482,4.008916462840665,1.267582378990686
competition_math_7452,4.818606264107249,1.919388877891746
wildchat_65318,0.4934452862186884,1.896142739914559
wildchat_277847,0.7391610921253051,3.3090657670391272
competition_math_2993,5.139625915983584,0.2011471007590793
alpaca_1564,1.6500702326401384,0.7845244871630012
wildchat_97883,1.9094750599689505,1.4081452441313504
wildchat_36307,1.470763312780935,0.9949582988249953
wildchat_386942,3.511720517706284,1.1346480715112157
competition_math_12257,3.500467978072749,0.1353352832366127
wildchat_461066,-3.006649716904434,2.860029222204571
alpaca_9116,0.28387072686421033,2.381591766295516
wildchat_110207,-1.0414438786678708,2.1860707558516776
wildchat_10569,1.6716958398830086,1.893882824526505
wildchat_238138,0.6085824472151538,0.214378857379849
wildchat_392411,0.8686032169773569,3.6692436784123967
wildchat_476483,2.0649890278597884,1.5650337834699053
wildchat_47358,1.7154305044136482,2.0346388463302714
alpaca_11495,1.6701383639088667,0.1353352832366127
wildchat_42061,1.1589798077717426,0.6349793727518932
wildchat_376237,1.0077233097155518,1.5004443165914187
wildchat_101149,-1.4862853804448106,1.7987687664283074
alpaca_5848,-0.138273884806194,1.4368389894673383
alpaca_3571,0.7489098923594825,0.1353352832366127
competition_math_2137,2.8318898458848527,0.6282567965577351
wildchat_360558,0.4864892839892441,0.621672628790548
competition_math_1874,3.97811627861406,4.835267374849935
competition_math_3861,4.211011363325455,2.330117862002033
wildchat_200285,-0.982998823303009,1.3212097329779906
alpaca_12777,0.41174486278463407,0.1353352832366127
wildchat_397254,3.049003037918211,0.9546217291544937
alpaca_6632,1.6591819469349451,0.7177561228837807
competition_math_8144,2.6151074096907463,1.4165936828205135
competition_math_4568,1.011440294303859,1.6952533206021405
wildchat_246548,-0.5071315307516038,3.710876785619677
alpaca_2746,1.198792112401577,2.3306966932466087
wildchat_370978,0.3857556990974121,0.1353352832366127
alpaca_14175,0.5169056816138993,0.1353352832366127
alpaca_12221,1.678143734636213,1.1158380334196116
alpaca_10580,1.0182715093447083,1.667979696676537
wildchat_52931,1.6612971629824516,5.118812600278885
wildchat_165489,0.6371807177486194,0.2977144641030003
wildchat_462384,-0.9320789161815067,0.505188848832049
wildchat_280334,-1.2569636812948108,2.310278695443502
wildchat_86310,-0.30600477154762296,1.8130772593716005
wildchat_46543,2.2550408142650458,0.1353352832366127
wildchat_107554,0.5074481109423249,0.30838904639825243
alpaca_1294,0.06138194521379418,0.1353352832366127
wildchat_74036,2.0207088398410633,1.02781598366516
wildchat_370830,-3.9355378501877167,4.050557557162386
wildchat_18157,0.5865995000162618,0.35782254633171756
wildchat_132717,0.8548501257564434,3.1662746560268453
competition_math_7955,1.2282998680797752,3.3961090078443616
wildchat_15831,-1.7408535703547328,0.1353352832366127
wildchat_277683,0.4317283417617675,0.8479858080155942
wildchat_170744,2.6438707492411537,0.1353352832366127
alpaca_11084,1.1004076771667375,0.906253204844747
wildchat_195907,0.8690802199643244,1.7002889557575378
alpaca_94,0.8894674846785795,1.2870189062702366
competition_math_1902,2.2721337233158794,2.3641701722517245
wildchat_376365,0.5605475790940988,1.4550420196656069
wildchat_236329,0.9640694681952984,0.7235592807442713
competition_math_3117,2.7500415493957497,3.4797083150670844
wildchat_497264,-3.854658687363657,3.7604065995919624
wildchat_390724,1.5572038926091492,1.307703940904822
wildchat_140731,-1.6467280159192446,7.38905609893065
wildchat_58499,0.13505782115889203,0.2312127150829264
competition_math_4938,2.2851263889399362,0.31767640228557
wildchat_12092,-1.4665464377231958,3.2160779571276374
competition_math_7244,1.2570510552002119,4.7135922082063715
wildchat_465612,1.1407555138030043,0.1353352832366127
wildchat_361738,1.1546758167577191,1.2362484704200618
competition_math_9276,-0.7592805816328857,2.910339957906614
wildchat_420864,-3.6897647709940347,5.063891843866962
wildchat_170980,-0.4052786334822466,2.1670019523246893
wildchat_510,0.2695966144005389,0.1353352832366127
wildchat_61210,0.6083750226145453,1.0807786198020033
competition_math_2693,2.3385365346022753,1.2115745018027182
wildchat_97136,0.5244735887299246,1.6241672221632881
wildchat_380500,0.1659551939065594,2.1372384709813574
wildchat_72464,0.6473966212225298,1.6752232175234831
wildchat_121705,1.5266593269251845,0.8690762364847582
alpaca_10434,1.133560006914258,0.1353352832366127
competition_math_7328,1.6392544994849498,1.102503939481366
competition_math_8106,2.033761950540778,0.9626369181646192
competition_math_666,5.057123218648114,3.158839352912224
wildchat_102235,1.2741852482013845,1.323582870912188
competition_math_9600,1.318824390558903,0.9848043937097007
wildchat_303004,3.20332928352138,2.997906234685207
wildchat_390817,1.1982721693862695,2.8671391545648857
wildchat_427956,0.1870319494262782,3.549374756535179
alpaca_6956,1.3495191928525085,0.632926573444636
competition_math_12402,4.049003413454373,4.059621538068833
competition_math_5746,2.04971399860412,0.16205862331589144
wildchat_60105,-1.595610477116951,1.8307461249259709
wildchat_18055,1.7666447685386988,0.8709307013920017
wildchat_75543,2.560785275455438,0.1353352832366127
wildchat_121903,0.10005065492708472,1.6364675775901927
competition_math_3707,1.407487849653067,2.4323725609804936
competition_math_2646,0.9352690618412348,6.397201183491471
alpaca_8509,1.714175373901832,2.509333045444177
alpaca_1666,1.1407493851035109,1.1132364051362902
wildchat_6084,1.0231262975411164,0.7583191611031351
wildchat_291440,0.06976837116475507,1.9889673202557165
wildchat_151721,1.1283042037642963,0.1353352832366127
wildchat_435023,-1.196423086438241,1.9202491910823516
wildchat_485490,-5.16162695282117,2.7570752692490683
wildchat_436995,-0.7380632158517864,1.9611437411089723
wildchat_66815,0.9549097082845373,0.4184848936180444
wildchat_27196,3.087490244072589,2.3613092050718576
wildchat_280574,-0.5000135261796318,3.2066059311495274
wildchat_2614,1.76195331303995,0.9670318749875195
wildchat_43276,3.3504290660330702,1.5214471044876667
wildchat_337595,1.779571981527919,0.1353352832366127
wildchat_411271,-8.741625289556124,7.38905609893065
wildchat_226990,1.174147692666078,1.2465550763756603
wildchat_136031,0.15768738028355023,0.732250336771541
alpaca_12712,0.16987434373316646,0.5501956805497215
wildchat_351446,0.6929001176334846,0.21163457648014433
wildchat_322343,0.23956915730419034,1.3878995772627036
wildchat_145716,2.2864782414582665,1.2908440773450633
wildchat_85910,2.365310985002184,0.1353352832366127
wildchat_72073,2.2952283957375887,1.9676542927785845
alpaca_13688,0.5720668131614006,0.28119359659111093
wildchat_285973,-0.1469572957848335,1.2986894117742378
wildchat_28082,2.335159653895471,0.1353352832366127
alpaca_1889,0.12885396550087916,2.2581730226063774
wildchat_63215,-0.10867496519061079,1.0391237809189138
wildchat_378172,0.9096256239895647,0.1353352832366127
alpaca_10604,0.31325168279702936,0.47164683746531766
alpaca_2008,1.5817846481122613,1.3865191479005583
wildchat_1883,-0.6795909716571458,1.727632760068482
wildchat_321273,1.401686505602171,0.86531676882985
wildchat_280890,-0.15572271095597542,0.1353352832366127
alpaca_4445,0.055623260101222656,0.9842069155388891
alpaca_8496,-2.238644011581076,3.521494877621521
competition_math_8417,0.9466247047904098,0.5200974380546506
alpaca_7494,0.5714811228153039,0.4545338271852964
wildchat_247329,0.5880610888105057,0.9014680484437226
wildchat_1319,0.19116697418156475,1.954255049923147
wildchat_141133,0.5977633700341339,3.80814864576844
wildchat_71439,-0.6353842310862702,2.742227091157012
wildchat_115850,-0.7609024145755016,0.13905256235548405
competition_math_9232,7.120283898994966,4.628143518407372
competition_math_3274,2.6688161309656335,0.8668635414756278
wildchat_490409,-2.616863396620658,1.7327717500019932
competition_math_10696,3.382430721826012,2.978538373821467
wildchat_402827,0.680426844832271,0.2242583706213509
wildchat_485949,-4.7371836392345354,4.349343099180244
wildchat_217328,-1.3569118884110238,1.7693540978632534
wildchat_48592,-0.4708176888455389,1.2430670832811894
wildchat_45261,2.025546491522315,1.3907130772165734
wildchat_22409,-7.090082639985314,6.020155265974012
wildchat_14144,3.896282286203158,5.223644256592822
wildchat_16293,2.0605394239850456,0.1353352832366127
wildchat_38289,-1.4312015405721066,2.357859944366877
wildchat_300852,-1.0564843257920231,1.2834601232277034
alpaca_12582,2.2512846964202136,2.0727414985641652
wildchat_397054,2.420267355722914,0.6218033935819762
competition_math_11856,8.094512141900568,6.019259976364856
wildchat_380716,1.7102806476931016,1.4835329447414065
alpaca_11100,0.7858815347868457,0.1353352832366127
wildchat_370944,-2.0594203115337626,4.300788858630345
wildchat_212475,-0.9858494154787907,2.5201871539790583
wildchat_38202,-1.6372760845506233,0.1353352832366127
wildchat_80706,3.7541318514477213,1.8536150341377995
wildchat_155403,0.962298372777092,1.3796701149916475
wildchat_63034,-0.9147371028794966,2.3705439705089533
wildchat_150201,-0.9266822065987732,1.9361257455662242
wildchat_307556,0.04773388060811974,0.47861834520248075
wildchat_267211,-0.01424733119715018,1.0122274322536218
wildchat_450616,1.4631287717962247,0.8978645798089123
wildchat_371504,-2.4999163443539305,1.5323759574858666
wildchat_481569,-0.5316419912328967,1.2847202866448248
wildchat_485901,-0.4996640662137445,1.595092462537357
wildchat_22047,0.7961304581277078,0.9822094089373813
alpaca_12170,-1.1898996247419635,2.152494430374313
wildchat_408191,0.3496572997177306,0.7878762492719222
wildchat_501192,0.009284510656973131,0.9717810383725537
wildchat_380493,0.13191033596085064,2.9280614633412982
wildchat_281793,1.8865314137867712,2.1388384836311896
wildchat_12203,-2.700572759454152,2.9449821631923863
competition_math_8552,1.5913277197326077,0.6749338049126552
competition_math_9750,1.6336071139338444,1.190610204655374
wildchat_412125,-1.4466193998105352,1.1840565019479214
competition_math_9279,1.1219320807879904,1.1032116021451712
wildchat_336700,-1.7579144703769847,0.1353352832366127
