task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,7.258677846962011,7.38905609893065
wildchat_52049,-3.0858467797640823,4.133508578718528
wildchat_230709,10.0,3.7292196141728895
wildchat_360787,-1.9306572632019723,2.1193202520965118
alpaca_8155,8.75694969208639,4.567886709108268
wildchat_491669,6.59146306650271,7.38905609893065
competition_math_599,8.3002189524666,5.978832781590225
wildchat_242015,6.539637020050801,7.38905609893065
alpaca_666,7.162987718556385,1.8912616387108276
wildchat_406914,3.0155179642953125,7.38905609893065
wildchat_286136,7.469798970766941,5.684186229096477
wildchat_301110,-1.9109255901619262,1.6427903847814733
competition_math_2074,10.0,0.1353352832366127
wildchat_101141,2.317412677009861,2.366290394014992
wildchat_85533,-2.1783533945141023,3.3402575959795144
wildchat_151579,-2.1898765383471765,0.7227247422155726
wildchat_107926,4.431854606231272,3.107856171274312
wildchat_151440,-1.3596187660597336,2.2751666426362345
wildchat_107355,3.184209908352215,2.5320011598059975
alpaca_8201,5.532791435763289,0.1353352832366127
alpaca_13835,5.980097438634757,3.8792465171547943
competition_math_11033,5.30754971499617,0.1353352832366127
competition_math_6148,5.224398307481997,0.1353352832366127
wildchat_5799,0.30403160807751334,6.183602661157614
wildchat_117874,9.624947484423426,0.1353352832366127
alpaca_3800,8.530731117910147,6.30797441077458
wildchat_30204,-3.616788226307435,7.38905609893065
competition_math_774,9.131833462689936,0.1380409576662174
wildchat_67562,1.05153853360613,5.265552969914135
wildchat_400052,3.236022168478698,5.636708661781557
competition_math_9541,5.626305152933648,0.1353352832366127
wildchat_136494,3.6683055625814593,2.6918438216048806
wildchat_452326,4.330173861428054,4.987716062130355
wildchat_31956,4.667571295587471,0.1353352832366127
alpaca_3394,-0.10770960051478394,2.4393161322441563
wildchat_11840,1.542498426867204,2.5567261975072046
alpaca_3194,4.966156333163295,4.081885585375438
wildchat_302755,3.523504266669221,4.141200329011091
alpaca_3789,1.3319621687909269,3.160877970416429
alpaca_5278,4.495979804448385,3.283781308639594
wildchat_28076,-0.04775123460299241,7.38905609893065
wildchat_92092,2.183601219752802,3.7375854266982738
wildchat_70706,4.199518957180871,3.6333514327151235
wildchat_221228,4.857020862914103,6.767534357286878
alpaca_6215,0.6548962773852147,7.38905609893065
wildchat_197099,4.0950644214712595,1.1815978691011517
wildchat_202252,3.7149686348162314,4.018951229270948
wildchat_255372,5.403047425907768,4.512348893702479
alpaca_6540,2.4493680057531404,1.2105940200511216
alpaca_4906,0.6784931104978842,4.727468612809292
wildchat_300885,4.588047072154053,0.1353352832366127
competition_math_3741,4.937648908016479,0.1353352832366127
wildchat_16561,3.02890740236379,1.802498778254213
wildchat_486004,0.5322572669087139,0.6717180903398119
wildchat_51884,-0.053525646176244945,3.630318244887989
wildchat_43351,-2.140575803895117,0.8124427892707197
competition_math_1072,4.613769566710139,0.20450740283469512
wildchat_471945,-1.8153275131251858,2.243718811250634
alpaca_12136,2.465748438020247,2.4825971807310188
competition_math_3985,2.927475102926382,1.7412678035534284
wildchat_178088,-6.343974836019674,7.38905609893065
competition_math_7154,4.617548554682409,0.1353352832366127
competition_math_5482,4.35399522068941,0.1353352832366127
competition_math_7452,4.384886071333094,1.3199577045135253
wildchat_65318,2.6206864534066803,4.532560184081108
wildchat_277847,0.8496625717461865,0.13545984429611366
competition_math_2993,4.069680953563568,0.1353352832366127
alpaca_1564,3.0205623974396887,0.1353352832366127
wildchat_97883,1.1285057126226914,1.7746695315683512
wildchat_36307,2.4748755831233202,7.38905609893065
wildchat_386942,2.8110224310747167,0.2352586901474964
competition_math_12257,2.1133006244722723,0.1353352832366127
wildchat_461066,1.0469028283111668,2.194696358653505
alpaca_9116,1.396113721605934,2.6639159202119544
wildchat_110207,0.335711080882138,2.3637323488895836
wildchat_10569,3.0871678563809626,0.9805944356496105
wildchat_238138,4.4466128326784835,1.972854884081878
wildchat_392411,-2.413212437658099,5.5777342691256955
wildchat_476483,3.0262669092585486,2.709495536347406
wildchat_47358,2.224724364399893,0.9067896692358833
alpaca_11495,2.626623101332385,0.1353352832366127
wildchat_42061,2.3326771855708985,2.825561127981008
wildchat_376237,0.26219399151406764,7.38905609893065
wildchat_101149,-0.2629361141880966,1.9620986565905911
alpaca_5848,1.6134980780897779,5.155698046130011
alpaca_3571,0.7498207947006353,7.38905609893065
competition_math_2137,2.7302764880481187,0.1353352832366127
wildchat_360558,1.368116861556143,4.221646510643772
competition_math_1874,4.280627567472196,0.1353352832366127
competition_math_3861,3.413739132661452,0.5803991665944664
wildchat_200285,-2.101112157444174,0.5279341906129317
alpaca_12777,1.3579774691068265,0.3180980286327617
wildchat_397254,2.949300228756314,3.7322251010634715
alpaca_6632,2.596622676069202,1.665998280266898
competition_math_8144,3.501429926833191,1.5912208766947307
competition_math_4568,2.7336503896088806,0.513091828461916
wildchat_246548,1.1797363020855132,5.348603540018286
alpaca_2746,1.8531324645830456,2.7456004919215182
wildchat_370978,-1.5273054051959212,4.127834043801467
alpaca_14175,-0.39173967250636943,2.978940996983851
alpaca_12221,2.769094825492698,0.1353352832366127
alpaca_10580,1.7671297348562234,0.5696402743994106
wildchat_52931,2.584925095014538,0.1353352832366127
wildchat_165489,1.7004976219813035,0.8032183115744833
wildchat_462384,-3.0459304242848093,1.1449050380220596
wildchat_280334,-1.4627084287448222,1.9827960241313909
wildchat_86310,-3.0329530982799624,3.635845547443446
wildchat_46543,3.193086723603546,0.5937245207261669
wildchat_107554,1.6840497372281287,1.337751212869875
alpaca_1294,1.4308918592145836,0.6621481561109303
wildchat_74036,-0.16407477756249086,3.5682996965921507
wildchat_370830,-3.6352367342619916,1.4198375318746457
wildchat_18157,1.1665192427169508,4.036857709212577
wildchat_132717,-2.0196326112471867,1.408696949271257
competition_math_7955,2.7078408290221008,0.1353352832366127
wildchat_15831,-6.064613598545831,5.21413272454271
wildchat_277683,1.862243890410541,0.4178271440881198
wildchat_170744,3.1746843580603428,3.4851358746565597
alpaca_11084,1.5351026041646074,1.0960278138662385
wildchat_195907,0.16481512244587038,0.1353352832366127
alpaca_94,1.2243107046389665,1.0146511976190935
competition_math_1902,2.9708229448797625,0.1353352832366127
wildchat_376365,2.191164602475135,0.4770288525987765
wildchat_236329,1.7136618552226726,2.0401878903165476
competition_math_3117,2.6701998789313324,0.1353352832366127
wildchat_497264,1.0217321307455185,2.1851404966836405
wildchat_390724,0.36015052389981334,6.387447513443087
wildchat_140731,0.5194664826747449,1.3936475972909403
wildchat_58499,3.325913433589219,1.3597690218398442
competition_math_4938,2.103745496887451,4.64545135311573
wildchat_12092,-1.379144644459552,2.763200508378041
competition_math_7244,2.3665083354995446,0.1353352832366127
wildchat_465612,1.1225081881144294,0.1353352832366127
wildchat_361738,1.482569028392766,4.915960395669544
competition_math_9276,1.6481921324319793,0.4798969499217894
wildchat_420864,1.1954369907613303,3.1467303759490237
wildchat_170980,0.014853944008038538,0.1353352832366127
wildchat_510,1.8691087993346118,0.26742259485957415
