task_id,mu,sigma
wildchat_195600,0.0,2.2471989343029835
wildchat_371189,-3.876473922342893,1.1639536734712042
wildchat_52049,-2.288083089767331,0.1353352832366127
wildchat_230709,1.477295801337206,1.2072977136946434
wildchat_360787,-1.394328538297131,7.38905609893065
alpaca_8155,0.6532243048555552,2.5296633853345347
wildchat_491669,3.753507837792263,2.6074256695321467
competition_math_599,0.7577660881045971,1.7751440489475856
wildchat_242015,0.3689653885245579,2.1950652351946123
alpaca_666,4.222343282628762,0.1353352832366127
wildchat_406914,-5.128420518276504,0.1353352832366127
wildchat_286136,7.7084306151978375,6.153310974558021
wildchat_301110,-2.370463043548089,4.063667251432888
competition_math_2074,5.744841787243766,4.738555647828727
wildchat_101141,4.524550963099403,0.5883168078188827
wildchat_85533,-6.498967656190069,2.8807252392765483
wildchat_151579,-6.109462804028033,2.704530228288351
wildchat_107926,0.17067098152354465,0.1353352832366127
wildchat_151440,-0.9719902002223458,5.353232587559143
wildchat_107355,-4.426996714728704,1.7609339791030727
alpaca_8201,5.8210392402852,4.360052067528954
alpaca_13835,2.453091613571204,2.401710237455224
competition_math_11033,-0.06924030972167107,2.8629314245966135
competition_math_6148,4.198049140363599,3.0196773187654045
wildchat_5799,-3.6170176350845664,3.983455443433152
wildchat_117874,1.8610076056386058,1.2350119974792122
alpaca_3800,4.9208108730582945,3.7608213874570082
wildchat_30204,-10.0,0.14519153548656819
competition_math_774,10.0,0.1353352832366127
wildchat_67562,-2.043821259342156,1.0136650877739029
wildchat_400052,-0.16554349231594434,1.8805753876165043
competition_math_9541,6.374022142301252,2.3915191202242045
wildchat_136494,1.409786497600126,2.1188029663046026
wildchat_452326,0.4346975578859276,0.1353352832366127
wildchat_31956,4.787139995469887,2.6369394146537672
alpaca_3394,-0.374103512082622,1.4483985205970842
wildchat_11840,-1.9905743338415043,3.6578521473330525
alpaca_3194,4.016166824982595,6.102562595262043
wildchat_302755,7.709204180508425,5.835867241571058
alpaca_3789,-3.9911770409243803,3.651869407135662
alpaca_5278,1.9332654380917407,4.658822858446809
wildchat_28076,-0.24469015120879956,0.1353352832366127
wildchat_92092,1.3121918006303244,0.5133843790893435
wildchat_70706,3.814049528431611,1.925532356630022
wildchat_221228,-9.957629545175365,7.38905609893065
alpaca_6215,-3.4020933448187445,4.6781737379151505
wildchat_197099,4.429718678855265,3.3070975838189622
wildchat_202252,-7.419557587537688,6.11096203790475
wildchat_255372,6.818640519495649,0.1353352832366127
alpaca_6540,0.5276410284493871,1.2863049110022202
alpaca_4906,-2.4903381669948828,3.236028798300971
