task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-9.091787798945033,0.44686328408068143
wildchat_52049,-5.591069373629657,0.1353352832366127
wildchat_230709,-0.5772305795108702,6.805610713053955
wildchat_360787,-6.132561144219194,5.299435998010326
alpaca_8155,-4.798955763422334,1.641350887155382
wildchat_491669,-5.811213196148354,7.38905609893065
competition_math_599,-4.44511328672311,0.1353352832366127
wildchat_242015,-2.02285468173448,5.4905140394523855
alpaca_666,-5.235689626599604,1.350109388961601
wildchat_406914,-4.950448183374966,6.113245774801261
wildchat_286136,-4.873684152514955,5.720085692176639
wildchat_301110,-6.595685710910436,5.497670528769917
competition_math_2074,-1.2154185068015289,2.862129658101648
wildchat_101141,-4.457517818324538,1.8163936356490473
wildchat_85533,-9.170738829889933,0.1353352832366127
wildchat_151579,-9.076146001602883,7.303517265170167
wildchat_107926,-7.222914089343483,5.033010375308877
wildchat_151440,-8.490003710421405,0.1353352832366127
wildchat_107355,-5.555642988508816,0.1353352832366127
alpaca_8201,-4.882597843388423,3.068487029881013
alpaca_13835,-5.315909538712699,0.1353352832366127
competition_math_11033,-2.2871879983830152,3.189446296685459
competition_math_6148,-5.211142912825795,4.224193282777387
wildchat_5799,-9.844769107618811,7.38905609893065
wildchat_117874,-0.03445314659652758,5.778939503703277
alpaca_3800,-2.4767392394677845,7.38905609893065
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,-0.12524227301998972,7.38905609893065
wildchat_67562,-8.742309471199217,7.38905609893065
wildchat_400052,-4.645867824256875,6.849608168703672
competition_math_9541,-3.7533895505844543,0.1353352832366127
wildchat_136494,-4.602349980173164,4.460204042000972
wildchat_452326,-8.559389697933005,7.38905609893065
wildchat_31956,-4.194138376301207,0.1353352832366127
alpaca_3394,-3.85037856218454,1.4590498816275204
wildchat_11840,-3.135541472545798,6.345283253136461
alpaca_3194,-4.213901883927227,1.3132869688104423
wildchat_302755,-2.5116521875955318,6.46361314150748
alpaca_3789,-5.134442311547332,0.1353352832366127
alpaca_5278,-3.246900963925408,1.178607675785386
wildchat_28076,-8.186896495199871,4.154777299936864
wildchat_92092,-3.886197106968831,1.3377259730634656
wildchat_70706,-4.213439047607599,3.325454838013615
wildchat_221228,-7.390762675590664,6.409021690672275
alpaca_6215,-5.063910244246085,0.1353352832366127
wildchat_197099,-4.1855609905478115,0.1353352832366127
wildchat_202252,-4.882404555665038,3.5905716653958635
wildchat_255372,-0.5133261736473499,2.394457554150234
alpaca_6540,-3.659442835660825,0.1353352832366127
alpaca_4906,-4.032852193889591,0.1353352832366127
wildchat_300885,-3.891542482687684,3.4898605320594416
competition_math_3741,-0.6145903712652964,3.0167964397473894
wildchat_16561,-3.0828503479549707,1.3558973474841542
wildchat_486004,-7.396081945028119,3.7436066520456883
wildchat_51884,-0.4810977873514854,4.2802616489996295
wildchat_43351,-6.17030250715847,3.2796636610102508
competition_math_1072,-0.6986968230972298,5.033314588418665
wildchat_471945,-6.451729237379853,2.371250866583162
alpaca_12136,-4.146959041105486,0.1353352832366127
competition_math_3985,-3.816518180166454,0.1353352832366127
wildchat_178088,-0.6580552309288258,1.4551112240602286
competition_math_7154,0.9135709461481776,2.8955324937647626
competition_math_5482,1.3734503323267435,7.38905609893065
competition_math_7452,-0.939140154747616,7.38905609893065
wildchat_65318,-3.5274477488608933,0.1353352832366127
wildchat_277847,-3.6503258666865426,0.1353352832366127
competition_math_2993,-1.5757295576006256,3.3772182424533317
alpaca_1564,-3.3183909255776176,0.1353352832366127
wildchat_97883,-3.3325991587061434,0.1353352832366127
wildchat_36307,-3.103995797159139,3.767621016253775
wildchat_386942,0.4242237931449589,2.7231214311325114
competition_math_12257,-0.4671195455321552,4.851766886990333
wildchat_461066,-4.760596361508708,5.173312658423556
alpaca_9116,-3.3619811921577645,0.1353352832366127
wildchat_110207,-3.764560261456463,4.173510234236364
wildchat_10569,-3.888069873240889,5.281505281054656
wildchat_238138,-2.932880690545327,1.9883885435416375
wildchat_392411,-2.1112549110111245,2.0305122081586333
wildchat_476483,-4.329365996105444,4.204028423532596
wildchat_47358,-3.716826720731451,4.0690439208877525
alpaca_11495,-3.2319727463149377,0.1353352832366127
wildchat_42061,-2.667333607333189,0.1353352832366127
wildchat_376237,-6.755556181859402,6.726133689111641
wildchat_101149,-5.868670525302392,1.966955077010373
alpaca_5848,-3.8581403859417476,0.1353352832366127
alpaca_3571,-3.1846804794739225,0.1353352832366127
competition_math_2137,0.43800176269754004,2.125343999127291
wildchat_360558,-3.0923852992241923,0.1353352832366127
competition_math_1874,0.5500396556384328,3.98346500456228
competition_math_3861,-1.1589949407170848,7.38905609893065
wildchat_200285,-3.2035293076098825,0.1353352832366127
alpaca_12777,-3.240183012642741,0.760960263300771
wildchat_397254,-7.727511011840979,3.8558892226974133
alpaca_6632,-1.9694868612890906,0.1353352832366127
competition_math_8144,-1.3892055087876418,1.6259598001711049
competition_math_4568,-3.2883362821200532,0.1353352832366127
wildchat_246548,-4.07656414311687,1.8548567796463034
alpaca_2746,-2.9879769813725403,0.1353352832366127
wildchat_370978,-8.83429181294068,0.1353352832366127
alpaca_14175,-2.8637545896310357,0.1353352832366127
alpaca_12221,-2.922177656129022,0.1353352832366127
alpaca_10580,-3.0108548204511703,0.7182622834195199
wildchat_52931,-1.407672747158122,4.0211078761606736
wildchat_165489,-2.746858243662878,0.1353352832366127
wildchat_462384,-7.677765111463535,6.004792457989379
wildchat_280334,-7.053855021696924,3.429912219895803
wildchat_86310,-2.208304972409798,3.93770493314611
wildchat_46543,3.9874031103071443,7.38905609893065
wildchat_107554,-2.3766434964004124,3.858479202019348
alpaca_1294,-2.6907284913473606,0.1353352832366127
wildchat_74036,-1.7430453478229506,4.443634416031414
wildchat_370830,-2.6804605199134386,3.8463422138898715
wildchat_18157,-1.7621837128524924,0.1353352832366127
wildchat_132717,-1.6025286176253064,2.6744270092607896
competition_math_7955,0.0422474863400191,3.3034370972111997
wildchat_15831,-9.696237810829441,0.1353352832366127
wildchat_277683,-2.486800438068916,0.7272516514195555
wildchat_170744,-1.8176881752492695,0.1353352832366127
alpaca_11084,-2.6708812864259643,0.1353352832366127
wildchat_195907,-2.491146795105938,0.1353352832366127
alpaca_94,-2.2129778000917244,0.1353352832366127
competition_math_1902,-0.020008762143212226,2.246622863661766
wildchat_376365,0.3200562135896362,3.40190168122259
wildchat_236329,-6.445811233798773,3.231066197520715
competition_math_3117,-0.04271131880259742,2.418028804529377
wildchat_497264,-2.673394042977903,2.827768119143735
wildchat_390724,-1.4750795865252664,0.1353352832366127
wildchat_140731,0.4070240688150013,2.695015710787967
wildchat_58499,-1.6075283635129964,0.1353352832366127
competition_math_4938,-1.2231426348970265,0.1353352832366127
wildchat_12092,-1.3488815807508774,0.6765793916512516
competition_math_7244,-1.6243348845505585,1.1939354049541813
wildchat_465612,0.06027663717402712,2.5707058911288794
