task_id,mu,sigma
wildchat_135589,0.0,2.858340979339929
wildchat_126886,-1.5747112240992545,0.1751263751361045
wildchat_23686,-2.2732247961898606,0.1353352832366127
wildchat_55481,-5.054586580816142,0.7848246661435457
wildchat_78596,-8.947816927273132,0.31670870807044216
wildchat_230080,-4.825520127481124,0.1353352832366127
wildchat_59098,-4.122386581511648,0.1353352832366127
wildchat_332276,-4.131612690870788,2.93916171438422
wildchat_117475,-2.7247987776626474,0.15423684328374415
wildchat_421664,-5.089167420136066,0.1353352832366127
