task_id,mu,sigma
wildchat_195600,0.0,1.683698371261619
wildchat_371189,-9.046296887430126,1.960806427323737
wildchat_52049,-2.1691477422820458,0.1353352832366127
wildchat_230709,10.0,0.1353352832366127
wildchat_360787,-4.669940599400659,7.38905609893065
alpaca_8155,5.275512094617953,7.38905609893065
wildchat_491669,1.5952768244133622,1.943822962625624
competition_math_599,-6.254883608580751,6.184577297067491
wildchat_242015,2.7254428117813743,1.6925051643632965
alpaca_666,3.8986464856394263,3.410416034462544
wildchat_406914,-6.3037785674773135,3.782659830757736
wildchat_286136,4.507422749858372,4.761302921906383
wildchat_301110,-7.772261947963189,2.9792838813077633
competition_math_2074,2.454412549262236,3.2742794207034063
wildchat_101141,-0.11585590242809589,3.038120731900236
wildchat_85533,-9.653829008636606,0.1353352832366127
wildchat_151579,-9.23459780891003,2.7636769949439657
wildchat_107926,-6.201040632166057,0.6398188440840241
wildchat_151440,-5.421069241763572,1.4087160888940267
wildchat_107355,-2.631601326543981,0.1353352832366127
alpaca_8201,2.5499334245452148,1.7006854465191832
alpaca_13835,0.905895308909363,1.2641768373382738
competition_math_11033,3.646019867741546,2.399515421942614
competition_math_6148,6.769346457391755,4.787953716493721
wildchat_5799,-2.5058061343766505,0.1353352832366127
wildchat_117874,4.356846366770991,0.1353352832366127
alpaca_3800,5.912382887361866,2.424245613792836
wildchat_30204,-9.658731288182622,0.1353352832366127
competition_math_774,-0.7318658969223343,3.3252144727190207
wildchat_67562,-7.102311358002257,0.1734976174050221
wildchat_400052,-4.466936510907649,3.2752208147507984
competition_math_9541,2.253691628537897,2.716165003350058
wildchat_136494,-3.3956867513394986,4.244922106079773
wildchat_452326,-8.389516044857109,1.992162650924402
wildchat_31956,-1.694752266885192,0.1353352832366127
alpaca_3394,2.65289166047031,3.420017323092498
wildchat_11840,1.5760478691913868,0.1353352832366127
alpaca_3194,3.900606582606207,1.350942923434178
wildchat_302755,-1.2058438883523697,7.38905609893065
alpaca_3789,-1.7392449992913286,3.092191775847275
alpaca_5278,3.692858538229158,4.635926236346836
wildchat_28076,-7.415234351434381,1.4039275149131694
wildchat_92092,0.5595669465710319,2.6863261674167696
wildchat_70706,0.4794385729266511,6.495127048887463
wildchat_221228,1.452033315060802,1.6168525349258493
alpaca_6215,-3.781076990241866,5.3131783194101665
wildchat_197099,0.06677115128833194,0.1353352832366127
wildchat_202252,0.28051252486736417,0.1353352832366127
wildchat_255372,6.7023061181589245,0.8351868093925425
alpaca_6540,-0.5447968646237191,0.1353352832366127
alpaca_4906,-1.2756167912044374,4.253852723234219
wildchat_300885,0.6435713245427787,0.1353352832366127
competition_math_3741,5.771561905423025,4.236423786355403
wildchat_16561,-0.7506761335008151,0.1353352832366127
wildchat_486004,-5.030772727347316,2.2076986968150543
wildchat_51884,1.2355906154154062,3.225824720766945
wildchat_43351,-4.795315772072977,0.1353352832366127
competition_math_1072,1.7059833534515563,0.1353352832366127
wildchat_471945,-6.347400838428159,6.201042002958091
alpaca_12136,1.5826808294975674,0.1353352832366127
competition_math_3985,0.4825693003182454,2.0032799043002223
wildchat_178088,2.204256416796042,3.326601698159797
competition_math_7154,3.5917569699427556,7.38905609893065
competition_math_5482,3.1274056265608685,2.238961221296117
competition_math_7452,-1.0807740838236433,3.0679155704738985
wildchat_65318,-1.428831337958807,7.38905609893065
wildchat_277847,-1.3994146573314128,3.2214567528643423
competition_math_2993,4.201328807433247,2.286816240978795
alpaca_1564,3.7489633533266877,2.3663443412570553
wildchat_97883,-4.625060102197732,4.2962163787273155
wildchat_36307,0.9014635337581715,0.1353352832366127
wildchat_386942,2.675136654546851,3.301232488796102
competition_math_12257,5.635017688117266,0.1353352832366127
wildchat_461066,-6.05767386780157,0.1353352832366127
alpaca_9116,1.2096000727950746,0.1353352832366127
wildchat_110207,1.9321614869923058,0.1353352832366127
wildchat_10569,0.5612122374815807,1.4074654382274414
wildchat_238138,6.247156071725262,1.811846991035943
wildchat_392411,-2.1670879505669363,0.1353352832366127
wildchat_476483,-4.0781907461318445,7.38905609893065
wildchat_47358,0.29105176546672135,2.750263463457494
alpaca_11495,1.7912594546248681,0.1353352832366127
wildchat_42061,1.9691057900240077,0.1353352832366127
wildchat_376237,-2.0863499186537364,3.7836256481422352
wildchat_101149,-2.6638180024741294,7.38905609893065
alpaca_5848,-5.6176248490864715,0.1353352832366127
alpaca_3571,3.0955767317461285,2.308231585265733
competition_math_2137,7.837260243367805,1.3245597082059568
wildchat_360558,-6.474440758863359,3.7061074339254527
competition_math_1874,0.14180487547793608,2.0899988450512565
competition_math_3861,3.94188632580655,0.47747905456926576
wildchat_200285,-5.272160525530468,0.1353352832366127
alpaca_12777,0.7773420268657024,1.505852491466287
wildchat_397254,-2.1204825280905704,5.528063661696814
alpaca_6632,3.18741266979611,2.228821558971097
competition_math_8144,4.132298083586112,3.528254008178213
competition_math_4568,-3.026119959749715,6.010589082242369
wildchat_246548,-6.676877731672402,2.130142435637544
alpaca_2746,3.3539049239014886,2.205116628793362
wildchat_370978,-8.386896370032092,0.1353352832366127
alpaca_14175,2.040618329023012,0.1353352832366127
alpaca_12221,2.1651480572614106,0.1353352832366127
alpaca_10580,3.0218384431027996,2.923209389058928
wildchat_52931,4.015246307425141,2.161140803511189
