task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-3.0933040171804573,2.824382939128621
wildchat_52049,1.664611596319506,5.712064949086824
wildchat_230709,7.223016616437816,7.38905609893065
wildchat_360787,-2.187056300277697,3.3417897931158005
alpaca_8155,5.917128378818416,4.53849772560285
wildchat_491669,4.864509463659599,4.07796069698282
competition_math_599,2.587895190503651,7.38905609893065
wildchat_242015,9.3442204381705,0.1353352832366127
alpaca_666,3.123610899881139,6.369652291130423
wildchat_406914,10.0,7.38905609893065
wildchat_286136,10.0,0.2039685732355348
wildchat_301110,0.9897423606133567,3.9019015137166972
competition_math_2074,9.758399922434027,4.731148412096671
wildchat_101141,5.670505106892667,4.421763902353129
wildchat_85533,-7.745882543832017,3.1010922791217213
wildchat_151579,2.0855129538340593,7.38905609893065
wildchat_107926,0.7476846940457368,4.406421598668047
wildchat_151440,-0.21567370889944776,4.985590007810462
wildchat_107355,5.988572322316188,2.43166351603371
alpaca_8201,6.185950057401178,3.203835641433473
alpaca_13835,3.5256525437495188,2.513455521136549
competition_math_11033,7.3973849863370225,0.33630858184207735
competition_math_6148,7.650901124352731,0.1353352832366127
wildchat_5799,-2.4565244054862543,4.590523632777675
wildchat_117874,8.988439202952335,0.1353352832366127
alpaca_3800,10.0,0.1983715064771126
wildchat_30204,-8.482887942174962,0.1353352832366127
competition_math_774,7.692550739064955,0.1353352832366127
wildchat_67562,-1.2122224113703755,3.2498625507650822
wildchat_400052,3.2510516775046288,7.38905609893065
competition_math_9541,7.153450568428275,0.1353352832366127
wildchat_136494,1.6308809317487976,6.140367505663307
wildchat_452326,-2.6433167328442,5.09580812377171
wildchat_31956,3.369329816606528,2.212347545673863
alpaca_3394,1.9209324172680131,3.8885290842208553
wildchat_11840,7.077441550410306,0.1353352832366127
alpaca_3194,5.726986365490894,2.0769513051637953
wildchat_302755,5.46845366866015,4.406173368166824
alpaca_3789,0.8243615382688316,3.0546857927816897
alpaca_5278,3.8531130998584886,0.1353352832366127
wildchat_28076,-3.709629070887473,4.565148665246994
wildchat_92092,5.536329075253485,6.5435223806564435
wildchat_70706,3.0207547529087933,3.6618592668036523
wildchat_221228,4.671499407586041,3.033656092121002
alpaca_6215,2.6505898991666164,3.0827220798614596
wildchat_197099,1.2345861678250025,3.5600994719054913
wildchat_202252,0.28655099186776967,3.0946295576211336
wildchat_255372,6.78538279260808,0.1353352832366127
alpaca_6540,2.6006050119517967,1.5474419509351567
alpaca_4906,-3.318108981856305,3.334154852071842
wildchat_300885,2.430744304468747,6.713731387711101
competition_math_3741,7.254502883125929,1.4766486686226374
wildchat_16561,5.861850060311153,0.1353352832366127
wildchat_486004,1.6705740443712074,2.078220001387629
wildchat_51884,6.907823816478027,0.9157624034146451
wildchat_43351,1.158271381040183,4.212614496754538
competition_math_1072,5.576659840604477,0.1353352832366127
wildchat_471945,-2.8389243671112134,2.7407786678336357
alpaca_12136,1.7104012251660525,4.396275237407993
competition_math_3985,2.400197770362501,2.4354827029147375
wildchat_178088,6.42596532368159,7.38905609893065
competition_math_7154,3.701547457108511,0.1353352832366127
competition_math_5482,6.970219146018895,0.1353352832366127
competition_math_7452,6.304532869910694,2.926156903434671
wildchat_65318,2.76222249131784,3.2842838433707082
wildchat_277847,-2.239415062212299,2.4093500805691304
competition_math_2993,4.624359654616312,3.2500930063422664
alpaca_1564,4.09570069825775,0.1353352832366127
wildchat_97883,-0.5482961406185182,1.5914359596513206
wildchat_36307,3.3133555231106375,0.9138020597481685
wildchat_386942,6.427926530031372,1.0693948899156294
competition_math_12257,5.296297579384329,0.1353352832366127
wildchat_461066,-2.4372831235192227,2.482218462651203
alpaca_9116,1.4234579595168277,2.4428802215216576
wildchat_110207,2.9083392002929234,0.38600258809427895
wildchat_10569,3.1795217456112597,0.7526175199801218
wildchat_238138,3.584980041087877,0.1353352832366127
wildchat_392411,3.209809905665556,0.1353352832366127
wildchat_476483,3.1582439633922665,5.8092358275282265
wildchat_47358,2.9472910438305475,2.463730786541463
alpaca_11495,3.425261508861951,0.1353352832366127
wildchat_42061,3.5289338052484194,4.371957243565572
wildchat_376237,-1.4496803206286082,1.9598242440084575
wildchat_101149,-1.2292135489303595,0.1353352832366127
alpaca_5848,-0.7025412404915019,2.584606636327363
alpaca_3571,3.0977150929973303,0.1353352832366127
competition_math_2137,7.622000760732569,3.1034513745299113
wildchat_360558,-2.243610097377015,3.7659258542716723
competition_math_1874,3.864413950843552,2.300701917306955
competition_math_3861,2.5247748604811986,0.3365942477060639
wildchat_200285,-2.3029107246973792,2.211297109358955
alpaca_12777,1.65592968424418,2.4619817635388483
wildchat_397254,0.7114949433557483,1.6070810069308898
alpaca_6632,2.7362988750193304,0.7515558436151386
competition_math_8144,3.367494153003457,0.1353352832366127
competition_math_4568,0.8501409747145515,1.0248834210478799
wildchat_246548,-5.01132355218287,0.8624446399578117
alpaca_2746,1.2944978494766444,2.3402973787128216
wildchat_370978,-4.53648506838152,0.1353352832366127
alpaca_14175,-1.281930348421075,7.38905609893065
alpaca_12221,2.8320415245484,0.839788354636547
alpaca_10580,2.586567398178063,0.1353352832366127
wildchat_52931,2.9447938452823452,0.1353352832366127
wildchat_165489,0.24734412419929866,2.092321227716228
wildchat_462384,-3.973896835456063,0.1353352832366127
wildchat_280334,-2.0630288804113524,2.231095843027999
wildchat_86310,1.6872052922169514,0.8148146254922577
wildchat_46543,5.856615667220147,4.143554826990984
wildchat_107554,2.3571883506322755,0.4189641042633557
alpaca_1294,-1.6223251128507328,1.9875800412989608
wildchat_74036,0.7935397248246198,1.4543685643790691
wildchat_370830,3.281789425927671,4.496674440381118
wildchat_18157,3.119398378188176,0.1353352832366127
wildchat_132717,2.0561212062251175,3.044511779233715
competition_math_7955,4.348735437808925,3.2349839976345875
wildchat_15831,-10.0,0.2120522129413658
wildchat_277683,2.070944778752564,0.8373639566912069
wildchat_170744,2.8006031920138574,0.1353352832366127
alpaca_11084,2.409924404709429,0.1572499986479298
wildchat_195907,-2.7927515766247275,2.0309232980582546
alpaca_94,0.6590818157466471,1.9625807744221522
competition_math_1902,4.079423310071889,3.113411611021632
wildchat_376365,4.102244872132933,1.3494065965078912
wildchat_236329,-3.994233122126513,1.36496787093225
competition_math_3117,3.2524584990633736,0.1353352832366127
wildchat_497264,-2.7758358411965016,1.7230795104517287
wildchat_390724,1.8514789250498793,0.1353352832366127
wildchat_140731,2.9252945223886617,0.1353352832366127
wildchat_58499,2.424307979795846,0.1353352832366127
competition_math_4938,2.4545634646940826,0.1353352832366127
wildchat_12092,-1.4583791991020856,2.085835208540777
competition_math_7244,1.4860110080114404,3.095281570525102
wildchat_465612,1.6545961653501864,3.515211139050965
wildchat_361738,-0.881358105468512,1.1812576017731755
competition_math_9276,2.3397489292017903,0.1353352832366127
wildchat_420864,-0.4905067521023198,1.0160793409062499
wildchat_170980,-3.206793065158336,0.7997355306329407
wildchat_510,0.6473633462844215,7.38905609893065
wildchat_61210,2.515679598187981,0.1353352832366127
competition_math_2693,2.3981485719211326,2.338659666067969
wildchat_97136,0.5354542446538946,7.38905609893065
wildchat_380500,2.259808702132115,6.788530777147089
wildchat_72464,2.915542094663697,0.1353352832366127
wildchat_121705,1.535603469896246,2.048202998702708
alpaca_10434,1.8297597353973616,0.1353352832366127
competition_math_7328,1.044572677987218,2.9057062511814937
competition_math_8106,0.2828671963128534,2.3104270077880944
competition_math_666,2.475806851429607,0.1353352832366127
wildchat_102235,1.4651365625195245,1.1472443759070527
competition_math_9600,2.1571277778473767,0.5911044295198897
wildchat_303004,2.2948474820045024,0.5981491012451915
wildchat_390817,2.206645336215307,0.1353352832366127
wildchat_427956,-0.11066092821925992,2.570365605603415
alpaca_6956,1.876846903424009,2.601847397773046
competition_math_12402,2.7798997750971206,0.1353352832366127
competition_math_5746,2.846321325839873,0.1353352832366127
wildchat_60105,2.733695623203618,0.1353352832366127
wildchat_18055,1.5268838060578147,0.8328869257649917
wildchat_75543,2.152270217180857,0.6376944563600653
wildchat_121903,-1.3880797637770408,0.1353352832366127
competition_math_3707,2.767746603954408,2.6151167534603417
competition_math_2646,2.3816393170265564,0.14361359377264626
alpaca_8509,-0.06589574873529834,4.454774657743176
alpaca_1666,1.1265184886863693,0.4972666150334635
wildchat_6084,2.336183058084572,0.1353352832366127
wildchat_291440,-4.74078468946447,2.452019749196035
wildchat_151721,0.7071583837409918,2.485853702716134
wildchat_435023,-5.653820223284792,1.8466025646183652
wildchat_485490,-6.227925532005219,0.8844654637271727
wildchat_436995,2.0013308640733527,2.9596887756336696
wildchat_66815,1.0606045591391404,4.48244546458839
wildchat_27196,2.4199329173975475,0.1353352832366127
wildchat_280574,-5.527720152509423,2.6835748033387117
wildchat_2614,1.4252347533788159,0.8991650652359992
wildchat_43276,1.2244438049486528,6.733303799380283
wildchat_337595,2.017482813662233,0.3900693724470947
wildchat_411271,-6.504441755099728,1.4828959990689754
wildchat_226990,0.3461960211756093,3.7814996192915693
wildchat_136031,0.03043183742668115,1.5036243698831466
alpaca_12712,-2.3931280621457325,0.23440364632413316
wildchat_351446,2.081851748992802,0.1353352832366127
wildchat_322343,-6.567245490060026,1.954965649298198
wildchat_145716,2.6970736292835658,0.1353352832366127
wildchat_85910,1.3476749691220042,0.1353352832366127
wildchat_72073,1.4364808058491343,0.1353352832366127
alpaca_13688,1.131964224010693,0.1383186715804779
wildchat_285973,-3.468046131483389,0.1353352832366127
wildchat_28082,2.5099362037635657,0.1353352832366127
alpaca_1889,1.8076817097337279,0.1353352832366127
wildchat_63215,0.1615737482321339,1.6015195447952892
wildchat_378172,-0.32023993598545425,3.265364438991357
alpaca_10604,1.4470647626988302,0.1353352832366127
alpaca_2008,0.8468111505777334,1.8362437956198756
wildchat_1883,-1.5558401709897276,0.1353352832366127
wildchat_321273,2.3401953907901314,0.1353352832366127
wildchat_280890,0.9860531401373998,2.672912391634927
alpaca_4445,-0.6194906877629088,1.9552527815312746
alpaca_8496,-4.492970536625147,1.184045616915353
competition_math_8417,1.8659296983825466,0.1353352832366127
alpaca_7494,-2.2649751975175776,1.2464272618682641
wildchat_247329,1.4597552794988535,0.1353352832366127
wildchat_1319,1.6195971006591858,0.1353352832366127
wildchat_141133,1.2186847055939205,0.1353352832366127
wildchat_71439,-0.17902683383659837,2.442023123724328
wildchat_115850,1.3990698112948696,0.2921234900389697
competition_math_9232,7.372207105124888,0.1353352832366127
competition_math_3274,4.764469044886907,2.30146055299342
wildchat_490409,-2.7086636463172713,1.849880971997511
competition_math_10696,2.5491110644185224,0.5588645704159197
wildchat_402827,0.9841498551441541,0.1353352832366127
wildchat_485949,-8.078094694091831,0.1353352832366127
wildchat_217328,-3.5457367485295324,3.0502798628945844
wildchat_48592,-0.0762301817984065,3.0767187098678046
wildchat_45261,4.644011827627071,0.1353352832366127
wildchat_22409,-5.808074876284747,1.175471365954727
wildchat_14144,0.7795662764524569,0.421771142070438
wildchat_16293,6.268031259825712,3.337083259687149
wildchat_38289,-0.025410064015527912,2.77258915128368
wildchat_300852,-2.1804710270038266,2.6498510487218443
alpaca_12582,-0.4590674919499005,0.9805844620730281
wildchat_397054,-0.24645626913507804,1.6738441316808517
competition_math_11856,1.508411319256863,0.1353352832366127
wildchat_380716,1.2584104334726178,0.1353352832366127
alpaca_11100,1.1742077407261096,0.1353352832366127
wildchat_370944,-2.996086423621829,0.8869359926047503
wildchat_212475,-6.520526714270732,1.8765918275926798
wildchat_38202,-2.4484918981314925,6.029130182062004
wildchat_80706,1.0193201848717675,2.4354811634813873
wildchat_155403,-1.6272164604652504,0.1353352832366127
wildchat_63034,-2.5173674738767122,1.8756497747732375
wildchat_150201,-5.690934707410971,1.7529226447839807
wildchat_307556,-1.2851316059936284,1.8187322819695646
wildchat_267211,1.1425744347505193,0.1353352832366127
wildchat_450616,0.07915962321480634,1.0423303096099565
wildchat_371504,-5.344279600907184,0.8290484907175935
wildchat_481569,0.8576871490827527,0.38602459081756224
wildchat_485901,-4.040374578637162,2.0417924934943836
wildchat_22047,0.18298478671303164,0.860038760521845
alpaca_12170,-3.613168495905513,0.8345372114393677
wildchat_408191,-5.008019570671037,3.0710170940527126
wildchat_501192,-0.24870340764417365,2.0650914998292467
wildchat_380493,-0.18259394766012538,0.6991312408208455
wildchat_281793,2.3115837866806332,0.1353352832366127
wildchat_12203,-1.813089705651415,4.682528569651727
competition_math_8552,1.637744510981874,0.8120948337260973
competition_math_9750,-0.8715207562277066,1.8426152234403272
wildchat_412125,-3.4489802440626685,1.0405987873398153
competition_math_9279,2.5068959566187576,2.694140051722362
wildchat_336700,-3.9375372323174918,1.8446017966355879
wildchat_287198,-4.649551439003857,0.1353352832366127
wildchat_325621,3.0087810683211442,3.0458907355380638
competition_math_5557,2.06596977531435,0.1353352832366127
competition_math_4117,1.854286559550242,2.7994922264513553
competition_math_12090,2.605963849074505,1.167004862068538
wildchat_276333,1.4953793827442858,1.243252308848701
competition_math_10813,1.259159353786759,0.1353352832366127
wildchat_7233,-5.180150578980646,5.2852667825852695
competition_math_7690,1.4740437737377265,0.5581765981980091
competition_math_9929,-0.3065204235603068,1.6008716959719032
competition_math_8753,1.0435320693789198,0.1353352832366127
wildchat_50592,0.3561163841799414,2.777043983097066
competition_math_8812,4.074931443547285,3.791195513767755
wildchat_21414,2.200068157434186,0.27405904327543845
competition_math_3813,3.583748747511036,2.8614953450064404
competition_math_6536,1.4554995136189024,0.14305960662619366
wildchat_61131,-1.6152340128117626,1.2424441892748836
wildchat_160634,1.1271442162584704,0.1353352832366127
wildchat_427014,-5.141337643450463,1.563120747672993
