task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-7.879947966189739,7.38905609893065
wildchat_52049,-7.298644853559834,7.38905609893065
wildchat_230709,1.3746977077386748,1.5063743700836467
wildchat_360787,-9.710675986286798,6.59237642306546
alpaca_8155,-4.385121190332005,0.17053673409206244
wildchat_491669,-6.639307868522916,4.763127547651368
competition_math_599,-4.977189783023752,4.176725489514542
wildchat_242015,2.0127579342905264,1.2262577406716788
alpaca_666,-3.904830125885415,0.1353352832366127
wildchat_406914,2.4495050797586604,4.97949977277891
wildchat_286136,-3.878611079978427,3.9959470138618998
wildchat_301110,-3.8125023736003416,0.1353352832366127
competition_math_2074,-3.4811691408860415,0.1353352832366127
wildchat_101141,-3.9043775346259464,0.9869186207933098
wildchat_85533,-9.988336206974354,5.363908289902738
wildchat_151579,-7.4871169587037425,6.9313570572421455
wildchat_107926,-4.902140659593267,2.4026370084378503
wildchat_151440,-8.235636504324965,7.38905609893065
wildchat_107355,-9.080247046010046,0.1353352832366127
alpaca_8201,-5.366426658012488,4.363831056385046
alpaca_13835,-3.082861342511373,1.3699537873989032
competition_math_11033,-3.55593915730868,3.228640827026407
competition_math_6148,-3.0663005604664724,7.38905609893065
wildchat_5799,-6.023851431795067,7.02525669036229
wildchat_117874,-0.5762764344098144,1.7954873381182188
alpaca_3800,-3.1614201783629885,0.625419335739188
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,-2.865034047992042,2.9335911657941263
wildchat_67562,-10.0,6.600964452208034
wildchat_400052,-3.421027956645441,2.2663392836230525
competition_math_9541,-3.0320413960967447,0.1353352832366127
wildchat_136494,-6.20043180935249,4.754497184074392
wildchat_452326,-8.582609838255788,0.1353352832366127
wildchat_31956,-3.9656995922250227,5.276846262527867
alpaca_3394,-3.6040571173356266,0.1353352832366127
wildchat_11840,-3.2512540306505846,3.697965043417745
alpaca_3194,-3.036649759391625,1.8446148136745133
wildchat_302755,-4.898933357279772,4.741086260828686
alpaca_3789,-6.334928718434951,1.5416196378778253
alpaca_5278,-2.137011340323828,2.766453596746264
wildchat_28076,-5.180845866555179,2.5340879703919517
wildchat_92092,-3.678101033766771,4.017831527170208
wildchat_70706,-5.824014871098441,7.38905609893065
wildchat_221228,2.5287238146020345,1.6760297589884185
alpaca_6215,-3.392867361807204,0.1353352832366127
wildchat_197099,-4.245156660669222,3.7231086217209914
wildchat_202252,-3.7366672074197465,0.24160055627797883
wildchat_255372,-2.323039495447166,2.293652993439447
alpaca_6540,-3.1262322609663205,0.1353352832366127
alpaca_4906,-6.5747982065629795,2.290455931194785
wildchat_300885,-2.916417487527011,0.1353352832366127
competition_math_3741,-1.011469256266915,2.4197781216595184
wildchat_16561,-0.8299618449345607,6.3326330640883155
wildchat_486004,-8.194402237721139,0.1353352832366127
wildchat_51884,-1.9085037789209955,2.152063512300938
wildchat_43351,-3.5848278638593563,2.027353246658585
competition_math_1072,-2.9097472625076626,0.1353352832366127
wildchat_471945,-9.731114144658024,0.1353352832366127
alpaca_12136,-2.693297904565653,0.1353352832366127
competition_math_3985,-2.254491480399479,0.1353352832366127
wildchat_178088,3.428952363941093,4.6685825654624455
competition_math_7154,-1.9505578196695326,0.4551727551127213
competition_math_5482,-1.8235076956858245,1.3789613518992532
competition_math_7452,-2.1418874474064764,1.5482002765039258
wildchat_65318,1.8281319033706291,7.098226116723809
wildchat_277847,-4.062276041627801,2.5615940639906993
competition_math_2993,-1.6547863913918153,1.412901188109092
alpaca_1564,-2.4525178356363773,0.537147832298069
wildchat_97883,-1.9012164151944908,0.1353352832366127
wildchat_36307,-1.13418976824925,6.260378120367793
wildchat_386942,0.19084079178459054,2.9839440307432006
competition_math_12257,-1.492608605973983,0.9800342404233043
wildchat_461066,-4.305563794993599,0.1353352832366127
alpaca_9116,-2.9806979449309337,0.1353352832366127
wildchat_110207,-1.9791419155505288,1.434260250974963
wildchat_10569,-1.8367067854671488,0.1353352832366127
wildchat_238138,-2.6645686450840604,1.2199235442462326
wildchat_392411,-0.5458513889208527,1.7705399617529838
wildchat_476483,-2.0373676958174927,2.715325473359581
wildchat_47358,-1.679572463644196,3.1637874094988976
alpaca_11495,-1.4629077579297738,0.1353352832366127
wildchat_42061,-1.9048227237141615,0.4845214570125414
wildchat_376237,-2.6895850221420323,2.3323049391211703
wildchat_101149,-7.245923886343305,4.5363067590700465
