task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,9.788619791576473,7.38905609893065
wildchat_52049,6.22601007585999,7.38905609893065
wildchat_230709,10.0,7.38905609893065
wildchat_360787,10.0,7.38905609893065
alpaca_8155,10.0,5.716973271230532
wildchat_491669,9.230874280932076,7.38905609893065
competition_math_599,10.0,0.2762303451188221
wildchat_242015,10.0,7.363234066056218
alpaca_666,10.0,0.2864132600302829
wildchat_406914,-0.8112038353289546,4.03915462859234
wildchat_286136,9.93405995050388,7.38905609893065
wildchat_301110,9.378115041418624,7.043541778120124
competition_math_2074,9.95205096004911,4.049224787589151
wildchat_101141,10.0,4.779991800247779
wildchat_85533,-3.0833425118911433,7.38905609893065
wildchat_151579,3.462033939090095,7.38905609893065
wildchat_107926,8.206199922666933,6.080676233862966
wildchat_151440,7.8823962433235035,4.492065513020446
wildchat_107355,7.534696725457264,7.38905609893065
alpaca_8201,9.804642038483149,5.293077352732926
alpaca_13835,6.906355320604675,1.9239918471111972
competition_math_11033,7.710931311670074,0.1353352832366127
competition_math_6148,7.2914953101390125,0.1353352832366127
wildchat_5799,3.248819915561171,7.38905609893065
wildchat_117874,7.071868347640407,4.664596232331033
alpaca_3800,7.184881246365264,0.1353352832366127
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,7.689297961753487,3.3453692527054533
wildchat_67562,4.800664543149232,4.0168339694075135
wildchat_400052,7.408088222693384,4.322551039326793
competition_math_9541,6.7684193758966,0.1353352832366127
wildchat_136494,7.489862196741489,7.127785579833963
wildchat_452326,2.2049134212330768,7.38905609893065
wildchat_31956,5.289389624789464,7.38905609893065
alpaca_3394,6.02341845650975,0.1353352832366127
wildchat_11840,6.446874429545256,4.174503482507539
alpaca_3194,6.801526878540584,0.1353352832366127
wildchat_302755,0.9882892576539279,6.302591469723603
alpaca_3789,5.480046839841186,0.1353352832366127
alpaca_5278,4.642247269135979,0.1353352832366127
wildchat_28076,3.60084269367699,7.38905609893065
wildchat_92092,4.117239235457312,3.2037718700867996
wildchat_70706,7.984447178921816,6.483739260372407
wildchat_221228,6.586352445626442,3.4281915334198754
alpaca_6215,2.2693187491863585,4.568188362978101
wildchat_197099,4.777686272933683,3.067410742554106
wildchat_202252,4.30043222017856,0.1353352832366127
wildchat_255372,4.374236741087038,3.9708216627584485
alpaca_6540,6.156107235705864,6.649168580207774
alpaca_4906,1.1065353087118286,7.38905609893065
wildchat_300885,4.734835166565487,2.6813276198931644
competition_math_3741,5.449548529375019,0.1353352832366127
wildchat_16561,4.334290248437943,1.4723573830553178
wildchat_486004,5.08594223705806,4.494416584312791
wildchat_51884,0.3983237922873254,4.728539543850378
wildchat_43351,3.7639035147936895,7.247864414087896
competition_math_1072,4.355044854738041,0.1353352832366127
wildchat_471945,-3.338268585137491,4.478876598951682
alpaca_12136,4.621890542975108,0.1353352832366127
competition_math_3985,4.516132624730539,2.787315104356536
wildchat_178088,-0.7701428693420619,7.38905609893065
competition_math_7154,4.220156787352946,0.1353352832366127
competition_math_5482,3.9383707854371734,0.1353352832366127
competition_math_7452,3.975744095866423,0.1353352832366127
wildchat_65318,3.6091578978487897,3.843379683028144
wildchat_277847,2.741552940331831,3.173296338397301
competition_math_2993,3.7812204373755574,0.1353352832366127
alpaca_1564,3.8411631775972754,0.1353352832366127
wildchat_97883,1.5286205837635685,3.155030342031778
wildchat_36307,3.8601569509398206,4.692849397642636
wildchat_386942,6.104110950845107,5.454403639394806
competition_math_12257,3.67427632955066,0.1353352832366127
wildchat_461066,1.1398208706731776,2.844658160153911
alpaca_9116,2.1426903270937236,4.549764971852748
wildchat_110207,3.3655349224200286,0.1353352832366127
wildchat_10569,2.7806528298745437,1.7636463362290435
wildchat_238138,3.4006063869578376,0.1353352832366127
