task_id,mu,sigma
wildchat_195600,0.0,7.38905609893065
wildchat_371189,-0.36905436942267295,3.1119064058147834
wildchat_52049,-1.7870862811522636,2.615581745391727
wildchat_230709,10.0,2.9260213983710033
wildchat_360787,1.9918055373193566,2.174916166000475
alpaca_8155,7.349812542777987,3.7161413668924514
wildchat_491669,5.2760721585411785,6.934486395158833
competition_math_599,5.238237468729848,5.292089734544177
wildchat_242015,3.285278902298062,3.381193484613196
alpaca_666,5.116102638849947,2.8055325446575727
wildchat_406914,-4.015297808146953,2.6365645997979126
wildchat_286136,3.887474616109657,2.4966265023376004
wildchat_301110,9.133613826299,7.38905609893065
competition_math_2074,8.410946032507038,0.1353352832366127
wildchat_101141,4.13718084831584,3.0172009604237773
wildchat_85533,0.8266161904667062,6.933101251742421
wildchat_151579,-2.497531768630259,0.1353352832366127
wildchat_107926,3.9661006515941613,1.5854804605689932
wildchat_151440,9.83437991003028,6.380902388690869
wildchat_107355,-2.4492508565878857,1.629723064298057
alpaca_8201,8.012152642924214,0.1353352832366127
alpaca_13835,2.7381685773269298,2.415412234180574
competition_math_11033,10.0,0.19079718772727539
competition_math_6148,7.467886498402426,1.6495853413305543
wildchat_5799,-2.999760457067853,2.627679176105016
wildchat_117874,1.8832692134301932,2.965643532437974
alpaca_3800,6.8553520648284785,1.8773588019909029
wildchat_30204,-10.0,0.1353352832366127
competition_math_774,6.273527111396674,1.25032138304604
wildchat_67562,0.1366318233078272,4.742520135417112
wildchat_400052,5.397935599154064,0.410046857829423
competition_math_9541,6.020265993700316,1.0940377733978441
wildchat_136494,0.4290846270428177,1.6563242488181
wildchat_452326,-2.83334694975392,0.9011891205180093
wildchat_31956,1.959637995380349,3.6275554057392725
alpaca_3394,3.9403974944069144,1.6247576691863823
wildchat_11840,1.6972731961916312,2.173444384062142
alpaca_3194,5.256434011131284,3.341033686029809
wildchat_302755,-3.3248965551527823,1.4170807754169283
alpaca_3789,5.458613677431749,5.391251610511192
alpaca_5278,5.4381593327798585,0.1353352832366127
wildchat_28076,1.0210091297683352,1.184610997641468
wildchat_92092,1.325760683661469,2.698225249150183
wildchat_70706,2.7205001707715204,3.397979602355115
wildchat_221228,6.09406927662381,1.1240687845667348
alpaca_6215,-3.540595044033868,3.372588758103101
wildchat_197099,9.266013297116428,7.38905609893065
wildchat_202252,1.7865114513039941,7.38905609893065
wildchat_255372,4.797168660471568,3.6605102145350563
alpaca_6540,2.043799149161973,2.468831019371031
alpaca_4906,1.8657806797265999,2.0846862270675
wildchat_300885,5.0083660410430895,3.4414096166796084
competition_math_3741,6.745309841476772,1.0463183815423884
wildchat_16561,5.660525064884364,0.1353352832366127
wildchat_486004,3.0596429742466573,1.3699898515574447
wildchat_51884,-3.5173991784265928,2.432665044710753
wildchat_43351,3.0707445907279873,3.05394030305994
competition_math_1072,4.565431771951217,4.661069584975184
wildchat_471945,-8.708283059227952,4.098682742603839
alpaca_12136,3.3644768001504106,1.6653030058371403
competition_math_3985,5.616838722018766,0.1353352832366127
wildchat_178088,-6.141438797674796,7.38905609893065
competition_math_7154,5.339931436113585,0.1353352832366127
competition_math_5482,5.983431920330787,0.7575875222748327
competition_math_7452,5.80798076971478,0.1353352832366127
wildchat_65318,4.355201340699681,1.4417283723864835
wildchat_277847,-0.21289793617504227,2.243698534295672
competition_math_2993,5.269216332011343,0.1353352832366127
alpaca_1564,2.8410898208446285,3.6717911805433423
wildchat_97883,1.478352568275891,0.1353352832366127
wildchat_36307,1.0218259365949254,2.972685093347045
wildchat_386942,1.4098463800965295,1.8719753475471124
competition_math_12257,5.425999759099954,0.1353352832366127
wildchat_461066,2.213904220097143,3.4018121379717776
alpaca_9116,1.9943387752357022,4.025262516995983
wildchat_110207,3.1305604118572137,0.2534621910332063
wildchat_10569,3.4337039813142716,2.4459234519021082
wildchat_238138,4.393155802476727,0.1353352832366127
wildchat_392411,0.9145259695747282,2.321325855172189
wildchat_476483,2.1468649719835016,5.3065841423730635
wildchat_47358,3.552940637727952,0.1353352832366127
alpaca_11495,4.640141152335824,0.1353352832366127
wildchat_42061,2.034437557855965,3.144343520683727
wildchat_376237,1.4374658102648599,3.1788042783286796
wildchat_101149,-3.173307126627689,3.05067976954528
alpaca_5848,4.552553361266637,0.1353352832366127
alpaca_3571,1.138637394190555,0.1353352832366127
competition_math_2137,4.447361692148858,0.1353352832366127
wildchat_360558,1.719996100595954,4.362141518944108
competition_math_1874,4.840544135510314,0.9852861570813616
competition_math_3861,4.299214769897847,0.1353352832366127
wildchat_200285,-1.2112122201432425,3.9361316276246834
alpaca_12777,2.223505063187501,2.9455869446568093
wildchat_397254,-0.004831476919803532,4.012478345069707
alpaca_6632,4.23235851027131,0.1353352832366127
competition_math_8144,7.129494711344859,1.9996156775243463
competition_math_4568,1.290446365892348,2.7657941949623224
wildchat_246548,2.5048107133524047,1.8947959395063714
alpaca_2746,4.100135385574807,0.1353352832366127
wildchat_370978,-9.03239935341886,0.1353352832366127
alpaca_14175,1.2165057267511072,2.4892182893389356
alpaca_12221,3.8677391814468227,0.1353352832366127
alpaca_10580,3.9696905778201765,0.1353352832366127
wildchat_52931,5.1263432339902435,6.306111659380961
wildchat_165489,-1.5393431062294773,4.119583598643727
wildchat_462384,-2.635396844688191,0.1391526390283203
wildchat_280334,0.2151207765332145,1.9383803453269355
wildchat_86310,3.8269600235716745,5.616593303993128
wildchat_46543,0.5565230479578319,7.38905609893065
