task_id,mu,sigma
wildchat_195600,0.0,3.7543062705947503
wildchat_371189,-1.6797619641924513,2.8701207544829233
wildchat_52049,-0.0063448809652044864,1.4788476880981145
wildchat_230709,4.10123606159547,0.1353352832366127
wildchat_360787,6.436366670486515,4.022052000466189
alpaca_8155,9.176614055172388,0.14470564866271407
wildchat_491669,1.4389927523304396,2.045112086573065
competition_math_599,2.144736423741619,2.4473689576430195
wildchat_242015,0.5377103589244693,2.979424287942731
alpaca_666,3.7714079005223917,0.9765420937578925
wildchat_406914,-6.532685541908627,1.783794179658151
wildchat_286136,0.6947021053162665,1.7553164045980751
wildchat_301110,-3.085957219609998,1.1451081964824412
competition_math_2074,2.6147233342455682,1.1562794134893053
wildchat_101141,2.9933514082264834,3.397894291675624
wildchat_85533,-10.0,0.1353352832366127
wildchat_151579,-4.542500067326839,0.3320537471463108
wildchat_107926,1.8816650625988498,1.8532776432637996
wildchat_151440,-1.191057950494152,2.900757729079
wildchat_107355,-5.985959635921992,2.4380865224373434
alpaca_8201,8.448217016422113,0.3283222789975918
alpaca_13835,1.1786537438153517,2.89536237269081
competition_math_11033,3.079155678008629,2.1182270906701444
competition_math_6148,5.235213562121779,0.1353352832366127
wildchat_5799,-7.336689358828571,0.1353352832366127
wildchat_117874,-2.9293943665870428,3.319327817624839
alpaca_3800,3.3562853500298906,1.8968425217184732
wildchat_30204,-9.679061027127776,0.1353352832366127
competition_math_774,7.091615353481873,6.489336520438709
wildchat_67562,-5.232281548608371,2.573895301325592
wildchat_400052,3.925800100195778,0.1353352832366127
competition_math_9541,7.38406818937023,0.1353352832366127
wildchat_136494,-4.471075340045505,3.7130279239349453
wildchat_452326,-4.129604554900197,0.1353352832366127
wildchat_31956,-2.9773525742121314,2.32026652752919
alpaca_3394,4.589023229667023,0.1353352832366127
wildchat_11840,-0.6480440643343044,0.1354362955482924
alpaca_3194,3.9816757957302333,0.1353352832366127
wildchat_302755,-9.300132560194212,0.1353352832366127
alpaca_3789,2.086164893086885,4.285445408049319
alpaca_5278,5.95926659800785,1.2784650403848548
wildchat_28076,-4.663184504761909,4.1630322871201715
wildchat_92092,-4.686985165867202,0.1353352832366127
wildchat_70706,2.428508112215856,2.2157691669956736
wildchat_221228,9.199523022605279,0.1353352832366127
alpaca_6215,-3.7545098833813806,2.0608220568552613
wildchat_197099,2.872441087264888,2.7766991038661573
wildchat_202252,-0.5522724388458021,1.1630939620579976
wildchat_255372,1.6414046581208226,3.12277181669964
alpaca_6540,-0.29186951369718916,7.312931296321749
alpaca_4906,-2.73644153241257,2.7467033800577627
wildchat_300885,1.3430286968182603,2.354113034430907
competition_math_3741,7.093582437961154,0.1353352832366127
wildchat_16561,4.38936004309943,1.3842159840604693
wildchat_486004,-0.24602096644790494,1.1646286403575148
wildchat_51884,-5.539932163479073,1.8613773532428173
wildchat_43351,-1.2365571315465869,0.1353352832366127
competition_math_1072,3.0250372436254205,1.9725781163081493
wildchat_471945,-6.372126418383644,1.4699913337679955
alpaca_12136,2.7743244435184784,0.1456544508487631
competition_math_3985,3.5987397755313353,1.0003623293089896
wildchat_178088,-6.846898858045189,0.1353352832366127
competition_math_7154,4.2294456763708865,0.1353352832366127
competition_math_5482,1.3072596471583426,2.222169989776479
competition_math_7452,3.624576225304472,0.1353352832366127
wildchat_65318,9.98076953130056,7.38905609893065
wildchat_277847,-3.844705316271314,7.38905609893065
competition_math_2993,4.495690106003543,1.08725522342227
alpaca_1564,5.080903792796574,1.207821275798589
wildchat_97883,-4.4955231601840655,3.4060413945934647
wildchat_36307,-1.0109040983654092,1.7566522004519278
wildchat_386942,-0.2575498359950176,1.3812931778036146
competition_math_12257,6.917479879083649,1.2395272492784977
wildchat_461066,1.8576063838677763,0.1353352832366127
alpaca_9116,1.9886366109782339,1.3398752237192975
wildchat_110207,3.7610543740521227,1.002330860785553
wildchat_10569,3.5178599414382936,1.1838844377183495
wildchat_238138,3.8193656639312747,0.1353352832366127
wildchat_392411,-2.49333874359058,1.6594755120486362
wildchat_476483,-1.6559061993696338,2.7887522710711266
wildchat_47358,2.9102872398115243,3.7737614154127446
alpaca_11495,1.8786606134496944,1.970723162576996
wildchat_42061,0.6327481542406553,1.0988375606850236
wildchat_376237,-2.580249513882618,0.1353352832366127
